ID,What is wrong with the link?,Type;Type,URL;URL,Doc Resource Class,Doc Title,Doc Code,Doc Institution,Error
315ffdfb-d84b-4457-8817-81f7b640202f,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/b82bd965cd6341a9ad006851f588cfa6_0.zip;https://www.opendataphilly.org/dataset/airport-rental-car-lots,"[""Datasets"", ""Web services""]","Airport Rental Car Lots: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
ec832cde-87a1-43b4-b6b7-736d2eda4b8d,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/d6b74cabf95d4013b80d88c46ac1d685_0.zip;https://www.opendataphilly.org/dataset/airport-public-parking-lots,"[""Datasets"", ""Web services""]","Airport Public Parking Lots: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
889b499e-c368-4051-bbef-d15c75b5ac6f,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/d7f2f088b0bd454294b0c05cff13844f_0.zip;https://www.opendataphilly.org/dataset/airport-runways,"[""Datasets"", ""Web services""]","Airport Runways: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
fc29728e-1739-4b50-82d2-45a47da894da,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/daa92078aab14714babef978d2f1b3bb_0.zip;https://www.opendataphilly.org/dataset/airport-rental-car-locations,"[""Datasets""]","Airport Rental Car Locations: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
8b012abb-2d3e-436d-b107-0939a2bf78b5,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/db55471a272b4ecbb6e7ab7cf70363f9_0.zip;https://www.opendataphilly.org/dataset/airport-roadway-zones,"[""Datasets"", ""Web services""]","Airport Roadway Zones: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
844886b1-20cd-44f1-967c-b060e0002f02,"Data does not exist, or has been removed; Retire record",Download;Information,https://opendata.howardcountymd.gov/api/geospatial/8ers-m6ap?method=export&format=Shapefile;https://opendata.howardcountymd.gov/d/8ers-m6ap,"[""Datasets""]","Updated Projects, 2007 Pedestrian Plan With 2014 Updates: Howard County, Maryland, 2014",04b-24027,Howard County GIS Data Download,
aae0d701-61ee-4286-a1ee-a36bc2621b7f,"Data does not exist, or has been removed; Retire record",Download;Information,https://opendata.howardcountymd.gov/api/geospatial/amfc-9nd3?method=export&format=Shapefile;https://opendata.howardcountymd.gov/d/amfc-9nd3,"[""Datasets""]","Linear Projects, 2007 Pedestrian Plan With 2014 Updates: Howard County, Maryland, 2014",04b-24027,Howard County GIS Data Download,
4cea1a96-d898-4ca9-a99c-bd5cb3d49014,"Data does not exist, or has been removed; Retire record",Download;Information,https://opendata.howardcountymd.gov/api/geospatial/uu65-q5y9?method=export&format=Shapefile;https://opendata.howardcountymd.gov/d/uu65-q5y9,"[""Datasets""]","Intersection Projects, 2007 Pedestrian Plan With 2014 Updates: Howard County, Maryland, 2014",04b-24027,Howard County GIS Data Download,
04ba7b817d1d45ba89aab539af7ec438_0,"Data does not exist, or has been removed; Retire record",Download,http://data.detroitmi.gov/datasets/04ba7b817d1d45ba89aab539af7ec438_0.zip,"[""Datasets"", ""Web services""]",DLBA Owned Properties: City of Detroit,07c-01,Detroit Open Data,
04ba7b817d1d45ba89aab539af7ec438_1,"Data does not exist, or has been removed; Retire record",Download,http://data.detroitmi.gov/datasets/04ba7b817d1d45ba89aab539af7ec438_1.zip,"[""Datasets"", ""Web services""]",DLBA Owned Properties: City of Detroit,07c-01,Detroit Open Data,
fab83c52-9f18-4a52-91fc-9adfc3262709,"Data does not exist, or has been removed; Retire record",Download,http://data.phl.opendata.arcgis.com/datasets/796dad6b10c84b1bb150abc4d98bca9e_0.zip,"[""Datasets"", ""Web services""]","Parks and Recreation Out of School Time Programs: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
0684905c-61a4-47bf-9617-f2f19e34cdb1,"Data does not exist, or has been removed; Retire record",Download,http://gis.browncountyengineer.org/GISWEB/DOWNLOAD-DATA/ANNEXATION-BOUNDARY.zip,"[""Datasets""]","Annexation Boundary: Brown County, Ohio",11b-39015,"Spatial Data for Brown County, Ohio",
07a6a8bf-203b-4578-b44e-503cda6d3ba2,"Data does not exist, or has been removed; Retire record",Download,http://gis.browncountyengineer.org/GISWEB/DOWNLOAD-DATA/CONTOURS.zip,"[""Datasets""]","Contours: Brown County, Ohio",11b-39015,"Spatial Data for Brown County, Ohio",
0dbf677e-f113-40f1-9a04-0ab8061b70ec,"Data does not exist, or has been removed; Retire record",Download,http://gis.phila.gov/arcgis/rest/services/BaseMaps/GrayBase/MapServer,"[""Imagery"", ""Web services""]","Philadelphia Base Maps: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,#<SocketError: Failed to open TCP connection to gis.phila.gov:80 (getaddrinfo: Name or service not known)>
4fc5d5b9-2692-46fb-869c-53627d212799,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Contour_2ft_2001_Ln_North.zip,"[""Datasets""]","Contours, 2-foot, North County Dataset: Prince George's County, Maryland, 2001",04f-03,Prince George's County GIS Open Data,
9cf51ef3-e026-42ac-b7e5-62a183c810a7,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Contour_2ft_2001_Ln_South.zip,"[""Datasets""]","Contours, 2-foot, South County Dataset: Prince George's County, Maryland, 2001",04f-03,Prince George's County GIS Open Data,
7b0b0309-be11-4a72-9e54-17b74b4ac73a,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Contour_5ft_1993_Ln.zip,"[""Datasets""]","Contours, 5-foot: Prince George's County, Maryland, 1993",04f-03,Prince George's County GIS Open Data,
e73b51c9-409f-4017-9a60-b7b10db9fc44,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Food_Service_Pt.zip,"[""Datasets""]","Food Service Locations, Department of Health: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
fc8a5d12-a3b6-498e-8ba6-1d5a94006baf,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Gas_Station_Pt.zip,"[""Datasets""]","Gas Stations: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
33e5feb3-4033-4386-94f4-7aa91f6ea317,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Golf_Course_Pt.zip,"[""Datasets""]","Golf Courses: Prince George's County, Maryland, 2013",04f-03,Prince George's County GIS Open Data,
95875813-41d6-48c7-bf9c-23dbcf691fe4,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Grocery_Store_Pt.zip,"[""Datasets""]","Grocery Stores, Food System Mapping: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
4a2bc8b3-e2f3-49e3-9583-1af2452641ec,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Land_Use_Future_Py.zip,"[""Datasets""]","Future Land Use: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
8b6bc3bf-5e3b-4133-a625-e7ae3e3400da,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Master_Plan_Trail_Ln.zip,"[""Datasets""]","Trails, Existing & Proposed, Master Plan: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
3c016af9-806e-4ecd-9e7b-373ab7e996f3,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Mil_Installation_Overlay_Py.zip,"[""Datasets""]","Development & Zoning Regulation Zone, Joint Base Andrews: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
30446b83-af39-43d0-b162-ad88d528460d,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/MVA_Facility_Pt.zip,"[""Datasets""]","Maryland Motor Vehicle Administration Facilities: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
38d92864-4f42-4877-8137-f21401661c82,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Police_District_Py.zip,"[""Datasets""]","Police Districts: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
c0534c85-68cb-47dd-a466-ddc0fbdf980c,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Proposed_Trail_Ln.zip,"[""Datasets""]","Proposed Trails, The Maryland-National Capital Park & Planning Commission: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
f31798ab-19df-42a0-b364-73614c4e7a7a,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Restaurant_Pt.zip,"[""Datasets""]","Restaurants: Prince George's County, Maryland",04f-03,Prince George's County GIS Open Data,
595837c9-3950-48f3-be15-02f3a664249f,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Slope_1993_Py.zip,"[""Datasets""]","Elevation Data, Steep & Severe Slopes: Prince George's County, Maryland, 1993",04f-03,Prince George's County GIS Open Data,
5afc2620-2a06-4258-8566-a9e98390eae3,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Slope_2009_Py.zip,"[""Datasets""]","Elevation Data, Steep & Severe Slopes: Prince George's County, Maryland, 2009",04f-03,Prince George's County GIS Open Data,
74e89330-5f6b-40c6-9fbb-07bb977cb3cd,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Slope_2014_Py.zip,"[""Datasets""]","Elevation Data, Steep & Severe Slopes: Prince George's County, Maryland, 2014",04f-03,Prince George's County GIS Open Data,
9ff0e4c9-c9f3-4c3a-ab44-c30c88055e3a,"Data does not exist, or has been removed; Retire record",Download,http://gisdata.pgplanning.org/opendata/downloadzip.asp?FileName=/data/ShapeFile/Spot_Elevation_2009_Pt.zip,"[""Datasets""]","Spot Elevation Points: Prince George's County, Maryland, 2009",04f-03,Prince George's County GIS Open Data,
617083d6-d344-4e40-aa1d-cea819d46d87,"Data does not exist, or has been removed; Retire record",Download,http://maps.indiana.edu/download/Environment/Waste_Composting_Facilities.zip,"[""Datasets"", ""Web services""]",Composting Facilities: Indiana,09a-01,IndianaMAP,
9f4cfd86-3976-4d55-86ac-0e871226831f,"Data does not exist, or has been removed; Retire record",Download,http://maps.indiana.edu/download/Environment/Waste_Industrial_Sites.zip,"[""Datasets"", ""Web services""]",Industrial Waste Sites: Indiana,09a-01,IndianaMAP,
3ba4658f-65a8-4737-9b19-4b98e89429df,"Data does not exist, or has been removed; Retire record",Download,http://maps.indiana.edu/download/Environment/Waste_Treatment_Storage_Disposal_Sites.zip,"[""Datasets"", ""Web services""]","Treatment, Storage, and Disposal Sites: Indiana",09a-01,IndianaMAP,
stanford-ks941jp2586,"Data does not exist, or has been removed; Retire record",Download,http://stacks.stanford.edu/file/druid:ks941jp2586/data.zip,"[""Datasets""]","Papaya, Harvested Area (Hectares), 2000",05d-08,Stanford,
4f974f0e-b8c9-4692-a349-a1a516403b22,"Data does not exist, or has been removed; Retire record",Download,http://www.pasda.psu.edu/data/padot/boundary_layers/PaCongressional2011_01.zip,"[""Datasets""]","PA Legislative Districts, U.S. Congressional: City of Philadelphia, Pennsylvania, 2001",08c-01,OpenDataPhilly,
1c131456-5ee0-40a8-af7e-d380c7cda22a,"Data does not exist, or has been removed; Retire record",Download,http://www.pasda.psu.edu/data/padot/boundary_layers/PaHouse2011_01.zip,"[""Datasets""]","PA Legislative Districts, State House of Representatives: City of Philadelphia, Pennsylvania, 2001",08c-01,OpenDataPhilly,
2800b3c4-da69-4ae0-9d09-e15a0f92c69b,"Data does not exist, or has been removed; Retire record",Download,http://www.pasda.psu.edu/data/padot/boundary_layers/PaSenatorial2011_01.zip,"[""Datasets""]","PA Legislative Districts, State Senate: City of Philadelphia, Pennsylvania, 2001",08c-01,OpenDataPhilly,
35bafb81f59d40399e75743ac9b04d7b_0,"Data does not exist, or has been removed; Retire record",Download,https://coronavirus-resources.esri.com/datasets/35bafb81f59d40399e75743ac9b04d7b_0.zip,"[""Datasets"", ""Web services""]",School COVID-19 Cases by The Covid Monitor: Esri,99-1000,Esri Covid-19 Resources Hub,
58959801b9004f68adac4ee8b44557e7_1,"Data does not exist, or has been removed; Retire record",Download,https://coronavirus-resources.esri.com/datasets/58959801b9004f68adac4ee8b44557e7_1.zip,"[""Datasets"", ""Web services""]",Open Walgreens Locations: United States,99-1000,Esri Covid-19 Resources Hub,
651e27800771479ba453d951a0707dea_0,"Data does not exist, or has been removed; Retire record",Download,https://data-athgis.opendata.arcgis.com/datasets/651e27800771479ba453d951a0707dea_0.zip,"[""Datasets"", ""Web services""]","Board Of Revisions Locations: Athens County, Ohio",11b-39009,Athens County GIS Data,
bea72a2a67114d899e87f910abaa5327_1,"Data does not exist, or has been removed; Retire record",Download,https://data-bigstonecounty.opendata.arcgis.com/datasets/51dc34190ede4bcf97a73853e9dd585b_4.zip,"[""Datasets""]","Victoria Zoning: Carver County, Minnesota",05b-27019,Carver County GIS Data,
e2105962b92f440e85eb670337e008a8_8,"Data does not exist, or has been removed; Retire record",Download,https://data-bigstonecounty.opendata.arcgis.com/datasets/e2105962b92f440e85eb670337e008a8_8.zip,"[""Datasets"", ""Web services""]","Tax Parcels: Big Stone County, Minnesota",05b-27011,Big Stone County Open Data,
15ec5e1e9af64fca95673201c89fb66e_11,"Data does not exist, or has been removed; Retire record",Download,https://data-loraingis.opendata.arcgis.com/datasets/15ec5e1e9af64fca95673201c89fb66e_11.zip,"[""Datasets"", ""Web services""]","Cities and Villages: Lorain County, Ohio",11b-39093,Lorain County GIS Data,
montcopa::gisprd-gis-admin-tax-parcels,"Data does not exist, or has been removed; Retire record",Download,https://data-montcopa.opendata.arcgis.com/datasets/montcopa::gisprd-gis-admin-tax-parcels.zip,"[""Datasets"", ""Web services""]","gisprd.GIS ADMIN.Tax Parcels [Montgomery County, Pennsylvania]",08b-42091,Montgomery County Open Data,
OCGIS::streamnavigtest,"Data does not exist, or has been removed; Retire record",Download,https://data-ocgis.opendata.arcgis.com/datasets/OCGIS::streamnavigtest.zip,"[""Datasets""]","StreamNavigTEST [Outagamie County, Wisconsin]",10b-55087,Outagamie County GIS Download,
outdoornebraska::antelope-hunting-zones,"Data does not exist, or has been removed; Retire record",Download,https://data-outdoornebraska.opendata.arcgis.com/datasets/outdoornebraska::antelope-hunting-zones.zip,"[""Datasets""]",Antelope Hunting Zones [Nebraska],13a-04,Nebraska Game & Parks Map and Data Portal,
outdoornebraska::antelope-muzzleloader-units,"Data does not exist, or has been removed; Retire record",Download,https://data-outdoornebraska.opendata.arcgis.com/datasets/outdoornebraska::antelope-muzzleloader-units.zip,"[""Datasets""]",Antelope Muzzleloader Units [Nebraska],13a-04,Nebraska Game & Parks Map and Data Portal,
outdoornebraska::ofw-contracts-2021-22archive,"Data does not exist, or has been removed; Retire record",Download,https://data-outdoornebraska.opendata.arcgis.com/datasets/outdoornebraska::ofw-contracts-2021-22archive.zip,"[""Datasets""]",OFW Contracts -22(Archive) [Nebraska] {2021},13a-04,Nebraska Game & Parks Map and Data Portal,
d948bb607bb942b39817a1ef98eebb12_0,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/d948bb607bb942b39817a1ef98eebb12_0.zip,"[""Datasets"", ""Web services""]","Plcb Liquor Licenses: Philadelphia, Pennsylvania, United States",08c-02,Open Data PHLmaps,
fb8e028380844eb8aed8d6835cc5e7c2_0,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/fb8e028380844eb8aed8d6835cc5e7c2_0.zip,"[""Datasets"", ""Web services""]","Litter Index Line: Philadelphia, Pennsylvania, United States",08c-02,Open Data PHLmaps,
phl::citybasemap-world,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/phl::citybasemap-world.zip,"[""Datasets""]","CityBasemap World [City of Philadelphia, Pennsylvania]",08c-02,Open Data PHLmaps,
phl::litter-index-line,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/phl::litter-index-line.zip,"[""Datasets""]","LITTER INDEX LINE [City of Philadelphia, Pennsylvania]",08c-02,Open Data PHLmaps,
phl::litter-index-polygon,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/phl::litter-index-polygon.zip,"[""Datasets""]","LITTER INDEX POLYGON [City of Philadelphia, Pennsylvania]",08c-02,Open Data PHLmaps,
phl::public-cases-fc,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/phl::public-cases-fc.zip,"[""Datasets""]","PUBLIC CASES FC [City of Philadelphia, Pennsylvania]",08c-02,Open Data PHLmaps,
phl::violations,"Data does not exist, or has been removed; Retire record",Download,https://data-phl.opendata.arcgis.com/datasets/phl::violations.zip,"[""Datasets""]","VIOLATIONS [City of Philadelphia, Pennsylvania]",08c-02,Open Data PHLmaps,
2c7aad513982435fa34ca4c50021fc9c_6,"Data does not exist, or has been removed; Retire record",Download,https://data-piercecounty-wi.hub.arcgis.com/datasets/2c7aad513982435fa34ca4c50021fc9c_6.zip,"[""Datasets"", ""Web services""]","Roads: Pierce County, Wisconsin",10b-55093,Pierce County GIS Open Data Portal,
3bc7eb8f850c4582b549f3f6ba00643d_0,"Data does not exist, or has been removed; Retire record",Download,https://data-racinecounty.opendata.arcgis.com/datasets/3bc7eb8f850c4582b549f3f6ba00643d_0.zip,"[""Datasets"", ""Web services""]","Polling Places: Racine County Courthouse, Register of Deeds Land Description Department",10b-55101,Racine County GIS Download,
