Title,Description,HTML,Download,Service
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Site_6_footprint.zip"" target=""_blank"">Site_6_footprint.zip</a></p>
</td>
</tr><tr><td>
<p>Swimming Beach</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Park_Office.zip"" target=""_blank"">Park_Office.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Park_Office_footprint.zip"" target=""_blank"">Park_Office_footprint.zip</a></p>
</td>
</tr><tr><td>
<p>Park Office</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Swimming_Beach.zip"" target=""_blank"">Swimming_Beach.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Swimming_Beach_footprint.zip"" target=""_blank"">Swimming_Beach_footprint.zip</a></p>
</td>
</tr></tbody></table><p class=""MsoNormal""> </p>
<p class=""MsoNormal"">Finally, data are presented seasonally, with all data collected at all sites within these time-frames:</p>
<table border=""0"" style=""height: 89px; width: 768px;""><tbody><tr><td>
<p>January-March</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Seasonal_Jan_March.zip"" target=""_blank"">Seasonal_Jan_March.zip</a></p>
</td>
</tr><tr><td>
<p>April-June</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Seasonal_April_June.zip"" target=""_blank"">Seasonal_April_June.zip</a></p>
</td>
</tr><tr><td>
<p>July-September</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Seasonal_July_Sept.zip"" target=""_blank"">Seasonal_July_Sept.zip</a></p>
</td>
</tr><tr><td>
<p>October-December</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Seasonal_Oct_Dec.zip"" target=""_blank"">Seasonal_Oct_Dec.zip</a></p>
</td>
</tr></tbody></table></div></div></div></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
"Shoreline polylines at Illinois Beach State Park, digitized from drone imagery, 2018-2021","Shorelines, defined as the wet/dry line, were digitized at 1:250 scale from modern aerial orthomosaics at four study sites at Illinois Beach State Park between 2018 and 2021 as part of an effort to monitor coastal change. The aerial images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract with the Illinois Department of Natural Resources Coastal Management Program.
 
 
Data are georeferenced to NAD83(1986) UTM Zone 16 North meters. All activities were conducted in adherence to Federal Aviation Administration regulations, permitted by the Illinois Natures Preserve Commissions and the Illinois Department of Natural Resources.",none,"<div class=""fieldset-wrapper""><div class=""field field-name-field-data-distribution field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p class=""MsoNormal"" style=""font-size: 14px;"">Shoreline polylines were created at 4 sites at Illinois Beach State Park at monthly time-scales from July 2018 to January 2021. The shorelines are presented in a geodatabase with an associated .xml file containing FGDC-compliant metadata. </p>
<p class=""MsoNormal"" style=""font-size: 14px;""><a href=""https://chf.isgs.illinois.edu/coastal/Shorelines_data/UAS/Shorelines_UAS_SurveyDates.csv"">Download a .csv file of survey dates here.</a></p>
<p class=""MsoNormal"" style=""font-size: 14px;""><a href=""https://chf.isgs.illinois.edu/coastal/Shorelines_data/UAS/Shorelines_data.zip"">Download the shorelines here.</a></p>
</div></div></div></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
"Singlebeam bathymetry, Illinois Beach State Park","Singlebeam echosounder data were collected in the nearshore of Illinois Beach State Park in Zion, IL. These data were collected under contract for the Illinois Department of Natural Resources Coastal Management Program. The areas targeted for bathymetric measurements are paired with areas targeted for UAS (unoccupied aerial system) onshore photographic measurements. Data is collected at different spatial scales: 500-m wide transects cover the entire park, while smaller subsites (paired with UAS sites) were surveyed with 100, 50, and 25-m wide transects. The bathymetric data were collected as part of a multi-year monitoring program to detect and measure lake-bottom change as it related to erosion of the lake bottom and longshore and offshore sand movement or transport.",none,"<div class=""fieldset-wrapper""><div class=""field field-name-field-data-distribution field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p style=""font-size: 14px;"">Single-beam bathymetry data, presented as point shapefiles, were collected along the shore of Illinois Beach State Park at a variety of spatial scales. Each dataset has an associated .xml file containing FGDC-compliant metadata. </p>
<p style=""font-size: 14px;"">Survey dates are listed in <a href=""https://chf.isgs.illinois.edu/coastal/singlebeam_data/BathySurveyDates.csv"">BathySurveyDates.csv</a></p>
<p style=""font-size: 14px;""><a href=""https://chf.isgs.illinois.edu/coastal/Singlebeam_data/Singlebeam_data.zip"">Download all bathymetry data here.</a> </p>
</div></div></div></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
Illinois Height Modernization (ILHMP): LiDAR Data,"***New****  Download LiDAR Data thru our new Web Application Viewer.  The Viewer allows users to zoom into an area of interest and then simply select LAS tiles to download.  ***** 
Historically, Digital Elevation Model (DEM) data for Illinois have been mainly based on 5- to 10-foot contour data. Large-scale, digital topographic maps are most common; many data resources contain elevation information acquired in the 1920s and 1930s. DEM data collections are now being developed based on data with a contour resolution of 2 feet to 6 inches. A comparison between older data and newer high-resolution data shows remarkable improvement in recorded detail.
ILHMP has established data sharing agreements to archive and distribute elevation data for select Illinois counties. Data have been acquired using Light Detection And Ranging (LiDAR) technology, in compliance with different contract specifications. Data are offered as originally deliver LAS tile or as the derivative product of DEM/DTM or DSM.
Some helpful links:
*LiDAR Glossary from the Applied Geomatics Research Group http://agrg.cogs.nscc.ca/resources/lidar-glossary/
LAS file format Spec Version is ---- Version 1.2, November 2014 http://pubs.usgs.gov/tm/11b4/
Status:
Lidar Status for Illinois (pdf)
Illinois LiDAR Plan 2021 (pdf)
Illinois Lidar Acquisition By Year (pdf)",https://univofillinois.maps.arcgis.com/apps/webappviewer/index.html?id=44eb65c92c944f3e8b231eb1e2814f4d,"<div class=""fieldset-wrapper""><div class=""field field-name-field-data-distribution field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p><strong><em>***New**** </em> Download LiDAR Data thru our new Web Application Viewer.  The Viewer allows users to zoom into an area of interest and then simply select LAS tiles to download.  ***** </strong></p>
<p>Available LiDAR data for Illinois are listed below. These collections are organized by county and listed alphabetically with the year of collection listed first. If there is no year next to the county name, this collection is yet to be acquired. If the data is listed as “By Request” then this data is available by request only and a <a href=""http://isgs.illinois.edu/data-help-request"" target=""_blank"">Help Request Form</a> must be completed and submitted.</p>
<p>Note: ZIP files are large in size; some may take several hours to download. Make certain your Internet provider does not have a 2GB cap or time limit on file downloads. Some users have had success using a free downloadable compression and extraction software called ""7zip"", if you are experiences errors when extracting this data, please try using ""7zip"" to extract.  Submit a <a href=""http://isgs.illinois.edu/data-help-request"" target=""_blank"">Help Request Form</a> to receive any county by mail.</p>
<div id=""users"">
<h2>County Collections</h2>
Filter list by County or Year:  
<input class=""search"" type=""text""/>
<div class=""view view-lidar-status view-id-lidar_status view-display-id-page view-dom-id-78d27fbe22d67402016d9fcbd405d23d"">
<div class=""view-header"">
<script>
    var parent = document.getElementsByTagName('table').length;
    //var element = parent.getElementsByTagName('tbody')[0];
    //element.className += ""list"";
    console.log(""number of tables is "" +  parent);
</script> </div>
<div class=""view-content"">
<table class=""views-table sticky-enabled cols-12"">
<thead>
<tr>
<th class=""views-field views-field-field-lidar-county-name active"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_county_name&amp;sort=desc"" title=""sort by County"">County<img alt=""sort descending"" class=""image-style-none"" height=""13"" src=""https://clearinghouse.isgs.illinois.edu/misc/arrow-desc.png"" title=""sort descending"" typeof=""foaf:Image"" width=""13""/></a> </th>
<th class=""views-field views-field-field-lidar-county-year"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_county_year&amp;sort=desc"" title=""sort by Year"">Year</a> </th>
<th class=""views-field views-field-field-lidar-county-status"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_county_status&amp;sort=asc"" title=""sort by Status"">Status</a> </th>
<th class=""views-field views-field-field-lidar-county-metadata"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_county_metadata&amp;sort=asc"" title=""sort by Metadata"">Metadata</a> </th>
<th class=""views-field views-field-field-lidar-tile-index"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_tile_index&amp;sort=asc"" title=""sort by Tile Index"">Tile Index</a> </th>
<th class=""views-field views-field-field-lidar-county-breaklines"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_county_breaklines&amp;sort=asc"" title=""sort by Breaklines"">Breaklines</a> </th>
<th class=""views-field views-field-field-lidar-derivatives-size"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_derivatives_size&amp;sort=asc"" title=""sort by Derivatives"">Derivatives</a> </th>
<th class=""views-field views-field-field-lidar-las-size"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_las_size&amp;sort=asc"" title=""sort by LAS"">LAS</a> </th>
<th class=""views-field views-field-field-lidar-dgn-size"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_dgn_size&amp;sort=asc"" title=""sort by DGN"">DGN</a> </th>
<th class=""views-field views-field-field-lidar-dat-size"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_dat_size&amp;sort=asc"" title=""sort by DAT"">DAT</a> </th>
<th class=""views-field views-field-field-lidar-tin-size"">
<a class=""active"" href=""/data/elevation/illinois-height-modernization-ilhmp?order=field_lidar_tin_size&amp;sort=asc"" title=""sort by TIN"">TIN</a> </th>
<th class=""views-field views-field-edit-node"">
</th>
</tr>
</thead>
<tbody>
<tr class=""odd views-row-first"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Adams          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1517"">2009</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/2009/adams_2009_metadata_readme.txt"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/2009/adams_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/2009/adams2009.zip"">Derivatives</a> (23.8 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/2009/adams-las.zip"">LAS</a> (30.9 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
<a href=""/DGN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/adams-dgn.zip"">DGN</a> (27.4 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dat-size"">
<a href=""/DAT""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/2009/adams-dat.zip"">DAT</a> (8.9 GB)
</a> </td>
<td class=""views-field views-field-field-lidar-tin-size"">
<a href=""/TIN""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/2009/adams-tin.zip"">TIN</a> (26.7 GB)
</a> </td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Adams          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1648"">2018</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/adams_2018_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/Adams_Tile_Index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/Adams_Hydro_Breaklines.zip"">Breaklines</a> </td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/adams2018.zip"">Derivatives</a> (120.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/adams/adams-las.zip"">LAS</a> (411.0 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""odd"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Alexander          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1518"">2009-2011</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/alexander/alexander_2009_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/alexander/alexander_tile_index.zip"">Tile Index</a> </td>
<td class=""views-field views-field-field-lidar-county-breaklines"">
</td>
<td class=""views-field views-field-field-lidar-derivatives-size"">
<a href=""/Derivatives""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/alexander/alexander2009.zip"">Derivatives</a> (5.3 GB)</a> </td>
<td class=""views-field views-field-field-lidar-las-size"">
<a href=""/LAS""><a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/alexander/alexander-las.zip"">LAS</a> (11.5 GB)</a> </td>
<td class=""views-field views-field-field-lidar-dgn-size"">
</td>
<td class=""views-field views-field-field-lidar-dat-size"">
</td>
<td class=""views-field views-field-field-lidar-tin-size"">
</td>
<td class=""views-field views-field-edit-node"">
</td>
</tr>
<tr class=""even"">
<td class=""views-field views-field-field-lidar-county-name active searchCounty"">
            Bond          </td>
<td class=""views-field views-field-field-lidar-county-year searchYear"">
<a href=""/node/1519"">2015</a> </td>
<td class=""views-field views-field-field-lidar-county-status"">
            Available          </td>
<td class=""views-field views-field-field-lidar-county-metadata"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/bond/bond_2015_metadata.xml"" target=""_blank"">Metadata</a> </td>
<td class=""views-field views-field-field-lidar-tile-index"">
<a href=""https://clearinghouse.isgs.illinois.edu/distribute-west/bond/bond_tile_index.zip"">Tile Index</a> </td>
