245,034$d,034$e,034$f,034$g,650,651,520$a
"10$aAllegheny County Address Points 201802."," -80.359053"," -79.683539"," 40.684323"," 40.186501","\7$aADDRESSPOINTS.$2ISO 19115 Topic Categories|\7$aAddress Points.$2ISO 19115 Topic Categories|\7$aplanningCadastre.$2ISO 19115 Topic Categories",,"AlleghenyCounty_AddressPoints201802."
"10$aAllegheny County - Basins.","-80.291495","-79.683807","40.597540","40.290944","\7$aenvironment.$2ISO 19115 Topic Categories|\7$ageoscientificinformation.$2ISO 19115 Topic Categories",,"AlleghenyCounty_Basins2002."
"10$aAllegheny County - Blocks.","-80.374588","-79.669315","40.685169","40.180013","\7$aboundaries.$2ISO 19115 Topic Categories|\7$aimagery, base maps, earth cover.$2ISO 19115 Topic Categories|\7$alocation.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_Blocks2002."
"10$aAllegheny County Boundary 2016.","-80.368058","-79.676165","40.682800","40.184919","\7$atransportation.$2ISO 19115 Topic Categories",,"AlleghenyCounty_Boundary2016."
"10$aAllegheny County - Cemeteries.","-80.345104","-79.685769","40.678135","40.214381","\7$aBase Map.$2ISO 19115 Topic Categories",,"AlleghenyCounty_Cemetery2002."
"10$aAllegheny County - County Council Districts.","-80.368058","-79.676165","40.682800","40.184919","\7$aboundaries.$2ISO 19115 Topic Categories",,"AlleghenyCounty_CntyCouncil201205."
"10$aAllegheny County - Councils of Government.","-80.368058","-79.676165","40.682800","40.184919","\7$aboundaries.$2ISO 19115 Topic Categories",,"AlleghenyCounty_COGs2008."
"10$aAllegheny County - Contours.","-80.373621","-79.670684","40.687004","40.180685","\7$aelevation.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPittsburgh.|\0$aSouthwest Pennsylvania.","AlleghenyCounty_Contours2006."
"10$aAllegheny County - Floodplain.","-80.362619","-79.675950","40.681905","40.185105","\7$aInlandWaters.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories|\7$aenvironment.$2ISO 19115 Topic Categories|\7$ageoscientificinformation.$2ISO 19115 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.","AlleghenyCounty_Floodplain2000."
"10$aAllegheny County - Building Footprints.","-80.373487","-79.672725","40.687091","40.180738","\7$astructure.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_Footprints201802."
"10$aAllegheny County Greenways 201003.","-80.367535","-79.676165","40.682456","40.184930","\7$aGreenways.$2ISO 19115 Topic Categories|\7$aOpen Space.$2ISO 19115 Topic Categories|\7$aLinear parks.$2ISO 19115 Topic Categories|\7$aenvironment.$2ISO 19115 Topic Categories","\0$aPennsylvania, Allegheny County, Pittsburgh,.","AlleghenyCounty_Greenways201003."
"10$aAllegheny County - Hydrology Areas.","-80.371182","-79.673615","40.686053","40.183784","\7$aInland Waters.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_HydrologyAreas2016."
"10$aAllegheny County - Hydrology Lines.","-80.373285","-79.670683","40.686265","40.180706","\7$aInland Waters.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_HydrologyLines2016."
"10$aAllegheny County - Index.","-80.374588","-79.669315","40.685169","40.180013","\7$aboundaries.$2ISO 19115 Topic Categories|\7$abase map.$2ISO 19115 Topic Categories|\7$alocation.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_Index2000."
"10$aAllegheny County - Library.","-80.221680","-79.744629","40.663960","40.284802","\7$asociety.$2ISO 19115 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.","AlleghenyCounty_Library2002."
"10$aAllegheny County - NHI (Natural Heritage Inventory)","-89.875","-89.75","30.5","30.375","\7$abiota.$2ISO 19115.3 Topic Categories|\7$aenvironment.$2ISO 19115.3 Topic Categories|\7$aeconomy.$2ISO 19115.3 Topic Categories|\7$asociety.$2ISO 19115.3 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.|\0$aWestern PA.","AlleghenyCounty_NHI2000."
"10$aAllegheny County - NWI (National Wetlands Inventory)","-89.875","-89.75","30.5","30.375","\7$aenvironment.$2ISO 19115.3 Topic Categories|\7$ageoscientificInformation.$2ISO 19115.3 Topic Categories|\7$ainlandWaters.$2ISO 19115.3 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aSouthwest PA.|\0$aClairton.|\0$aMcKeesport.|\0$aDuquesne.|\0$aWestern PA.","AlleghenyCounty_NWI2000."
"10$aAllegheny County Parcels 201802.","-80.374573","-79.653515","40.701059","40.121793","\7$aboundaries.$2ISO 19115 Topic Categories|\7$aeconomy.$2ISO 19115 Topic Categories|\7$aplanning Cadastre.$2ISO 19115 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.","AlleghenyCounty_Parcels201802."
"10$aAllegheny County - Parking.","-80.341891","-79.680831","40.681602","40.186777","\7$aPlanning Cadastre.$2ISO 19115 Topic Categories|\7$aStructure.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_Parking2000."
"10$aAllegheny County - Parks.","-80.315632","-79.680262","40.669904","40.187227","\7$abiota.$2ISO 19115 Topic Categories|\7$aboundaries.$2ISO 19115 Topic Categories|\7$aenvironment.$2ISO 19115 Topic Categories|\7$aeconomy.$2ISO 19115 Topic Categories|\7$asociety.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aAllegheny County.|\0$aSouth West PA.|\0$aWestern PA.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_Parks2000."
"10$aAllegheny County - Pools.","-80.242511","-79.700434","40.679981","40.267287","\7$aSociety.$2ISO 19115 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.","AlleghenyCounty_Pools2000."
"10$aAllegheny County - Public Buildings.","-80.328480","-79.710989","40.663950","40.193722","\7$aLocation.$2ISO 19115.3 Topic Categories|\7$aStructure.$2ISO 19115.3 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.|\0$aWestern PA.","AlleghenyCounty_Publicbldgs2002."
"10$aAllegheny County - Retaining Walls.","-80.354415","-79.672045","40.686711","40.183723","\7$astructure.$2ISO 19115 Topic Categories|\7$atransportation.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_Retainwall2006."
"10$aAllegheny County - Railroad Lines.","-80.303433","-79.674389","40.683007","40.184464","\7$atransportation.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_RRlines2006."
"10$aAllegheny County Slopes 201001.","-80.368058","-79.676165","40.682800","40.184919","\7$alandform.$2ISO 19115 Topic Categories|\7$atopography.$2ISO 19115 Topic Categories|\7$aslopes.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aUSA.","AlleghenyCounty_Slopes201001."
"10$aAllegheny County - Soils.","-80.368656","-79.676224","40.682989","40.184955","\7$aGeoscientificInformation.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories|\7$aenvironment.$2ISO 19115 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.","AlleghenyCounty_Soils2000."
"10$aAllegheny County - Spot Elevation.","-80.373199","-79.671427","40.686763","40.181481","\7$aelevation.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPittsburgh.|\0$aSouthwest Pennsylvania.","AlleghenyCounty_Spotelev2006."
"10$aAllegheny County - Street Centerlines 201802."," -79.959468"," -79.919319"," 40.430509"," 40.397843","\7$aSTREET CENTERLINE.$2ISO 19115 Topic Categories|\7$atransportation.$2ISO 19115 Topic Categories",,"AlleghenyCounty_StreetCenterlines201802."
"10$aAllegheny County - Street Edge of Pavement.","-80.373561","-79.670692","40.686984","40.180747","\7$atransportation.$2ISO 19115 Topic Categories","\0$aPA.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.","AlleghenyCounty_StreetEOP2006."
"10$aAllegheny County Voting Districts.","-80.368058","-79.676165","40.682800","40.184919","\7$aboundaries.$2Allegheny County Geodatabase Structure|\7$aGovernmental Units.$2Allegheny County Geodatabase Structure",,"AlleghenyCounty_Votedist201411."
"10$aAllegheny County - Watersheds.","-80.368712","-79.675936","40.683114","40.184936","\7$ainlandWaters.$2ISO 19115.3 Topic Categories|\7$aenvironment.$2ISO 19115.3 Topic Categories","\0$aPA.|\0$aAllegheny County.|\0$aPittsburgh.|\0$aClairton.|\0$aDuquesne.|\0$aMcKeesport.|\0$aSouthwest PA.|\0$aWestern PA.","AlleghenyCounty_Watersheds2000."
"10$aAllegheny County Wooded Areas 2011.","-80.368573","-79.678470","40.683049","40.185801","\7$abiota.$2ISO 19115 Topic Categories|\7$aenvironment.$2ISO 19115 Topic Categories",,"AlleghenyCounty_WoodedAreas2011."
"10$aAllegheny County Imagery 2010.","-80.085650","-80.048712","40.600694","40.572534","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2010."
"10$aAllegheny County Imagery Tile Index 2010.","-80.085650","-80.048712","40.600694","40.572534","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2010_TileIndex."
"10$aAllegheny County Imagery 2013.","-80.085650","-80.048712","40.600694","40.572534","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2013."
"10$aAllegheny County Imagery 2013 - Tile Index.","-80.085650","-80.048712","40.600694","40.572534","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2013_ TileIndex."
"10$aAllegheny County Imagery 2015.","-80.085650","-80.048712","40.600694","40.572534","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2015."
"10$aAllegheny County Imagery 2017.","-80.085650","-80.048712","40.600694","40.572534","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2017_3inch."
"10$aAllegheny County Imagery 2017.","-80.085650","-80.048712","40.600694","40.572534","\0$arectified photograph.|\0$arectified image.|\0$aaerial photograph.|\0$adigital image map.|\0$aimageryBaseMapsEarthCover.|\0$adigital orthophoto.|\0$aorthophoto.","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyImagery2017_9inch."
"10$aAllegheny County Lidar and Terrain Products 2017.","-80.085650","-80.048712","40.600694","40.572534","\0$aimageryBaseMapsEarthCover.|\0$aLiDAR.|\0$aLAS.|\0$aBreakline.|\0$ahillshade.|\0$aDEM.|\0$aContours.","\0$aAllegheny County.|\0$aPennsylvania.|\0$aPittsburgh.","AlleghenyCountyLidar2017."
"10$aAllegheny County Urban Tree Canopy 2010.","-80.368076","-79.669145","40.682922","40.175564","\7$aLand cover.$2ISO 19115 Topic Categories|\7$aUTC.$2ISO 19115 Topic Categories|\7$aUrban.$2ISO 19115 Topic Categories|\7$atree canopy.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aAllegheny County.|\0$aPittsburgh.|\0$aPennsylvania.","AlleghenyCountyUrbanTreeCanopy2010."
"10$aAlleghenyReservoir.","-79.006267","-78.867999","41.999288","41.770213","\0$areservoir.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_AlleghenyReservoir."
"10$aAlleghenyRiver.","-79.499872","-79.003627","41.857641","41.460980","\0$ariver.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_AlleghenyRiver."
,,,,,,,"AlleghenyNationalForest_BasicOwnership."
,,,,,,,"AlleghenyNationalForest_Compartment201606."
"10$aContour_20.","-79.605163","-78.502712","42.094590","41.240829","\7$atopographic.$2USFS GIS Data Dictionary|\7$atopography.$2USFS GIS Data Dictionary|\7$acontours.$2USFS GIS Data Dictionary|\7$acontour lines.$2USFS GIS Data Dictionary|\7$acontour interval.$2USFS GIS Data Dictionary|\7$aterrain.$2USFS GIS Data Dictionary|\7$a100 foot.$2USFS GIS Data Dictionary|\7$aelevation.$2USFS GIS Data Dictionary","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_Contour_20."
"10$aContour_100.","-79.604805","-78.502712","42.094585","41.240829","\7$atopographic.$2USFS GIS Data Dictionary|\7$atopography.$2USFS GIS Data Dictionary|\7$acontours.$2USFS GIS Data Dictionary|\7$acontour lines.$2USFS GIS Data Dictionary|\7$acontour interval.$2USFS GIS Data Dictionary|\7$aterrain.$2USFS GIS Data Dictionary|\7$a100 foot.$2USFS GIS Data Dictionary|\7$aelevation.$2USFS GIS Data Dictionary","\0$aANF.|\0$aAllegheny National Forest.|\0$aPennsylvania.|\0$aPA.","AlleghenyNationalForest_Contour_100."
"10$aEcologicalLandtype.","-79.498722","-78.636796","42.009903","41.318726","\0$aecological landtype.|\0$asoil groups.|\0$alandform.|\0$aplateau.|\0$aside slope.|\0$aland classification.|\0$acolluvials.|\0$asteep side.|\0$adepression.|\0$aupland.|\0$afluvial.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_EcologicalLandtype."
"10$aELT_Landform.","-79.498723","-78.636796","42.009903","41.318728","\0$alandform.|\0$aplateau.|\0$aside slope.|\0$afoot.|\0$abottom.|\0$ashoulder.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_ELT_Landform."
"10$aLandTypeAssociation_ANF.","-79.821547","-78.100918","42.272064","41.191853","\0$aunglatiated.|\0$ahigh plateau.|\0$alandtype.|\0$aecological.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_LandTypeAssociation_ANF."
"10$aLocalTown.","-79.460664","-78.621738","41.973222","41.323147","\0$aminor civil division.|\0$acity.|\0$aborough.|\0$acities.|\0$atown.|\0$alocal town.|\0$avillage.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.|\0$aWarren.|\0$aElk.|\0$aForest.|\0$aMcKean.","AlleghenyNationalForest_LocalTown."
,,,,,,,"AlleghenyNationalForest_MajorRoad."
"10$aMajorStream.","-79.503009","-78.607806","42.010248","41.315566","\0$astreams.|\0$arivers.|\0$areservoir.|\0$adouble line.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_MajorStream."
"10$aMajorTownPt.","-79.514124","-78.273209","41.993658","41.416506","\7$aminor civil division.$2USFS GIS Data Dictionary|\7$acity.$2USFS GIS Data Dictionary|\7$aborough.$2USFS GIS Data Dictionary|\7$acities.$2USFS GIS Data Dictionary|\7$atowns.$2USFS GIS Data Dictionary","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.|\0$aWarren.|\0$aElk.|\0$aForest.|\0$aMcKean.","AlleghenyNationalForest_MajorTownPt."
"10$aManagementArea.","-79.498673","-78.635818","42.010382","41.312515","\0$amanagement areas.|\0$ama.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPennsylvania.|\0$aPA.","AlleghenyNationalForest_ManagementArea."
"10$aProclaimedForest.","-79.498577","-78.635818","42.010382","41.316700","\7$aNFS lands.$2FS GIS Data Dictionary|\7$anational forest system lands.$2FS GIS Data Dictionary|\7$aALP land dataset.$2FS GIS Data Dictionary|\7$aland status.$2FS GIS Data Dictionary","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_ProclaimedForest."
"10$aQuadrangleBoundary.","-79.511367","-78.601907","42.014693","41.240864","\0$aUSGS.|\0$aquadrangle.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_QuadrangleBoundary."
"10$aRecreationSitePolygon.","-79.428910","-78.720957","42.004765","41.391168","\7$arecreation sites.$2FS GIS Data Dictionary|\7$aoverlook.$2FS GIS Data Dictionary|\7$atrailhead.$2FS GIS Data Dictionary|\7$acampground.$2FS GIS Data Dictionary|\7$abeach.$2FS GIS Data Dictionary|\7$amarina.$2FS GIS Data Dictionary|\7$arecreation area.$2FS GIS Data Dictionary|\7$aoffice.$2FS GIS Data Dictionary|\7$apoint of interest.$2FS GIS Data Dictionary|\7$aboat launch.$2FS GIS Data Dictionary|\7$aboat access.$2FS GIS Data Dictionary|\7$arec area.$2FS GIS Data Dictionary","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_RecreationSitePolygon."
,,,,,,,"AlleghenyNationalForest_Road."
,,,,,,,"AlleghenyNationalForest_SubsurfaceRight."
,,,,,,,"AlleghenyNationalForest_Trail."
,,,,,,,"AlleghenyNationalForest_TravelRoute_ln201606."
,,,,,,,"AlleghenyNationalForest_Vegetation201606."
,,,,,,,"AlleghenyNationalForest_Warrant."
"10$aWaterbody.","-79.523928","-78.607463","42.019799","41.242358","\0$awaterbody.|\0$ariver.|\0$astream.|\0$alake.|\0$apond.|\0$areservoir.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_Waterbody."
"10$aWilderness.","-79.446537","-79.223089","41.827319","41.512927","\0$awilderness.|\0$aislands.|\0$aHickory Creek.","\0$aANF.|\0$aAllegheny National Forest.|\0$aPA.|\0$aPennsylvania.","AlleghenyNationalForest_Wilderness."
"10$aUSGS QL1 LiDAR for Allentown, PA 2016 - Classified LAS.","-75.557001119897","-75.4113585764082","40.6416381950144","40.5461340160323","\7$aLidar.$2ISO 19115 Category|\7$aElevation data.$2ISO 19115 Category|\7$aHydrology.$2ISO 19115 Category|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Category","\0$aUnited States.|\0$aUS.|\0$aPennsylvania.|\0$aPA.|\0$aLehigh County.|\0$aAllentown.","AllentownPA_ClassifiedLAS2016."
"10$aUSGS QL1 LiDAR for Allentown, PA 2016 - DEM.","-75.557001119897","-75.4113585764082","40.6416381950144","40.5461340160323","\7$aLidar.$2ISO 19115 Category|\7$aElevation data.$2ISO 19115 Category|\7$aHydrology.$2ISO 19115 Category|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Category","\0$aUnited States.|\0$aUS.|\0$aPennsylvania.|\0$aPA.|\0$aLehigh County.|\0$aAllentown.","AllentownPA_HydroFlattenedBareEarthRasterDEM2016."
