Filename,DatasetURI,Title,Description,Originator,Publisher,Date_Issued,Temporal,Geom_type,Geom2,West,East,North,South,Format,Thumbnail,Keywords,Place
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2017_fall/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2017-fall,"Aerial Photography - 2017 Fall, Dakota County, Minnesota","County wide ortho photography at 6-inch pixel resolution in County Coordinates. The photography was exposed on 11/08/17, 11/09/2017, 11/18/2017 and 11/19/2017.",Dakota County,Dakota County,periodically revised,201711,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2017_fall/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2017_sprg/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2017-sprg,"Aerial Photography - 2017 Spring, Dakota County, Minnesota","County wide ortho photography at 6-inch pixel resolution in County Coordinates. The photography was exposed on 4/1/17, 4/4/2017, 4/6/2017, 4/7/2017, 4/22/2017, 4/23/2017,  4/29/2017, 5/2/2017, 5/3/2017, 5/4/2017, 5/5/2017, and 5/7/2017.",Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2017_loff/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_service/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-service,"Aerial Photography - 1927 - 2016, Dakota County, Minnesota","Partial and County wide ortho photography at various pixel resolutions from a variety of years from 1927 - 2016.
<a href=""Summary.htm"">Horizontal Accuracy Report</a>",Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_service/metadata/preview.jpg,[u'base map'],"[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/bdry_county_parks/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-bdry-county-parks,"County Parks, Dakota County, Minnesota",This dataset contains polygons that represent the overall park boundary and polygons that represent private properties within the park boundary. Created using parcels and road centerlines.,"Dakota County GIS, Dakota County GIS, Staff",Dakota County GIS,20160817,20160817,undefined,Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; Esri ArcGIS 10.3.1.4959,-93.204928,-92.781535,44.912482,44.509236,undefined,undefined,"[u'bdry, boundaries, parks']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/bdry_munbndp/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-bdry-munbndp,"Municipal Boundaries, Dakota County, Minnesota",Boundaries of the cities and townships in Dakota County.,"Dakota County GIS, Dakota County GIS, Staff",Dakota County GIS,20150902,20150720,undefined,Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; Esri ArcGIS 10.3.1.4959,-93.329706,-92.729113,44.923499,44.469877,undefined,undefined,"[u'bdry, boundaries, boundary, municipality, municipalities, city, township']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/bdry_parkrec_geocachingofflimits/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-bdry-geocachingofflimits,"Parks Geocaching Off-Limits Areas, Dakota County, Minnesota",Geocaching off limit areas are created from tax parcel information and areas defined by the Dakota County Geocaching Guidelines. https://www.co.dakota.mn.us/parks/Activities/Geocaching/Pages/geocaching-guidelines.aspx,"Dakota County GIS, Dakota County GIS, Staff",Dakota County GIS,20140905,20150720,undefined,Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; Esri ArcGIS 10.2.2.3552,-93.204560,-92.781535,44.912481,44.509799,undefined,undefined,"[u'bndy, boundaries, geocaching, Off-Limitss', u'boundaries']","[u'Dakota County, Apple Valley, Douglas Township, Eagan, Empire Township, Hastings, Miesville, Randolph, Randolph Township,Rosemount, Nininiger Township']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/bdry_politicaladmin_commissioner/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-bdry-politicaladmin-commissioner,"County Commissioner Districts, Dakota County, Minnesota",Dakota County Commissioner District boundaries based off 2012 redistricting precincts and aligned to the county boundary.,"Dakota County GIS, Dakota County GIS, Staff",Dakota County GIS,20120522,20120522,undefined,Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; Esri ArcGIS 10.3.1.4959,-93.329706,-92.729087,44.923499,44.469879,undefined,undefined,"[u'boundaries, districts, commissioner districts, county commissioners']","[u'Dakota County, Minnesota']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/bdry_politicaladmin_service/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-bdry-politicaladm-service,"Political and Administrative Boundaries, Dakota County, Minnesota",Political and Administrative Boundaries service of DCGIS that contains Dakota County layers related to areas served by elected officials.,Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/bdry_politicaladmin_service/metadata/preview.jpg,[u'bdry'],"[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/bdry_swcdsupervisordistricts/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-bdry-swcdsupervisordistricts,"SWCD Supervisor Districts, Dakota County, Minnesota","This layer represents supervisor district boundaries for the Dakota County Soil and Water Conservation District. Each district is formed according to city and township municipal boundaries in Dakota County. District 1: Burnsville, Eagan, Inver Grove Heights, Mendota, Mendota Heights, Lilydale, South St. Paul, Sunfish Lake, West St. Paul. District 2: Apple Valley, Coates, Empire Township, Farmington, Lakeville, and Rosemount. District 3: Hastings, Marshan Township, Nininger Township, Ravenna Township, Vermillion, and Vermillion Township. District 4: Castle Rock Township, Eureka Township, Greenvale Township, Sciota Township, Northfield, and Waterford Township. District 5: Douglas Township, Hampton, Hampton Township, Miesville, New Trier, Randolph, and Randolph Township.","David Holmen, Dakota County Soil and Water Conservation District, Resource Conservationist/I.T. Specialist",David Holmen,20140514,20140514,undefined,Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; Esri ArcGIS 10.3.1.4959,-93.329706,-92.729113,44.923499,44.469877,undefined,undefined,"[u'boundaries,supervisor districts,SWCD']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/biota_landuse_landdev_service/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-biota-landuse-landdev-service,"Land use and Land Development, Dakota County, Minnesota","Land use and Land Development service of DCGIS that contains Dakota County layers related to Conservation projects, regional greenways and other related layers.",Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/biota_landuse_landdev_service/metadata/preview.jpg,[u'biota'],"[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/biota_landusedev_mlccs/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-biota-landusedev-mlccs,"SWCD MLCCS Natural Resource Inventory, Dakota County, Minnesota","This data set contains land cover polygons and associated attributes. From 1999 to 2003 land cover boundaries were created by interpreting, delineating, and digitizing vegetation communities and impervious surfaces. The Minnesota Land Cover Classification System (MLCCS)was used to interpret land cover types. MN DNR color infrared photography, Dakota County digital color aerial photography, and Pictometry were used for interpreting vegetation along with the following GIS data sets: national wetland inventory, county biological survey, hydric soils, physical water features, fieldline boundaries, woodline boundaries, and contours. Land cover boundaries were delineated on 1997 Metropolitan Council Digital Ortho Quarter Quads (DOQQ'S) from 1999 to 2000 (1991 United States Geological Survey DOQQ's were used for high water areas that were flooded on the 1997 DOQQ's), on 2000 Metropolitan Council DOQQ's from 2000 to 2002 and on 2002 Dakota County DOQQ's during 2003. Resulting interpreted and delineated land cover polygons were field checked where visible or accessible from roads or public property. Polygon boundaries were then digitized in ArcInfo at a 1:3,000 scale. A Minimum mapping unit of 1 acre was observed for both built-up and semi-natural and natural polygons. Exceptions: feedlots, prairies, stormwater ponds, and many wetlands were mapped at smaller sizes, and a portion of the City of Eagan extending from the southern municipal boundary northwest to 35E and east to Dodd Road to the north and Highway 3 to the south was re-mapped at a 1/4 acre mmu (only MLCCS 10,000 level codes). Partial updates were completed for: many wetland basins within the Vermillion River Watershed (political boundary) in 2006-07 during the WWIA using 2005 and 2006 aerial photography, many wetland basins within the North Cannon River Watershed (poltical boundary) in 2007-08 during the WWIA using 2006 and 2008 aerial photography, the entire Vermillion River Watershed (political boundary) in 2009 using 2008 and 2009 aerial photography, a 1 mile buffer area of both sides of all waterways within the North Cannon River Watershed (political boundary) in 2010 using 2009 aerial photography, all remaining sections of the North Cannon River Watershed (political boundary) in early 2012 using 2011 aerial photography, many areas of Dakota County north of Apple Valley/Rosemount during 2012 using 2011 aerial photography while spot checking data, all Dakota County FNAP property easements through 2013, and all BWSR approved Wetland Banks in Dakota County through 2013. In 2016, the entire North Cannon River Watershed (political boundary) was spot checked and updated section by section using Spring 2016 photography. All Dakota County FNAP and NRMP property easements to date were also updated in 2016. In 2017, the entire Vermillion River Watershed (political boundary) was spot checked and updated section by section using Summer 2016 photography.Groundtruthing:From 1999-2003 resulting interpreted and delineated land cover polygons were field checked where visible or accessible from roads or public property. All Dakota County FNAP and NRMP property easements were field checked with revisions made to MLCCS prior to individual easement closing.","David Holmen, Dakota County Soil and Water Conservation District, GIS Specialist/Resource Conservationist",David Holmen,20180416,20180416,undefined,Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; Esri ArcGIS 10.4.1.5686,-93.330513,-92.730683,44.923327,44.470852,SDE Feature Class,undefined,"[u'biota, Land Cover, MLCCS, Natural Resource Inventory, Greenways, Wetland Inventory', u'biota', u'environment', u'inlandWaters']","[u'Dakota County, Minnesota']"
