Title,Date,Publisher,Description,Metadata
Fishing Special Regulation Lakes (Polygons),2020,Pennsylvania Fish and Boat Commission,"This layer contains the lakes that are part of the Pennsylvania Fish and Boat Commission Fisheries Resource Database.   These include lakes that are currently or have previously been stocked, regulated or sampled.",FullMetadataDisplay.aspx?file=Fishing_SpecReg_Lakes202002.xml
Allegheny County - Building Footprints,2020,Allegheny County,"Footprints for all buildings and out buildings in Allegheny County.  Buildings are captured by following the edge of the roof line.  All near orthogonal corners are square.  Interim roof lines, such as dormers, are not shown. Minor structures such as carports, decks, patios, stairs, etc. which are part of the structure are not shown.  Building Footprints were updated as a result of a flyover in 2004. Buildings less than 400 square feet were not captured. Special consideration was given to garages, less than 400 square feet, and were digitized if greater than 200 square feet.",FullMetadataDisplay.aspx?file=AlleghenyCounty_Footprints202012.xml
Allegheny County - Municipal boundaries,2020,Allegheny County,"Data was created to portray the boundaries of the 130 Municipalities in Allegheny County the attribute table includes additional descriptive informations including Council of Government (COG) affiliation, School District, Congressional District, FIPS Code, County Municipal Code and County Council District.",FullMetadataDisplay.aspx?file=AlleghenyCounty_Munibnd202007.xml
Allegheny County - Parcels,2020,Allegheny County,Boundary outlines of individual properties in Allegheny County.,FullMetadataDisplay.aspx?file=AlleghenyCounty_Parcels202012.xml
Allegheny County - Parks,2020,Allegheny County,Was derived from the data included in original file CULTUREF. Delineates the area following a generalized line along the outside edge of all parks in Allegheny County,FullMetadataDisplay.aspx?file=AlleghenyCounty_Parks2020.xml
Allegheny County - Address Points,2020,Allegheny County,"This dataset contains Address Points in Allegheny County. The Address Points were created by GDR for the Allegheny County CAD project, October 2008. Data is updated by County staff as changes and corrections are found, on a continuous basis. Updates are sent to PASDA monthly.",FullMetadataDisplay.aspx?file=AlleghenyCounty_AddressPoints202012.xml
Allegheny County - Street Centerlines,2020,Allegheny County,"This dataset contains street centerlines for vehicular and foot traffic in Allegheny County.  Street Centerlines are classified as Primary Road, Secondary Road, Unpaved Road, Limited Access Road, Connecting Road, Jeep Trail, Walkway, Stairway, Alleyway and Unknown.

A Primary Road is a street paved with either concrete or asphalt that has two (2) or more lanes in each direction.  A Secondary Road is a residential type hard surface road, or any hard surface road with only one (1) lane in each direction.  An Unpaved Road is any road covered with packed dirt or gravel.  A Limited Access Road is one that can only be accessed from a Connecting Road such as an Interstate Highway.  A Connecting Road is a ramp connecting a Limited Access Road to a surface street.  A Walkway is a paved or unpaved foot track that connects two (2) roads together.  Walkways within College Campuses will also be shown.  Recreational pedestrian trails and walkways through parks and wooded areas are not considered transportation and will not be digitized during this update.  Walkways will not have an Edge of Pavement feature.  A Stairway is a paved or wooden structure that connects two (2) roads together.  Recreational pedestrian trails and walkways through parks and wooded areas are not considered transportation and will not be digitized during this update.  An Alleyway is a road, usually narrower than a Secondary Road that runs between, but parallel to, two (2) Secondary Roads.  Generally, Outbuildings will be adjacent to Alleyways.  A Jeep Trail is a vehicular trail used for recreation.  A Jeep Trail will not have an associated edge of pavement feature.  A road coded as Unknown is a road, which in the judgment of the photogrammetrist, does not fall into any of the categories listed.

Centerlines will be visually placed between the edges of pavement.  One (1) centerline will be placed between each edge of pavement.  Roads with medial strips, such as Limited Access Roads, will have two (2) centerlines for those portions of the road where the medial strip is present.

For roads that terminate with a cul-de-sac, the centerline shall continue through the center of the cul-de-sac and stop at the edge of pavement.

All attribute data will remain for all Street Centerlines that are not updated.  For Street Centerlines that are new, the only attribute field that will be populated is the FeatureCode and UPDATE_YEAR.  If a Street Centerline is graphically modified, the existing attribute data will remain and the UPDATE_YEAR will be set to 2004.  The attribute values for 2004 Street Centerlines should be considered suspicious until verified.

The ArcInfo Street Centerline coverage that is being updated has 800 segments of Paper Streets, 66 segments of Vacated Streets and 78 segments of Steps.  Street Centerlines that are coded as Paper Streets in the OWNER field will remain unchanged in the updated dataset unless the area has been developed.  In the event the area has been developed, the Street Centerlines will be modified to reflect the true condition of the visible roads.
Street Centerlines that are coded as Vacated in the OWNER field will also remain unchanged in the updated dataset.  In the event the area coinciding with the Vacated Streets has been developed, the Vacated Street Centerlines will be removed in order to reflect the true condition of the area.

Street Centerlines that are coded as Steps in the OWNER field will be updated to reflect the current condition of the area.

The Street Centerlines dataset consists of an external table that links to the supplied coverages and the Geodatabase created for this project using the ""-ID"" (UserID) field.  In order to maintain the link to the external table and not loose valuable data the decision was made to keep all database information currently in the Street Centerline dataset.  When a Street Centerline is modified during the update process, the field ""UPDATE_YEAR"" is set to 2004.  All other database attributes will remain unchanged from the original values.  All Street Centerline database data with an ""UPDATE_YEAR"" of 2004 should be verified before used.  In some occasions the Street Centerline was divided into two (2) sections to allow for a new road intersection.  Both sections of the resulting Street Centerline will have the same database attributes including Address Range.  All new Street Centerlines will have zero (0) for ""SystemID"" and ""UserID"".",FullMetadataDisplay.aspx?file=AlleghenyCounty_StreetCenterlines202012.xml
Allegheny County - Voting Districts,2020,Allegheny County,Data was created to portray the boundaries of the Voting Districts in Allegheny County.,FullMetadataDisplay.aspx?file=AlleghenyCounty_Votedist202007.xml
"Allegheny County -Tree Canopy Change, 2010-2015",2020,Allegheny County,"Tree canopy change in Allegheny County Pennsylvania for the years 2010 to 2015. This tree canopy change data set consists of three classes: no change, gain, and loss. No change polygons are those in which the tree canopy remained the same between the two time periods. Gain polygons are those in which tree canopy increased between the two time periods. Loss polygons are those in which tree canopy decrease between the two time periods. 2010 tree canopy can be calculated by adding the “no change” and loss classes. Tree canopy for 2015 can be calculated by adding the “no change” and “gain” classes.Several data sets were used to map tree canopy change. The starting point was the 2010 high-resolution land cover data set developed for Allegheny County. Change was then mapped using leaf-off lidar data collected in 2006, 4-band leaf-on National Agriculture Imagery Program (NAIP) data collected in 2010, leaf off lidar data collected in 2015, and 4-band leaf-on NAIP data collected in 2015. All four data sets were integratedinto an object-based image analysis system (OBIA), which a rule-based expert system. A combination of segmentation, classification, and morphology algorithms were employed to determine if tree canopy had changed between the two time periods. The data set was then manually edited at a scale of 1:5000. The main factors determining change were a decrease in height, indicating tree removal, as identified by the lidar, and the change in the spectral characteristics, as identified in the aerial imagery. There were spatial misalignment issues between all four of the data sets. As a result, very fine scale changes at the edges of tree canopy could not be determined. The data set can thus be considered to be slightly biased towards tree canopy loss, and fine-scale tree canopy gains could not be determined. Most of the gain identified is not new growth, but rather canopy from trees that were too small to be detected in the original 2010 mapping.The incorporation of newer lidar data enabled a revisit of the original 2010 tree canopy mapping. The 2015 lidar data was substantially higher quality than the 2006 lidar data used for the 2010 high-resolution land cover mapping project. This enabled errors of omission and commission in the original 2010 tree canopy mapping to be corrected. Examples include shrubby areas in 2010 falsely classified as tree canopy and tall trees that were not clearly visible in the data used to map tree canopy in 2010. This data set should be considered to be the most accurate depiction of tree canopy for both the 2010 and 2015 time periods.",FullMetadataDisplay.aspx?file=AlleghenyCounty_TreeCanopyChange_2010_2015__2020.xml
Pennsylvania Interstate Highway Exits,2020,Pennsylvania Department of Transportation,point locations of Pennsylvania interstate highway exits,FullMetadataDisplay.aspx?file=PAInterstateHighwayExits2020_08.xml
Pennsylvania Interstate Mile Markers,2020,Pennsylvania Department of Transportation,point locations of Pennsylvania Interstate mile markers,FullMetadataDisplay.aspx?file=PaInterstateMileMarkers2020_08.xml
USGS Geopdf's for New Jersey,2011,U S Geological Survey,"About GeoPDF data files

PDF (Portable Document Format) digital files are now available for US Geological Survey topographic quadrangle maps. Each file is essentially a scan of a topographic map with the added feature of being georegistered. The files can be used as a PDF file, enabling users to view topo maps onscreen.

The GeoPDF format is an extension to Adobe's PDF 1.3 and higher versions enabling GIS functionality within standard PDF files. This format is designed for the efficient distribution and communication of rich spatial data to anyone who needs to view, review, verify, update, or print it. Because GeoPDF files are highly compressed and encapsulated, they are smaller, faster, and easier to transmit than GIS data sets, without the overhead associated with typical GIS spatial data sets (or the management of database tables, external links, and dependencies). Using the GeoPDF format, publishers of spatial data can select the specific spatial data they want recipients to see and can publish GIS source files into a single GeoPDF file.

GeoPDF files are not a replacement for native GIS formats. GIS professionals still need the original files for editing or updating spatial data. GeoPDF files enable non-GIS professionals, field technicians, business executives, and their colleagues to utilize rich spatial information. Users can view and print GeoPDF files with the free and ubiquitous Adobe Reader ,and they can do more with the data using a free plug-in called TerraGo Toolbar. Users do not have to install this plug-in to view GeoPDF files.",FullMetadataDisplay.aspx?file=USGS_GEOpdf.xml
Lancaster County - Drives,2019,Lancaster County,"Polygons representing photogrammetrically interpreted edges of paved and unpaved drives greater than 200 ft. in length. Features were updated using Pictometry 6 inch resolution aerial photos flown in the spring of 2016 that encompass the entire County. Red-Green-Blue and Color Infrared were both used to capture, modify, and validate new and changed features.",FullMetadataDisplay.aspx?file=LancasterCountyDrives201907.xml
Lancaster County - Municipal Boundaries,2020,Lancaster County,"Polygon layer representing the Lancaster County municipal boundaries, as mapped by the assessment office.",FullMetadataDisplay.aspx?file=LancasterCountyMunicipalBoundaries202009.xml
Lancaster County - Parking Lots,2019,Lancaster County,"This polygon coverage represents photogrammetrically interpreted surfaces and edges of parking lots. All lots in excess of 1000 square feet will be compiled. Features were updated using Pictometry 6 inch resolution aerial photos flown in the spring of 2016 that encompass the entire County. Red-Green-Blue and Color Infrared were both used to capture, modify, and validate new and changed features.",FullMetadataDisplay.aspx?file=LancasterCountyParkingLots201907.xml
USGS Geopdf's for New York,2011,U S Geological Survey,"About GeoPDF data files

PDF (Portable Document Format) digital files are now available for US Geological Survey topographic quadrangle maps. Each file is essentially a scan of a topographic map with the added feature of being georegistered. The files can be used as a PDF file, enabling users to view topo maps onscreen.

The GeoPDF format is an extension to Adobe's PDF 1.3 and higher versions enabling GIS functionality within standard PDF files. This format is designed for the efficient distribution and communication of rich spatial data to anyone who needs to view, review, verify, update, or print it. Because GeoPDF files are highly compressed and encapsulated, they are smaller, faster, and easier to transmit than GIS data sets, without the overhead associated with typical GIS spatial data sets (or the management of database tables, external links, and dependencies). Using the GeoPDF format, publishers of spatial data can select the specific spatial data they want recipients to see and can publish GIS source files into a single GeoPDF file.

GeoPDF files are not a replacement for native GIS formats. GIS professionals still need the original files for editing or updating spatial data. GeoPDF files enable non-GIS professionals, field technicians, business executives, and their colleagues to utilize rich spatial information. Users can view and print GeoPDF files with the free and ubiquitous Adobe Reader ,and they can do more with the data using a free plug-in called TerraGo Toolbar. Users do not have to install this plug-in to view GeoPDF files.",FullMetadataDisplay.aspx?file=USGS_GEOpdf.xml
Lancaster County - Road Centerlines and Types,2020,Lancaster County,"This line coverage contains arc features representing all photogrammetrically interpreted street centerlines in the county, including roads built during or after 1993. RPT will resolve and generate road names.",FullMetadataDisplay.aspx?file=LancasterCountyRDCLINE202009.xml
Lancaster County - Road Edges (line),2019,Lancaster County,"Arcs representing photogrammetrically interpreted surfaces and edges of public and private roads. Features were updated using NGA and USGS 30 centimeter aerial photos flown from March 26th through April 3rd, 2012 that encompass the entire County. Red-Green-Blue and Color Infrared were both used to capture, modify, and validate new and changed features.",FullMetadataDisplay.aspx?file=LancasterCountyRoadEdge_arc201907.xml
Lancaster County - Road Edges (polygon),2019,Lancaster County,"Polygons representing photogrammetrically interpreted surfaces and edges of public and private roads. Features were updated using Pictometry 6 inch resolution aerial photos flown in the spring of 2016 that encompass the entire County. Red-Green-Blue and Color Infrared were both used to capture, modify, and validate new and changed features.",FullMetadataDisplay.aspx?file=LancasterCountyRoadEdge_poly201907.xml
Lancaster County - Urban and Village Growth (polygons),2020,Lancaster County,This a county-wide coverage that contains polygons showing the urban and village growth boundaries in the county. Growth boundaries are split along municipal boundaries.,FullMetadataDisplay.aspx?file=LancasterCountyUga_poly202009.xml
Lycoming County - Parcels,2020,Lycoming County,"Property or Parcel Boundaries of all known properties in Lycoming County, PA",FullMetadataDisplay.aspx?file=LycomingCountyParcels202012.xml
USGS Geopdf's for Ohio,2011,U S Geological Survey,"About GeoPDF data files

PDF (Portable Document Format) digital files are now available for US Geological Survey topographic quadrangle maps. Each file is essentially a scan of a topographic map with the added feature of being georegistered. The files can be used as a PDF file, enabling users to view topo maps onscreen.

The GeoPDF format is an extension to Adobe's PDF 1.3 and higher versions enabling GIS functionality within standard PDF files. This format is designed for the efficient distribution and communication of rich spatial data to anyone who needs to view, review, verify, update, or print it. Because GeoPDF files are highly compressed and encapsulated, they are smaller, faster, and easier to transmit than GIS data sets, without the overhead associated with typical GIS spatial data sets (or the management of database tables, external links, and dependencies). Using the GeoPDF format, publishers of spatial data can select the specific spatial data they want recipients to see and can publish GIS source files into a single GeoPDF file.

GeoPDF files are not a replacement for native GIS formats. GIS professionals still need the original files for editing or updating spatial data. GeoPDF files enable non-GIS professionals, field technicians, business executives, and their colleagues to utilize rich spatial information. Users can view and print GeoPDF files with the free and ubiquitous Adobe Reader ,and they can do more with the data using a free plug-in called TerraGo Toolbar. Users do not have to install this plug-in to view GeoPDF files.",FullMetadataDisplay.aspx?file=USGS_GEOpdf.xml
USGS Geopdf's for Pennsylvania,2011,U S Geological Survey,"About GeoPDF data files

PDF (Portable Document Format) digital files are now available for US Geological Survey topographic quadrangle maps. Each file is essentially a scan of a topographic map with the added feature of being georegistered. The files can be used as a PDF file, enabling users to view topo maps onscreen.

The GeoPDF format is an extension to Adobe's PDF 1.3 and higher versions enabling GIS functionality within standard PDF files. This format is designed for the efficient distribution and communication of rich spatial data to anyone who needs to view, review, verify, update, or print it. Because GeoPDF files are highly compressed and encapsulated, they are smaller, faster, and easier to transmit than GIS data sets, without the overhead associated with typical GIS spatial data sets (or the management of database tables, external links, and dependencies). Using the GeoPDF format, publishers of spatial data can select the specific spatial data they want recipients to see and can publish GIS source files into a single GeoPDF file.

GeoPDF files are not a replacement for native GIS formats. GIS professionals still need the original files for editing or updating spatial data. GeoPDF files enable non-GIS professionals, field technicians, business executives, and their colleagues to utilize rich spatial information. Users can view and print GeoPDF files with the free and ubiquitous Adobe Reader ,and they can do more with the data using a free plug-in called TerraGo Toolbar. Users do not have to install this plug-in to view GeoPDF files.",FullMetadataDisplay.aspx?file=USGS_GEOpdf.xml
