Title,Date,Publisher,Description,Metadata,Download
"(u'Allegheny County - Contours',)","(u'2006',)","(u'Allegheny County',)","(u'Contour data was created as a result of a county flyover in the spring of 2004. Contours were created from a DTM Feature Dataset, upgraded by Baker and T-3 to support National Mapping Accuracy Standards (NMAS) for contours . Intermediate Contours are contours spaced at 5 foot intervals. Depression Contours are contours showing the edges and slope in a depression at 5 foot intervals. Contours are coded separately for delineation between depression and intermediate contours.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Contours2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Contours2006.zip
"(u'Allegheny County - Contours 2017',)","(u'2017',)","(u'Allegheny County',)","(u'Lidar Data Products for the Allegheny County, PA collection area including a 6ft DEM, hydrogrpahic breakines, and tiled 2ft Contours. The lidar dataset was collected to be utilized for the creation of a digital elevation model, hydrographic breaklines, and 2ft contours. Other uses expected.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycountyimagery2017/PAAlleghenyCo_Contours2017/
"(u'Allegheny County - Councils of Government',)","(u'2008',)","(u'Allegheny County',)","(u""Data was created to portray the boundaries of the Councils of Government (COG's) in Allegheny County."",)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_COGs2008.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_COGs2008.zip
"(u'Allegheny County - County Council Districts',)","(u'2012',)","(u'Allegheny County',)","(u'Data was created to portray the boundaries of the County Council Districts in Allegheny County.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_CntyCouncil201205.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_CntyCouncil201205.zip
"(u'Allegheny County - Floodplain',)","(u'2000',)","(u'Allegheny County',)","(u'In an effort to expedite the permit review process for Water Obstruction and Encroachment Applications, the Pennsylvania Department of Environmental Protection initiated a plan to replace hard-copy maps with digital GIS sets. The project is referred to as the 105 Spatial Data System (105SDS) Pennsylvania river floodplains and coastal floodplains are two of many spatial data sets that were used in the 105SDS project. As a result of work completed by Law Environmental, Inc. on the statewide low-level radioactive waste siting project, DEP received two coverages depicting river and coastal floodplains. However, due to the process used in constructing these data sets, there were many areas throughout the state in which floodplains were not digitized. The primary purpose of this task was to complete the digital floodplain mapping in these areas. \r\nPurpose: INTENDED USE OF DATA; Created to do permit reviews for Water Obstruction and Encroachment Applications. LIMITATIONS OF DATA; Due to the nature of transferring the floodplains from the Federal Emergency Management Agency maps to plotted 1:24000 scale maps this coverage should be considered to be the ""best representation"" of the data but not as accurate as, for example, a map of Global Positioning System\'s floodplain coordinates',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Floodplain2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Floodplain2000.zip
"(u'Allegheny County - Greenways',)","(u'2010',)","(u'Allegheny County',)","(u'The Greenways feature class consists of a compilation of the following data: agricultural easements, Allegheny Land Trust GREENPRINT, Conservation Streams buffered by 50 ft, Forested Floodplains, City of Pittsburgh designated Greenways, Land Trust Properties, Rivers buffered by 100 ft, sensitive slopes, wetlands 1 acre or more buffered by 50 ft, golf courses, parks and trails.  Building footprints have been deleted from the feature class, but can be added back (see ModelWorkspace\\Buildings_in_Greenways).',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Greenways201003.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Greenways201003.zip
"(u'Allegheny County - Hydrology Areas',)","(u'2016',)","(u'Allegheny County',)","(u'Rivers, Lakes, Ponds, Reservoirs, Hidden Lakes, Reservoirs or Ponds: If greater than 25 feet and less than 30 feet wide, is captured as a double line stream. If greater than 30 feet wide it is captured as a river.  Lakes are large standing bodies of water greater than 5 acres in size. Ponds are large standing bodies of water greater than 1 acre and less than 5 acres in size. Reservoirs are man made embankments of water.  Included in this definition are both covered and uncovered water tanks.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_HydrologyAreas2016.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_HydrologyAreas2016.zip
"(u'Allegheny County - Hydrology Lines',)","(u'2016',)","(u'Allegheny County',)","(u'Rivers, Lakes, Ponds, Reservoirs, Hidden Lakes, Reservoirs or Ponds: If greater than 25 feet and less than 30 feet wide, is captured as a double line stream. If greater than 30 feet wide it is captured as a river.  Lakes are large standing bodies of water greater than 5 acres in size. Ponds are large standing bodies of water greater than 1 acre and less than 5 acres in size. Reservoirs are man made embankments of water.  Included in this definition are both covered and uncovered water tanks.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_HydrologyLines2016.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_HydrologyLines2016.zip
"(u'Allegheny County - Index',)","(u'2000',)","(u'Allegheny County',)","(u'Derived from original MAPINDX: Map Index Sheets from Block and Lot Grid of Property Assessment and based on aerial photography, showing 1983 datum with solid line and NAD 27 with 5"" grid tics and italicized grid coordinate markers and outlines of map sheet boundaries.  Each grid square is 3500 x 4500 feet. Each Index Sheet contains 16 lot/block sheets, labeled from left to right, top to bottom (4 across, 4 down): A, B, C, D, E, F, G, H, J, K, L, M, N, P, R, S. The first (4) numeric characters in  a parcelID indicate the Index sheet in which the parcel can be found, the alpha character identifies the block in which most (or all) of the property lies.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Index2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Index2000.zip
"(u'Allegheny County - Library',)","(u'2002',)","(u'Allegheny County',)","(u'Data was created to portray the Libraries in Allegheny County.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Library2002.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Library2002.zip
"(u'Allegheny County - Municipal boundaries',)","(u'2016',)","(u'Allegheny County',)","(u'Data was created to portray the boundaries of the 130 Municipalities in Allegheny County the attribute table includes additional descriptive informations including Council of Government (COG) affiliation, School District, Congressional District, FIPS Code, County Municipal Code and County Council District.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Munibnd201608.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Munibnd201608.zip
"(u'Allegheny County - NHI (Natural Heritage Inventory)',)","(u'2000',)","(u'Allegheny County',)","(u""The Allegheny County Natural Heritage Inventory identifies and maps Allegheny County's most significant natural areas.  The NHI study (Natural Heritage Inventory) investigated plant and animal species and communities that are unique or uncommon in Allegheny County; it also explored areas important for general wildlife habitat, education and scientific study.\r\nThe inventory does not confer protection on any of the areas listed here."",)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_NHI2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_NHI2000.zip
"(u'Allegheny County - NWI (National Wetlands Inventory)',)","(u'2000',)","(u'Allegheny County',)","(u""NWI (National Wetlands Inventory) digital data files are records of wetlands location and classification as defined by the U.S. Fish & Wildlife Service.  This dataset is one of a series available in 7.5 minute by 7.5 minute blocks containing ground planimetric coordinates of wetlands point, line, and area features and wetlands attributes.  When completed, the series will provide coverage for all of the contiguous United States, Hawaii, Alaska, and U.S. protectorates in the Pacific and Caribbean.  The digital data as well as the hardcopy maps that were used as the source for the digital data are produced and distributed by the U.S. Fish & Wildlife Service's National Wetlands Inventory project.  This data set is derived from the national coverage and only includes the area within the boundary of Allegheny County."",)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_NWI2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_NWI2000.zip
"(u'Allegheny County - Parcels',)","(u'2018',)","(u'Allegheny County',)","(u'Boundary outlines of individual properties in Allegheny County.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Parcels201809.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Parcels201809.zip
"(u'Allegheny County - Parking',)","(u'2000',)","(u'Allegheny County',)","(u'Paved and unpaved parking lots that accommodate more than ten (10) cars.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Parking2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Parking2000.zip
"(u'Allegheny County - Parks',)","(u'2000',)","(u'Allegheny County',)","(u'Was derived from the data included in original file CULTUREF. Delineates the area following a generalized line along the outside edge of all parks in Allegheny County',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Parks2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Parks2000.zip
"(u'Allegheny County - Pools',)","(u'2000',)","(u'Allegheny County',)","(u'Data was created to portray in-ground community pools, does not include residential pools.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Pools2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Pools2000.zip
"(u'Allegheny County - Public Buildings',)","(u'2002',)","(u'Allegheny County',)","(u'Point locations of county and municipal buildings, halls, public works sites, government buildings.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Publicbldgs2002.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Publicbldgs2002.zip
"(u'Allegheny County - Railroad Lines',)","(u'2006',)","(u'Allegheny County',)","(u'Railroad Centerlines are collected by digitizing the apparent center of each set of rails.  The Rail Line Edge is the apparent Right of Way.  Rights of Way and Centerlines that are currently being used for rail traffic are coded as In Use.  Rights of Way and Centerlines that no longer maintain rail traffic but have tracks remaining, as exemplified by plants growing through or around the tracks or right of way, are coded as Abandoned.  Rights of Way and Centerlines that have the tracks removed are coded as Old.  The Rights of Way and Centerlines that have the tracks removed and have been converted to trails are coded as Rails to Trail.  For rail lines that cannot be discerned between Old and Rails to Trails, the Rights of Way and Centerlines shall be coded as Old.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_RRlines2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_RRlines2006.zip
"(u'Allegheny County - Retaining Walls',)","(u'2006',)","(u'Allegheny County',)","(u'The Retaining Wall Feature Dataset contains photogrammetrically compiled Retaining Walls  - structures of concrete, brick, stone, wood, etc. retaining earth and adjacent to a road, railroad, edge or stream that are over five (5) feet high and 200 feet long.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Retainwall2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Retainwall2006.zip
"(u'Allegheny County - Slopes',)","(u'2010',)","(u'Allegheny County',)","(u'Slope data',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Slopes201001.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Slopes201001.zip
"(u'Allegheny County - Soils',)","(u'2000',)","(u'Allegheny County',)","(u'Data was created to portray the soils in Allegheny County.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Soils2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Soils2000.zip
"(u'Allegheny County - Spot Elevation',)","(u'2006',)","(u'Allegheny County',)","(u'Spot Elevation data was created as a result of a county flyover in the spring of 2004. They were created from a DTM Feature Dataset, upgraded by Baker and T-3 to support National Mapping Accuracy Standards (NMAS). Spot Elevations are used to show additional elevation information.  They are located in flat areas where contours may be sparse or spaced far apart, at road and railroad intersections, on the road centerline at the ends of bridges, on the road centerline over the center of culverts that have a span of five (5)-foot or greater, at the crest of all tops of hills, at saddles, within depressions and where the ground is visible in obscured areas.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Spotelev2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Spotelev2006.zip
"(u'Allegheny County - Street Centerlines',)","(u'2018',)","(u'Allegheny County',)","(u'This dataset contains street centerlines for vehicular and foot traffic in Allegheny County.  Street Centerlines are classified as Primary Road, Secondary Road, Unpaved Road, Limited Access Road, Connecting Road, Jeep Trail, Walkway, Stairway, Alleyway and Unknown.\r\n\r\nA Primary Road is a street paved with either concrete or asphalt that has two (2) or more lanes in each direction.  A Secondary Road is a residential type hard surface road, or any hard surface road with only one (1) lane in each direction.  An Unpaved Road is any road covered with packed dirt or gravel.  A Limited Access Road is one that can only be accessed from a Connecting Road such as an Interstate Highway.  A Connecting Road is a ramp connecting a Limited Access Road to a surface street.  A Walkway is a paved or unpaved foot track that connects two (2) roads together.  Walkways within College Campuses will also be shown.  Recreational pedestrian trails and walkways through parks and wooded areas are not considered transportation and will not be digitized during this update.  Walkways will not have an Edge of Pavement feature.  A Stairway is a paved or wooden structure that connects two (2) roads together.  Recreational pedestrian trails and walkways through parks and wooded areas are not considered transportation and will not be digitized during this update.  An Alleyway is a road, usually narrower than a Secondary Road that runs between, but parallel to, two (2) Secondary Roads.  Generally, Outbuildings will be adjacent to Alleyways.  A Jeep Trail is a vehicular trail used for recreation.  A Jeep Trail will not have an associated edge of pavement feature.  A road coded as Unknown is a road, which in the judgment of the photogrammetrist, does not fall into any of the categories listed.\r\n\r\nCenterlines will be visually placed between the edges of pavement.  One (1) centerline will be placed between each edge of pavement.  Roads with medial strips, such as Limited Access Roads, will have two (2) centerlines for those portions of the road where the medial strip is present.\r\n\r\nFor roads that terminate with a cul-de-sac, the centerline shall continue through the center of the cul-de-sac and stop at the edge of pavement.\r\n\r\nAll attribute data will remain for all Street Centerlines that are not updated.  For Street Centerlines that are new, the only attribute field that will be populated is the FeatureCode and UPDATE_YEAR.  If a Street Centerline is graphically modified, the existing attribute data will remain and the UPDATE_YEAR will be set to 2004.  The attribute values for 2004 Street Centerlines should be considered suspicious until verified.\r\n\r\nThe ArcInfo Street Centerline coverage that is being updated has 800 segments of Paper Streets, 66 segments of Vacated Streets and 78 segments of Steps.  Street Centerlines that are coded as Paper Streets in the OWNER field will remain unchanged in the updated dataset unless the area has been developed.  In the event the area has been developed, the Street Centerlines will be modified to reflect the true condition of the visible roads.\r\nStreet Centerlines that are coded as Vacated in the OWNER field will also remain unchanged in the updated dataset.  In the event the area coinciding with the Vacated Streets has been developed, the Vacated Street Centerlines will be removed in order to reflect the true condition of the area.\r\n\r\nStreet Centerlines that are coded as Steps in the OWNER field will be updated to reflect the current condition of the area.\r\n\r\nThe Street Centerlines dataset consists of an external table that links to the supplied coverages and the Geodatabase created for this project using the ""-ID"" (UserID) field.  In order to maintain the link to the external table and not loose valuable data the decision was made to keep all database information currently in the Street Centerline dataset.  When a Street Centerline is modified during the update process, the field ""UPDATE_YEAR"" is set to 2004.  All other database attributes will remain unchanged from the original values.  All Street Centerline database data with an ""UPDATE_YEAR"" of 2004 should be verified before used.  In some occasions the Street Centerline was divided into two (2) sections to allow for a new road intersection.  Both sections of the resulting Street Centerline will have the same database attributes including Address Range.  All new Street Centerlines will have zero (0) for ""SystemID"" and ""UserID"".',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_StreetCenterlines201809.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_StreetCenterlines201809.zip
"(u'Allegheny County - Street Edge of Pavement',)","(u'2006',)","(u'Allegheny County',)","(u""Edge of Pavements are the edges of all public thoroughfares including paved roads, unpaved roads, bridges, overpasses, tunnels, alleys, stairways and airfield runways.\r\n\r\nPaved Roads are roads that are surfaced with concrete or asphalt.  Roads that have been tarred and chipped are also considered paved.  Roads surfaced with gravel or packed dirt are considered Unpaved.  An Alleyway is a road, usually narrower than surrounding roads that runs between, but parallel to, two paved roads.  An Alley can be either paved or unpaved.  Generally, Outbuildings will be adjacent to Alleyways.  Road pavement edges that are underneath bridges or overpasses are coded as Hidden.  Bridges and Overpasses are delineated along the outside edge of the structure.  Portions of bridges that are under other bridges or other objects are coded as Hidden Bridge.  Tunnels are shown as lines connecting the apparent width of the tunnel through the earth.  Stairways are major pedestrian thoroughfares, either paved or wooden, connecting two (2) roads and typically found on steep hills.  Airfield Runways are the edges of Runways, Taxiways and other airfield pavement areas.  Driveways that are greater than 300' in length will be digitized and coded as either Paved Road or Unpaved Road.\r\n\r\nPaved Road edges show the width of the paved area.  If the paved road has a paved shoulder, the paved shoulder is shown as part of the paved road.  The placement of an unpaved road is subject to interpretation by the photogrammetrist since the road edge may be indefinite due to the imprecise nature of an unpaved surface.\r\n\r\nDriveways that are over 300' in length are digitized.  For a driveway that terminates at a building, it shall be drawn to the building.  Driveways will also have a centerline for its entire length.\r\n\r\nParking lots are not digitized.  The entrance to a parking lot for shopping areas shall be shown.  Driving areas around and through parking lots serving shopping areas and other businesses are considered part of the parking lot.  If the driving area through a parking lot connects to two (2) or more exterior roads, the main thoroughfare through the parking lot shall be shown as a road.\r\n\r\nThe driving area through an apartment complex or condominium complex shall be digitized as a road.  The road is needed in these areas to show access to the individual dwelling places.\r\n\r\nEdges of Pavement that are updated will have the database field StreetCL_FC populated with the Feature Code of the Street Centerline.  (The Street Centerline Feature Code is more descriptive than the general code used for Edge of Pavement.)"",)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_StreetEOP2006.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_StreetEOP2006.zip
"(u'Allegheny County - Urban Tree Canopy',)","(u'2010',)","(u'Allegheny County',)","(u'Allegheny County Urban Tree Canopy. High resolution land cover dataset for Allegheny County, Pennsylvania.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyUrbanTreeCanopy2010.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCountyUrbanTreeCanopy2010.zip
"(u'Allegheny County - Voting Districts',)","(u'2014',)","(u'Allegheny County',)","(u'Data was created to portray the boundaries of the Voting Districts in Allegheny County.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Votedist201411.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Votedist201411.zip
"(u'Allegheny County - Watersheds',)","(u'2000',)","(u'Allegheny County',)","(u'Polygons marking borders of watersheds in Allegheny county.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Watersheds2000.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Watersheds2000.zip
"(u'Allegheny County - Wooded Areas',)","(u'2011',)","(u'Allegheny County',)","(u'Stands of trees (coniferous and deciduous) too numerous to plot as individual trees. The area is delineated following a generalized line along the outside edge of tree trunks. Areas are captured if at least one acre in size or of major significance especially in urban areas.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_WoodedAreas2011.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_WoodedAreas2011.zip
"(u'Allegheny County - Zip Codes',)","(u'2016',)","(u'Allegheny County',)","(u'This dataset demarcates the zip code boundaries that lie within Allegheny County. These are not clipped to the Allgeheny County boundary.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty__ZipCodeBoundaries2016.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty__ZipCodeBoundaries2016.zip
"(u'Allegheny County Imagery 2010',)","(u'2010',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2010.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycountyimagery2010/
"(u'Allegheny County Imagery 2010 - Tile Index',)","(u'2010',)","(u'Allegheny County',)","(u'Tile Index - Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2010_TileIndex.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycountyimagery2010/AlleghenyCountyImagery2010_TileIndex.zip
