identifier,title,description,issued,landingPage
https://data.baltimorecity.gov/api/views/7y6i-3pcr,Sanitation 2010 - Shape,All sanitation data for Vital Signs indicators are provided by the Baltimore CitiStat. BNIA-JFI normalizes this data by population to establish rates. Normalizing data allows for the rates to reflect the concentration of the issue relative to the population in the area and allows for comparison between areas of different populations.,2013-02-26,https://data.baltimorecity.gov/d/7y6i-3pcr,https://data.baltimorecity.gov/api/views/7y6i-3pcr
https://data.baltimorecity.gov/api/views/492t-rppn,2013 Food Vendors,List of licensed street vendors selling food in Baltimore City.,2013-11-25,https://data.baltimorecity.gov/d/492t-rppn,https://data.baltimorecity.gov/api/views/492t-rppn
https://data.baltimorecity.gov/api/views/y3aa-iwrk,Crime & Safety (2010-2013) - Shape,All crime data for Vital Signs indicators are provided by the Baltimore City Police Department. BNIA-JFI normalizes this data by population to establish crime rates. Normalizing data allows for the rates to reflect the concentration of the crime relative to the population in the area and allows for comparison between areas of different populations.,2015-05-14,https://data.baltimorecity.gov/d/y3aa-iwrk,https://data.baltimorecity.gov/api/views/y3aa-iwrk
https://data.baltimorecity.gov/api/views/27b4-qbwn,2010 Census Tracts,"Shapefile for 2010 Census Tracts, including Census 2010 demographic data (Public Law 41-171).",2012-10-22,https://data.baltimorecity.gov/d/27b4-qbwn,https://data.baltimorecity.gov/api/views/27b4-qbwn
https://data.baltimorecity.gov/api/views/idqa-6rg3,Zoning Boundary,Layer Package representing the zoning districts as defined by the City's Department of Planning. Last Updated 2008,2012-10-22,https://data.baltimorecity.gov/d/idqa-6rg3,https://data.baltimorecity.gov/api/views/idqa-6rg3
https://data.baltimorecity.gov/api/views/v2z7-vjmj,Census Demographics (2015),"Indicators presented here represent the year 2015 values for Census Demographics from Vital Signs published by the Baltimore Neighborhood Indicators Alliance. For more information, please visit http://www.bniajfi.org/vital_signs.",2017-07-12,https://data.baltimorecity.gov/d/v2z7-vjmj,https://data.baltimorecity.gov/api/views/v2z7-vjmj
https://data.baltimorecity.gov/api/views/svvk-5a7n,Parking Facilities,Parking Facilities,2018-11-29,https://data.baltimorecity.gov/d/svvk-5a7n,https://data.baltimorecity.gov/api/views/svvk-5a7n
https://data.baltimorecity.gov/api/views/r3qj-2ifh,2010 Census Neighborhoods,"Neighborhoods of Baltimore, featuring Census 2010 demographic data (Public Law 41-171).",2012-10-22,https://data.baltimorecity.gov/d/r3qj-2ifh,https://data.baltimorecity.gov/api/views/r3qj-2ifh
https://data.baltimorecity.gov/api/views/bti3-9i6b,Trash Recycle Day,Trash Recycle Day,2017-01-05,https://data.baltimorecity.gov/d/bti3-9i6b,https://data.baltimorecity.gov/api/views/bti3-9i6b
https://data.baltimorecity.gov/api/views/fy7v-tvcr,Baltimore City Line,Line feature showing the political boundary of Baltimore City. Last Updated 2008,2012-10-22,https://data.baltimorecity.gov/d/fy7v-tvcr,https://data.baltimorecity.gov/api/views/fy7v-tvcr
https://data.baltimorecity.gov/api/views/5bu3-namx,Historic Landmarks ??_??_??_ CHAP,Locations of Local (CHAP) Historic Landmarks as designated by the Commission on Historical & Architectural Preservation and the Mayor & City Council.,2012-10-22,https://data.baltimorecity.gov/d/5bu3-namx,https://data.baltimorecity.gov/api/views/5bu3-namx
https://data.baltimorecity.gov/api/views/7g6t-cgv2,Crime & Safety (2010-2012)  - KMZ,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/7g6t-cgv2,https://data.baltimorecity.gov/api/views/7g6t-cgv2
https://data.baltimorecity.gov/api/views/rqna-ikwn,Vegetated Area,"Polygon feature representing photogrammetrically captured vegetation features such as wooded/brush areas, tree rows of 50ft or greater in length. Last Updated 2008",2012-10-22,https://data.baltimorecity.gov/d/rqna-ikwn,https://data.baltimorecity.gov/api/views/rqna-ikwn
https://data.baltimorecity.gov/api/views/bd6x-nxgg,2014 Housing Market Typology,"The Typology will assist city government, local foundations and non-profits to understand local market strengths and to appropriately match neighborhood strategies to market conditions, for the best use of public and private resources. In addition, the typology will inform neighborhood level planning efforts and provide residents with an understanding of the local housing market conditions in their communities.",2015-03-02,https://data.baltimorecity.gov/d/bd6x-nxgg,https://data.baltimorecity.gov/api/views/bd6x-nxgg
https://data.baltimorecity.gov/api/views/2g3m-yq93,Sustainability (2015),"Indicators presented here represent the year 2015 values for Sustainability from Vital Signs published by the Baltimore Neighborhood Indicators Alliance. For more information, please visit http://www.bniajfi.org/vital_signs.",2017-07-12,https://data.baltimorecity.gov/d/2g3m-yq93,https://data.baltimorecity.gov/api/views/2g3m-yq93
https://data.baltimorecity.gov/api/views/whtk-uik2,Vital Signs 16 Sustainability,Vital Signs 16 Sustainability,2018-07-10,https://data.baltimorecity.gov/d/whtk-uik2,https://data.baltimorecity.gov/api/views/whtk-uik2
https://data.baltimorecity.gov/api/views/rxmt-tieg,Housing and Community Development (2010-2012) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2016-04-15,https://data.baltimorecity.gov/d/rxmt-tieg,https://data.baltimorecity.gov/api/views/rxmt-tieg
https://data.baltimorecity.gov/api/views/net7-jqhh,City Public Pools,"This data set shows the location of Baltimore City's Public Aquatic ""Pools"" Facilities. The data is broken down into categories: Wading, Walk-to, and Park Pools. Please find the definitions below: Wading Pools: are aquatic facilites that are no more than 24 inches in dept. These facilities are not chlorinated and has a turn over rate of approximately two hours. Walk-to Pools: are Aquatic facilities that are located within a neighborhood and not in a public park. These facilities are approximately 5ft in dept. Park Pools: are aquatic facilities that are located within the City's public parks. These facilities are more than 5ft in depth.",2013-07-16,https://data.baltimorecity.gov/d/net7-jqhh,https://data.baltimorecity.gov/api/views/net7-jqhh
https://data.baltimorecity.gov/api/views/5q84-2ek5,Floodplain,Polygon feature representing flood risk as defined by the FEMA Digital Flood Insurance Rate Map database. Last Updated 2014,2014-07-21,https://data.baltimorecity.gov/d/5q84-2ek5,https://data.baltimorecity.gov/api/views/5q84-2ek5
https://data.baltimorecity.gov/api/views/i7au-wwcm,Farmers Market,Farmers Market,2018-12-08,https://data.baltimorecity.gov/d/i7au-wwcm,https://data.baltimorecity.gov/api/views/i7au-wwcm
https://data.baltimorecity.gov/api/views/t8n4-my4m,BPD Districts,BPD Districts,2014-04-10,https://data.baltimorecity.gov/d/t8n4-my4m,https://data.baltimorecity.gov/api/views/t8n4-my4m
https://data.baltimorecity.gov/api/views/6s8f-7kzj,Code Red Centers,This data set represents the location of facilities used as cooling centers through out Baltimore City.,2013-07-16,https://data.baltimorecity.gov/d/6s8f-7kzj,https://data.baltimorecity.gov/api/views/6s8f-7kzj
https://data.baltimorecity.gov/api/views/y4x7-8za4,BCPSS School,"This dataset contains points representing public schools. It includes all BCPS elementary, middle, high and charter schools. This dataset does not include private schools.",2018-11-29,https://data.baltimorecity.gov/d/y4x7-8za4,https://data.baltimorecity.gov/api/views/y4x7-8za4
https://data.baltimorecity.gov/api/views/xmpa-487w,Water,"Polygon feature representing photogrammetrically captured hydrographic information, including lakes, ponds, harbors, waterways, reservoirs, and hidden hydrography used to provide continuous topology. Last Updated 2008",2012-10-22,https://data.baltimorecity.gov/d/xmpa-487w,https://data.baltimorecity.gov/api/views/xmpa-487w
https://data.baltimorecity.gov/api/views/sfr6-579t,Landmarks,Landmarks,2019-03-19,https://data.baltimorecity.gov/d/sfr6-579t,https://data.baltimorecity.gov/api/views/sfr6-579t
https://data.baltimorecity.gov/api/views/vchf-3xpa,Library,Library,2018-11-29,https://data.baltimorecity.gov/d/vchf-3xpa,https://data.baltimorecity.gov/api/views/vchf-3xpa
https://data.baltimorecity.gov/api/views/h8i5-gvdz,Neighborhoods,"HeaderDescriptionNAMEName of GeographyPopulationTotal Population CountWhiteTotal Count of Population that is WhiteBlk_AfAmTotal Count of Population that is Black/Afican AmericanAmInd_AkNaTotal Count of Population that is American Indian/Native AlaskanAsianTotal Count of Population that is AsianNatHaw_PacTotal Count of Population that is Native Hawiian/Pacific IslanderOther_RaceTotal Count of Population that is of another raceTwoOrMoreTotal Count of Population that is of two or more racesHisp_LatTotal Count of Population that is Hispanic/LatinoMaleTotal Count of Population that is MaleFemaleTotal Count of Population that is FemaleAge0_4Total Count of Population Age 0-4Age5_11Total Count of Population Age 5-11Age12_14Total Count of Population Age 12-14Age15_17Total Count of Population Age 15-17Age18_24Total Count of Population Age 18-24Age25_34Total Count of Population Age 25-34Age35_44Total Count of Population Age 35-44Age45_64Total Count of Population Age 45-64Age65ovrTotal Count of Population Age 65 and OverFamiliesTotal Count of FamiliesMarriedTotal Count of Married Couple Families Married18Total Count of Married Couple Families With Persons Present Under Age 18 MaleHHTotal Count of Families, Male Householder, No Wife PresentMaleHH18Total Count of Families, Male Householder, No Wife Present, Persons Present Under Age 18FemaleHHTotal Count of Families, Female Householder, No Husband PresentFemaleHH18Total Count of Families, Female Householder, No Husband Present, Persons Present Under Age 18HousingTotal Count of Housing UnitsOccupiedTotal Count of Occupied Housing UnitsOcc_OwnTotal Count of Owner Occupied Housing UnitsOcc_RentTotal Count of Renter Occupied Housing UnitsVacant Total Count of Vacant Housing UnitsVac_RentTotal Count of Vacant Housing Units for RentVac_SaleTotal Count of Vacant Housing Units for SaleVac_OtherTotal Count of Vacant Housing Units, Other",2018-12-08,https://data.baltimorecity.gov/d/h8i5-gvdz,https://data.baltimorecity.gov/api/views/h8i5-gvdz
https://data.baltimorecity.gov/api/views/ca8m-ir6r,Multi-Use Trails,"The BaltimoreCity_multiuse_trails layer shows all current and proposed multiuse trails within the Baltimore City limits. It is based on trail shapefiles developed for the Baltimore Bicycle Master Plan in 2006 by Toole Design Group. Every reasonable effort has been made to ensure the accuracy of this data. The City of Baltimore makes no representations nor warranties, either expressed or implied, regarding the accuracy of this information or its suitability for any particular purpose whatsoever. The data is licensed ""as is"" and the City of Baltimore will not be liable for its use or misue by any party.",2013-04-05,https://data.baltimorecity.gov/d/ca8m-ir6r,https://data.baltimorecity.gov/api/views/ca8m-ir6r
https://data.baltimorecity.gov/api/views/a69z-y3un,Critical Area,Critical Area,2018-12-01,https://data.baltimorecity.gov/d/a69z-y3un,https://data.baltimorecity.gov/api/views/a69z-y3un
https://data.baltimorecity.gov/api/views/en7c-zpkp,Vital Signs 16 Arts and Culture,Vital Signs 16 Arts and Culture,2018-07-10,https://data.baltimorecity.gov/d/en7c-zpkp,https://data.baltimorecity.gov/api/views/en7c-zpkp
https://data.baltimorecity.gov/api/views/arbz-8wkp,zipcode,This file represents the City of Baltimore's zip code boundaries.,2019-02-23,https://data.baltimorecity.gov/d/arbz-8wkp,https://data.baltimorecity.gov/api/views/arbz-8wkp
https://data.baltimorecity.gov/api/views/fjsq-ahyj,Residential Parking Permits,Residential Parking Permits,2018-11-29,https://data.baltimorecity.gov/d/fjsq-ahyj,https://data.baltimorecity.gov/api/views/fjsq-ahyj
https://data.baltimorecity.gov/api/views/6jcd-xgn7,Baltimore City Public School System Elementary School Boundaries,Catchment zones for the public elementary schools in the Baltimore City Public School System.,2014-12-03,https://data.baltimorecity.gov/d/6jcd-xgn7,https://data.baltimorecity.gov/api/views/6jcd-xgn7
https://data.baltimorecity.gov/api/views/6m47-at6y,Census Demographics 2010-2012 - KMZ,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/6m47-at6y,https://data.baltimorecity.gov/api/views/6m47-at6y
https://data.baltimorecity.gov/api/views/nyt9-6358,Census Demographics (2010-2013) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2015-05-14,https://data.baltimorecity.gov/d/nyt9-6358,https://data.baltimorecity.gov/api/views/nyt9-6358
https://data.baltimorecity.gov/api/views/rt4h-35ky,Historic Landmarks - CHAP,Locations of Local (CHAP) Historic Landmarks as designated by the Commission on Historical & Architectural Preservation and the Mayor & City Council.,2014-01-29,https://data.baltimorecity.gov/d/rt4h-35ky,https://data.baltimorecity.gov/api/views/rt4h-35ky
https://data.baltimorecity.gov/api/views/429p-7ta5,Evacuation Shelters,This data set shows the point location of evacuation shelters within the City of Baltimore and list their classification as either primary or secondary. These data were created in the Spring of 2007 from a list of shelters provided to EGIS from OEM. The completeness and currentness of these data are unknown,2012-10-29,https://data.baltimorecity.gov/d/429p-7ta5,https://data.baltimorecity.gov/api/views/429p-7ta5
https://data.baltimorecity.gov/api/views/jpa4-amcg,Special Event Permits - Map,Right-of-Way Services oversees the issuance and enforcement of Right-of-Way (ROW) permits. Call (410)396-4508 for information.,2015-07-15,https://data.baltimorecity.gov/d/jpa4-amcg,https://data.baltimorecity.gov/api/views/jpa4-amcg
https://data.baltimorecity.gov/api/views/s9a5-vhdy,Water,Water,2018-12-01,https://data.baltimorecity.gov/d/s9a5-vhdy,https://data.baltimorecity.gov/api/views/s9a5-vhdy
https://data.baltimorecity.gov/api/views/bzgw-tgw8,Legislative Districts,REQUIRED: A brief narrative summary of the data set.,2019-03-20,https://data.baltimorecity.gov/d/bzgw-tgw8,https://data.baltimorecity.gov/api/views/bzgw-tgw8
https://data.baltimorecity.gov/api/views/d7rm-twet,Police Station,Baltimore City Police stations location,2018-12-08,https://data.baltimorecity.gov/d/d7rm-twet,https://data.baltimorecity.gov/api/views/d7rm-twet
https://data.baltimorecity.gov/api/views/ja86-fbr2,Vital Signs 16 Housing and Community Development,Vital Signs 16 Housing and Community Development,2018-07-10,https://data.baltimorecity.gov/d/ja86-fbr2,https://data.baltimorecity.gov/api/views/ja86-fbr2
https://data.baltimorecity.gov/api/views/3jsq-djk7,Children and Family Health & Well-Being (2010-2013) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2015-05-14,https://data.baltimorecity.gov/d/3jsq-djk7,https://data.baltimorecity.gov/api/views/3jsq-djk7
https://data.baltimorecity.gov/api/views/efh8-n3mb,Children and Family Health & Well-Being (2010-2012) - KMZ,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/efh8-n3mb,https://data.baltimorecity.gov/api/views/efh8-n3mb
https://data.baltimorecity.gov/api/views/2y3q-ssz4,Contours -10 ft,Contours -10 ft,2018-12-08,https://data.baltimorecity.gov/d/2y3q-ssz4,https://data.baltimorecity.gov/api/views/2y3q-ssz4
https://data.baltimorecity.gov/api/views/a4xu-jwta,Enterprise Zone,The State of Maryland Enterprise Zone Program was established in 1982 as an economic development tool to stimulate job creation and business investment through the use of real property tax and employment tax credits in specific areas of the state.,2018-11-29,https://data.baltimorecity.gov/d/a4xu-jwta,https://data.baltimorecity.gov/api/views/a4xu-jwta
https://data.baltimorecity.gov/api/views/nsuz-8g9d,Enterprise Zone,KML File displaying the areas in Baltimore City that have Enterprise Zone incentives.,2013-02-13,https://data.baltimorecity.gov/d/nsuz-8g9d,https://data.baltimorecity.gov/api/views/nsuz-8g9d
https://data.baltimorecity.gov/api/views/d7pd-kmdw,Housing and Community Development (2010-2012) - KMZ,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/d7pd-kmdw,https://data.baltimorecity.gov/api/views/d7pd-kmdw
https://data.baltimorecity.gov/api/views/ei52-38au,Council District,Council District,2018-12-08,https://data.baltimorecity.gov/d/ei52-38au,https://data.baltimorecity.gov/api/views/ei52-38au
https://data.baltimorecity.gov/api/views/9qgs-dngv,Vital Signs 16 Children and Family Health and Well-Being,Vital Signs 16 Children and Family Health and Well-Being,2018-07-10,https://data.baltimorecity.gov/d/9qgs-dngv,https://data.baltimorecity.gov/api/views/9qgs-dngv
https://data.baltimorecity.gov/api/views/peh2-3qyi,Vital Signs 16 Census Demographics,Vital Signs 16 Census Demographics,2018-07-10,https://data.baltimorecity.gov/d/peh2-3qyi,https://data.baltimorecity.gov/api/views/peh2-3qyi
https://data.baltimorecity.gov/api/views/si7z-kint,Neighborhood Action & Sense of Community 2010 - Shape,"Baltimore City has a rich history of community organizing and civic engagement. On any given night, somewhere in the City a neighborhood group is meeting, discussing community concerns, planning for their collective future and advocating for action. BNIA-JFI currently tracks nine neighborhood and community indicators to measure the extent to which the City??_??s neighborhoods are active, organized, and empowered. These include: the number of neighborhood associations and block groups; the number of Community Development Corporations (CDCs); the number of umbrella organizations; the number of park stewardship groups; the number of community gardens; Healthy Neighborhood Initiative locations; the number of historic properties; the percentage of the population registered to vote; and the percentage of persons voting.",2013-02-26,https://data.baltimorecity.gov/d/si7z-kint,https://data.baltimorecity.gov/api/views/si7z-kint
https://data.baltimorecity.gov/api/views/hrs6-bsyt,Hospital,Hospital,2018-11-29,https://data.baltimorecity.gov/d/hrs6-bsyt,https://data.baltimorecity.gov/api/views/hrs6-bsyt
https://data.baltimorecity.gov/api/views/34ff-36tx,2013 Merchant Vendors,2013 List of Merchant Vendors in Baltimore City.,2013-11-25,https://data.baltimorecity.gov/d/34ff-36tx,https://data.baltimorecity.gov/api/views/34ff-36tx
