identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,isPartOf,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
bc32f3f647ba4b4eacd9dff2a436705d_8,04c-02,S Gen Struct,,"Preliminary FEMA map layer - February 2019

Please contact victor.ukpolo@baltimorecity.gov with questions.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-22T19:00:44.000Z,,,"City of Baltimore, Maryland, United States|Maryland, United States","-76.7195,39.1868,-76.4987,39.3757",Maryland,Municipalities Geospatial Data,"City of Baltimore, Maryland",Baltimore City,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_8,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_8.zip,https://geodata.baltimorecity.gov/egis/rest/services/Planning/Preliminary_FEMA_MAP_layers_Feb2019/MapServer/8,,MapServer,baltimore|fema
bc32f3f647ba4b4eacd9dff2a436705d_0,04c-02,Preliminary DFRIM Data (2018),,"Preliminary FEMA map layer - February 2019

Please contact victor.ukpolo@baltimorecity.gov with questions.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-22T19:00:44.000Z,,,"City of Baltimore, Maryland, United States|Maryland, United States","-76.7195,39.1868,-76.4987,39.3757",Maryland,Municipalities Geospatial Data,"City of Baltimore, Maryland",Baltimore City,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_0,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_0.zip,https://geodata.baltimorecity.gov/egis/rest/services/Planning/Preliminary_FEMA_MAP_layers_Feb2019/MapServer/0,,MapServer,baltimore|fema
bc32f3f647ba4b4eacd9dff2a436705d_6,04c-02,Water Line,,"Preliminary FEMA map layer - February 2019

Please contact victor.ukpolo@baltimorecity.gov with questions.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-22T19:00:44.000Z,,,"City of Baltimore, Maryland, United States|Maryland, United States","-76.7195,39.1868,-76.4987,39.3757",Maryland,Municipalities Geospatial Data,"City of Baltimore, Maryland",Baltimore City,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_6,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_6.zip,https://geodata.baltimorecity.gov/egis/rest/services/Planning/Preliminary_FEMA_MAP_layers_Feb2019/MapServer/6,,MapServer,baltimore|fema
bc32f3f647ba4b4eacd9dff2a436705d_7,04c-02,BFE,,"Preliminary FEMA map layer - February 2019

Please contact victor.ukpolo@baltimorecity.gov with questions.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-22T19:00:44.000Z,,,"City of Baltimore, Maryland, United States|Maryland, United States","-76.7195,39.1868,-76.4987,39.3757",Maryland,Municipalities Geospatial Data,"City of Baltimore, Maryland",Baltimore City,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_7,http://gis-baltimore.opendata.arcgis.com/datasets/bc32f3f647ba4b4eacd9dff2a436705d_7.zip,https://geodata.baltimorecity.gov/egis/rest/services/Planning/Preliminary_FEMA_MAP_layers_Feb2019/MapServer/7,,MapServer,baltimore|fema
58e3a0013bb549e0a1072fc831f2031e,05b-27163,Trails and Bikeways,,"Bikeways and Trials provided by communities for planning purposes and compiled by Washington County. Some data was provided in GIS format and some by PDF drawings. Bikeways provided via PDF were heads-up digitized to approximate trail locations. While compiled in 2016, some of the provided data was more than 10 years old from comprehensive plans. New trails are added as they are shared with Washington County.",Flagged,,Web map,,,2018-03-28T13:27:33.000Z,,,"Washington County, Minnesota, United States|Minnesota, United States","-93.7306,44.6241,-91.7023,45.4278",Minnesota,Counties Geospatial Data,"Washington County, Minnesota","Washington County, MN",http://data-wcmn.opendata.arcgis.com/datasets/58e3a0013bb549e0a1072fc831f2031e,,https://www.arcgis.com/home/webmap/viewer.html?webmap=58e3a0013bb549e0a1072fc831f2031e,,,trails|recreation|bikeways|Transportation
8166ba2fd693451796cce01786e5d320_6,05b-27163,Water,,"Water and wetland locations shown are based on 1 inch equals 200 feet aerial photographs. This information has been digitized by Washington County Survey Department staff. Although these aerials may be updated every 5 or 6 years the information in this database may not be updated. Therefore differences may be found when comparing adjoining sites that were digitally
mapped at different times. In several instances man-made channels have been created extending from PLSS meandered water bodies. At present the layer WTRLIN is used around these channels to maintain clarity for hard copy plots.
All lines associated with water features can be found on the layers listed below:
RVRLIN - all rivers that are designated by Minnesota DNR protected area index.
WTRLIN - all PLSS meandered lakes that are designated by Minnesota DNR protected area index.
LAKELIN - all ponds and unmeandered bodies of water that are protected by Minnesota DNR protected area index.
WETLLIN - swamp and wetland areas that are protected by Minnesota DNR protected area index.
CDTCHLIN - all county to county ditches and their laterals.
CRKLIN - all creeks, ditches and streams.
OLDSHLIN - previous shoreline per recorded subdivision plat. (delineated when needed for legal description or for clarity)
MENDRLIN - generally not shown on base map. However, in some unique cases, it is used to represent the meander waterline from Public Land Survey notes if it helps clarify the description of a parcel.
WTRLDR - a pointer line that is drawn from text layer WTRTXT notations to the waterline being described.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-20T17:18:00.000Z,,,"Washington County, Minnesota, United States|Minnesota, United States","-180.0,-90.0,180.0,90.0",Minnesota,Counties Geospatial Data,"Washington County, Minnesota","Washington County, MN",http://data-wcmn.opendata.arcgis.com/datasets/8166ba2fd693451796cce01786e5d320_6,http://data-wcmn.opendata.arcgis.com/datasets/8166ba2fd693451796cce01786e5d320_6.zip,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/water/FeatureServer/6,,FeatureServer,Washington County|water|lakes|river|stream
42165770b369482db382f27c3a26808b_0,05b-27163,County Park Boundary - Jan 2019,,There is no description available.,Geospatial data,,Shapefile,Dataset|Service,Vector,2019-01-08T16:51:36.000Z,,,"Washington County, Minnesota, United States|Minnesota, United States","-92.93391551989666,44.74855463317354,-92.78600672887842,45.20634893708681",Minnesota,Counties Geospatial Data,"Washington County, Minnesota","Washington County, MN",http://data-wcmn.opendata.arcgis.com/datasets/42165770b369482db382f27c3a26808b_0,http://data-wcmn.opendata.arcgis.com/datasets/42165770b369482db382f27c3a26808b_0.zip,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/WCParkBoundariesJan2019/FeatureServer/0,,FeatureServer,park|boundaries
8166ba2fd693451796cce01786e5d320_5,05b-27163,Water Lines,,"Water and wetland locations shown are based on 1 inch equals 200 feet aerial photographs. This information has been digitized by Washington County Survey Department staff. Although these aerials may be updated every 5 or 6 years the information in this database may not be updated. Therefore differences may be found when comparing adjoining sites that were digitally
mapped at different times. In several instances man-made channels have been created extending from PLSS meandered water bodies. At present the layer WTRLIN is used around these channels to maintain clarity for hard copy plots.
All lines associated with water features can be found on the layers listed below:
RVRLIN - all rivers that are designated by Minnesota DNR protected area index.
WTRLIN - all PLSS meandered lakes that are designated by Minnesota DNR protected area index.
LAKELIN - all ponds and unmeandered bodies of water that are protected by Minnesota DNR protected area index.
WETLLIN - swamp and wetland areas that are protected by Minnesota DNR protected area index.
CDTCHLIN - all county to county ditches and their laterals.
CRKLIN - all creeks, ditches and streams.
OLDSHLIN - previous shoreline per recorded subdivision plat. (delineated when needed for legal description or for clarity)
MENDRLIN - generally not shown on base map. However, in some unique cases, it is used to represent the meander waterline from Public Land Survey notes if it helps clarify the description of a parcel.
WTRLDR - a pointer line that is drawn from text layer WTRTXT notations to the waterline being described.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-20T17:18:00.000Z,,,"Washington County, Minnesota, United States|Minnesota, United States","-180.0,-90.0,180.0,90.0",Minnesota,Counties Geospatial Data,"Washington County, Minnesota","Washington County, MN",http://data-wcmn.opendata.arcgis.com/datasets/8166ba2fd693451796cce01786e5d320_5,http://data-wcmn.opendata.arcgis.com/datasets/8166ba2fd693451796cce01786e5d320_5.zip,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/water/FeatureServer/5,,FeatureServer,Washington County|water|lakes|river|stream
4ccfbb85578f4504b9419db32003fa0e_0,05c-01,Snow Emergency Westminster Tags 2019,,"This
 is the information about the number and location of tags (parking tickets)
during this snow emergency.? Tag data will be retained for all Snow Emergencies
in each snow season, until there is five full seasons of snow emergencies.
Disclaimer: At this point we only have the tag data enclosed for day 2 and day
3 the snow emergencies. Day 1 tag data is collected manually and is not
available at this time electronically.There is also an expected address error rate of between 5 and 10 percent.Snow Emergency Tags ? 2018/2019?Season #3 Westminster (2/12/19 thru 2/14/19)?


 
  
  Field Name
  
  
  Field Type
  
  
  Field Description
  
 
 
  
  FID
  
  
  Object ID
  
  
  Object ID
  
 
 
  
  Citation_N
  
  
  Text254
  
  
  Citation Number
  
 
 
  
  Address
  
  
  Text 254
  
  
  Address of the citation
  
 
 
  
  Latitude
  
  
  Numeric
  
  
  X Coordinate - Geocode
  
 
 
  
  Longitude
  
  
  Numeric
  
  
  Y Coordinate -
  Geocode
  
 
 
  
  Neighborho
  
  
  Text 254
  
  
  Neighborhood Location
  
 
 
  
  Community
  
  
  Text 254
  
  
  Community Location
  
 
 
  
  Ward
  
  
  Text 254
  
  
  Ward Location
  
 
 
  
  Day_ID
  
  
  Numeric
  
  
  Snow Emergency Day Identifier
  
 
 
  
  Date
  
  
  Date
  
  
  Citation Date
  
 
 
  
  Code
  
  
  Text 254
  
  
  Snow Emergency
  Parking Ordinance
  
 
 
  
  Descriptio
  
  
  Text 2
  
  
  Snow Emergency
  Parking Ordinance Description
  
 
 
  
  Tow_Dist
  
  
  Double 15
  
  
  Tow Districts
  Identifier
  
 
",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-15T23:23:27.000Z,,,"Minneapolis, Minnesota, United States|Minnesota, United States","-93.327527,44.891232,-93.205057,45.050941",Minnesota,Municipalities Geospatial Data,"City of Minneapolis, Minnesota",MapIT Minneapolis,http://opendata.minneapolismn.gov/datasets/4ccfbb85578f4504b9419db32003fa0e_0,http://opendata.minneapolismn.gov/datasets/4ccfbb85578f4504b9419db32003fa0e_0.zip,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Snow_Emergency_Westminster_Tags_2019/FeatureServer/0,,FeatureServer,Minneapolis| Snow Emergency| Public Works| Tags| 2019
06109d24bde2472c8f53cfaab298eaad_0,05c-01,Snow Emergency Westminster Tows 2019,,"This is the information about the number and location of tows during this snow emergency. Tow data will be retained for all Snow Emergencies in each snow season, until there is five full seasons of snow emergencies.???Disclaimer: There is an expected address error rate of between 8 and 14 percent.Snow Emergency Tows ?
2018/2019 Season #3 Westminster (2/12/19 thru 2/14/19)?

?


 
  
  Field Name
  
  
  Field Type
  
  
  Field Description
  
 
 
  
  FID
  
  
  Object ID
  
  
  Object ID
  
 
 
  
  Call_Taken
  
  
  Text
  
  
  Date and time tag
  written
  
 
 
  
  Customer
  
  
  Text
  
  
  Snow Emergency
  
 
 
  
  Location?
  
  
  Text
  
  
  Address
  
 
 
  
  Latitude
  
  
  Numeric
  
  
  X Coordinate -
  Geocode
  
 
 
  
  Longitude
  
  
  Numeric
  
  
  Y Coordinate -
  Geocode
  
 
 
  
  Day
  
  
  Text
  
  
  Day of event
  
 
 
  
  Ward
  
  
  Text
  
  
  Ward number 1 - 13
  
 
 
  
  Community
  
  
  Text
  
  
  Name of Community
  
 
 
  
  Neighborho
  
  
  Text
  
  
  Name of Neighborhood
  
 
 
  
  Tow
  
  
  Text
  
  
  Tow District
  
 
",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-15T22:22:55.000Z,,,"Minneapolis, Minnesota, United States|Minnesota, United States","-93.32628400030632,44.898190999615,-93.20842699990607,45.048065999846074",Minnesota,Municipalities Geospatial Data,"City of Minneapolis, Minnesota",MapIT Minneapolis,http://opendata.minneapolismn.gov/datasets/06109d24bde2472c8f53cfaab298eaad_0,http://opendata.minneapolismn.gov/datasets/06109d24bde2472c8f53cfaab298eaad_0.zip,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Snow_Emergency_Westminster_Tows_2019/FeatureServer/0,,FeatureServer,Minneapolis| Snow Emergency| Public Works| Tows| 2019
153387cc9008412989cdca5e4a0190cf,08b-42039,PAMAP 2005 Hillshade,,"2005 PAMAP Hillshade model, derived from LiDAR DEM.",Aerial imagery,,Imagery,Image|Service,,2019-01-15T14:57:04.000Z,,,"Crawford County, Pennsylvania, United States|Pennsylvania, United States","-180.0,-90.0,180.0,90.0",Penn State,Counties Geospatial Data,"Crawford County, Pennsylvania",Crawford County PA Government,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/153387cc9008412989cdca5e4a0190cf,,https://ccgis.crawfordcountypa.net/arcgis/rest/services/lidar/CCSDE_RASTER_STORAGE_PAMAP_2007_HILLSHADE/ImageServer,,ImageServer,Hillshade|DEM|PAMAP|imagery|Misc
07dc25e56a22401088b259bd7f6fc9ce_0,09c-01,City Limits,,South Bend City Limits (updated with annexations and disannexations),Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-15T19:40:46.000Z,,,"South Bend, Indiana, United States|Indiana, United States","-86.3612,41.5964,-86.191,41.7609",Purdue,Municipalities Geospatial Data,"South Bend, Indiana",City of South Bend,http://data-southbend.opendata.arcgis.com/datasets/07dc25e56a22401088b259bd7f6fc9ce_0,http://data-southbend.opendata.arcgis.com/datasets/07dc25e56a22401088b259bd7f6fc9ce_0.zip,https://gis.southbendin.gov/arcgis/rest/services/LandRecords/CityLimits/FeatureServer/0,,FeatureServer,South Bend|city|limits|boundary
3e1a50189afd4dbbb0a30980d2b58f02,11a-01,Seneca County Contact Information,,Click link above for information.?,error,,error,error,,2016-01-07T18:44:34.000Z,,,"Ohio, United States","-180.0,-90.0,180.0,90.0",Ohio State,State Agencies Geospatial Data,State of Ohio,Ohio Geographically Referenced Information Program,http://ogrip-geohio.opendata.arcgis.com/datasets/3e1a50189afd4dbbb0a30980d2b58f02,error,http://gis5.oit.ohio.gov/geohiosurvey/PubOrgDetail.aspx?id=48,,,Seneca|County|GEOhioContacts
dc105e28f0e3488ea9d63fb84ce4f9cd_9,02b-17113,Parks,,There is no description available.,Geospatial data,,Shapefile,Dataset|Service,Vector,2017-10-13T14:51:35.000Z,,,"McClean County, Illinois, United States|Illinois, United States","-89.2429,40.3104,-88.5265,40.7492",Illinois,Counties Geospatial Data,"McClean County, Illinois",McGIS - McLean County GIS ,http://www.mcgis.org/datasets/dc105e28f0e3488ea9d63fb84ce4f9cd_9,http://www.mcgis.org/datasets/dc105e28f0e3488ea9d63fb84ce4f9cd_9.zip,https://www.mcgisweb.org/mcgis/rest/services/ArcGISOpenData/ArcGISOpenData/MapServer/9,,MapServer,OpenData|recreation
ec6b033afe6e43079c30cdb56b9051ab_11,02b-17113,Education Facility,,"The published representation of educational facilities (schools, colleges, etc.) managed in the facility site point feature class, combined with service information and organized for consumption in desktop and web applications.",Geospatial data,,Shapefile,Dataset|Service,Vector,2017-10-13T16:08:31.000Z,,,"McClean County, Illinois, United States|Illinois, United States","-89.2524,40.3096,-88.5274,40.7448",Illinois,Counties Geospatial Data,"McClean County, Illinois",McGIS - McLean County GIS ,http://www.mcgis.org/datasets/ec6b033afe6e43079c30cdb56b9051ab_11,http://www.mcgis.org/datasets/ec6b033afe6e43079c30cdb56b9051ab_11.zip,https://www.mcgisweb.org/mcgis/rest/services/ArcGISOpenData/ArcGISOpenData/MapServer/11,,MapServer,OpenData|education
ce4d8314dc5a4187803e9c644e24bf6c_3,02b-17113,Building Footprints,,"Building footprints for McLean County, Illinois",Geospatial data,,Shapefile,Dataset|Service,Vector,2017-05-30T16:10:13.000Z,,,"McClean County, Illinois, United States|Illinois, United States","-89.2719,40.2781,-88.4591,40.7572",Illinois,Counties Geospatial Data,"McClean County, Illinois",McGIS - McLean County GIS ,http://www.mcgis.org/datasets/ce4d8314dc5a4187803e9c644e24bf6c_3,http://www.mcgis.org/datasets/ce4d8314dc5a4187803e9c644e24bf6c_3.zip,https://www.mcgisweb.org/mcgis/rest/services/ArcGISOpenData/ArcGISOpenData/MapServer/3,,MapServer,buidingfootprints|OpenData|housing
