Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,US Congressional District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_1,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_1.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/1,,0e6710b948254f0d98b1dd523e0284f1_1,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Municipal Boundaries,"The geographic extent of a municipal governance area, also known as the boundary or border of a city or town. This is sometimes called the city proper.",English,Pope County,"Pope County, Minnesota",Geospatial data,,Jurisdiction|Boundary|Boundaries|Municipal|Administrative|City|Municipality|MunicipalBoundaries,2019-03-04T23:38:31.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8398,45.3182,-95.0531,45.8538",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/96329655fcba4643bd1e28971cdd6ae7_0,http://data-popecounty.opendata.arcgis.com/datasets/96329655fcba4643bd1e28971cdd6ae7_0.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/MunicipalBoundaries/FeatureServer/0,,96329655fcba4643bd1e28971cdd6ae7_0,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,County District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_4,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_4.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/4,,0e6710b948254f0d98b1dd523e0284f1_4,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Township District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_6,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_6.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/6,,0e6710b948254f0d98b1dd523e0284f1_6,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,State Senate District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_2,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_2.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/2,,0e6710b948254f0d98b1dd523e0284f1_2,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,US Senate District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_0,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_0.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/0,,0e6710b948254f0d98b1dd523e0284f1_0,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,County Commissioner District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_5,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_5.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/5,,0e6710b948254f0d98b1dd523e0284f1_5,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Municipal District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_7,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_7.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/7,,0e6710b948254f0d98b1dd523e0284f1_7,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,State House District,The geographic extent of a territorial subdivision for electing members to a legislative body along with precincts.,English,Pope County,"Pope County, Minnesota",Geospatial data,,VotingPrecincts|Precincts|Voting|Districts|Election|AdministrativeArea|Elections,2019-04-24T22:06:35.000Z,,,,"Pope County, Minnesota|Minnesota","-95.68852726999998,45.342011513000074,-95.20052726999998,45.830011513000066",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_3,http://data-popecounty.opendata.arcgis.com/datasets/0e6710b948254f0d98b1dd523e0284f1_3.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/AuditorTreasurer/ElectoralDistricts/FeatureServer/3,,0e6710b948254f0d98b1dd523e0284f1_3,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Tax Parcels,"The published representation of real property areas, combined with assessing and tax information from CAMA and Tax systems, and organized for consumption in desktop and web applications.",English,Pope County,"Pope County, Minnesota",Geospatial data,,TaxParcels|AssessmentInformation|Property|Parcels,2019-03-05T00:30:26.000Z,,,,"Pope County, Minnesota|Minnesota","-95.6664,45.4256,-95.2251,45.7469",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/bdd41cc664bc4dd98c2fcc90263742be_0,http://data-popecounty.opendata.arcgis.com/datasets/bdd41cc664bc4dd98c2fcc90263742be_0.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Assessor/TaxParcels/FeatureServer/0,,bdd41cc664bc4dd98c2fcc90263742be_0,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Township,"This dataset contains a series of features used to describe the cadastral reference system (PLSS, Control, etc.).",English,Pope County,"Pope County, Minnesota",Geospatial data,,LandInformation|LandRecords|Cadastre|Cadastral|PLSS|Control|Corner|Township|Section|Quarter|PublicLandSurveySystem,2019-03-05T00:14:00.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8136,45.318,-95.0779,45.8536",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_1,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_1.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/CadastralReference/FeatureServer/1,,dbf82d405f2e4493b3918ace450c48e6_1,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Quarter Section,"This dataset contains a series of features used to describe the cadastral reference system (PLSS, Control, etc.).",English,Pope County,"Pope County, Minnesota",Geospatial data,,LandInformation|LandRecords|Cadastre|Cadastral|PLSS|Control|Corner|Township|Section|Quarter|PublicLandSurveySystem,2019-03-05T00:14:00.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8136,45.318,-95.0779,45.8536",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_3,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_3.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/CadastralReference/FeatureServer/3,,dbf82d405f2e4493b3918ace450c48e6_3,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Quarter Quarter Section,"This dataset contains a series of features used to describe the cadastral reference system (PLSS, Control, etc.).",English,Pope County,"Pope County, Minnesota",Geospatial data,,LandInformation|LandRecords|Cadastre|Cadastral|PLSS|Control|Corner|Township|Section|Quarter|PublicLandSurveySystem,2019-03-05T00:14:00.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8136,45.318,-95.0779,45.8536",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_4,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_4.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/CadastralReference/FeatureServer/4,,dbf82d405f2e4493b3918ace450c48e6_4,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Control Corner,"This dataset contains a series of features used to describe the cadastral reference system (PLSS, Control, etc.).",English,Pope County,"Pope County, Minnesota",Geospatial data,,LandInformation|LandRecords|Cadastre|Cadastral|PLSS|Control|Corner|Township|Section|Quarter|PublicLandSurveySystem,2019-03-05T00:14:00.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8136,45.318,-95.0779,45.8536",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_0,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_0.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/CadastralReference/FeatureServer/0,,dbf82d405f2e4493b3918ace450c48e6_0,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Section,"This dataset contains a series of features used to describe the cadastral reference system (PLSS, Control, etc.).",English,Pope County,"Pope County, Minnesota",Geospatial data,,LandInformation|LandRecords|Cadastre|Cadastral|PLSS|Control|Corner|Township|Section|Quarter|PublicLandSurveySystem,2019-03-05T00:14:00.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8136,45.318,-95.0779,45.8536",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_2,http://data-popecounty.opendata.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_2.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/CadastralReference/FeatureServer/2,,dbf82d405f2e4493b3918ace450c48e6_2,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Fire Stations,"Facilities where fire engines and other equipment of a fire department are housed.Contact for more informationTel: (320) 634-7788Fax: (320)Email:Information Technology130 East Minnesota Avenue, Glenwood, MN 56334",English,Pope County,"Pope County, Minnesota",Geospatial data,,OpenData|PublicSafety|Fire|Emergency,2017-09-26T18:08:02.000Z,,,,"Pope County, Minnesota|Minnesota","-95.7401,45.6112,-95.2692,45.7146",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/e93e73f279134f7a9a28e5f3a3533894_0,http://data-popecounty.opendata.arcgis.com/datasets/e93e73f279134f7a9a28e5f3a3533894_0.zip,http://gis.co.pope.mn.us/arcgis/rest/services/OpenData/OpenPublicSafety/MapServer/0,,,e93e73f279134f7a9a28e5f3a3533894_0,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,County Boundary,Geographic extent of the county governance area.,English,Pope County,"Pope County, Minnesota",Geospatial data,,County|Boundary|Administrative|Jurisdiction|Governance|PoliticalBoundary|Boundaries,2019-03-04T23:20:52.000Z,,,,"Pope County, Minnesota|Minnesota","-95.8398,45.3182,-95.0531,45.8538",Dataset|Service,Vector,Shapefile,http://data-popecounty.opendata.arcgis.com/datasets/0091bf3dab20430f907d68fa2e2650bf_0,http://data-popecounty.opendata.arcgis.com/datasets/0091bf3dab20430f907d68fa2e2650bf_0.zip,,https://gis.co.pope.mn.us/arcgis/rest/services/Administrative/CountyBoundary/FeatureServer/0,,0091bf3dab20430f907d68fa2e2650bf_0,Minnesota,05b-27121,05b-27121,Active,ArcGIS Hub,,Public,,FALSE,FALSE
