Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_102,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_102.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/102,,,322ee79b35f748869974ec661bd04bbc_102,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_102,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_7,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_7.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/7,,,322ee79b35f748869974ec661bd04bbc_7,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_7,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_35,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_35.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/35,,,64bde546dab34e84bfa5757ae17f08d3_35,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_35,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Airfields,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Clermont, Indiana|Hendricks County, Indiana|Speedway, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Wynnedale, Indiana|Marion County, Indiana|Indiana","-86.3254,39.6990,-86.0087,39.8375",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_30,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_30.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/30,,,64bde546dab34e84bfa5757ae17f08d3_30,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_30,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.5093 MB
,Airfields,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Clermont, Indiana|Hendricks County, Indiana|Speedway, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Wynnedale, Indiana|Marion County, Indiana|Indiana","-86.3254,39.6990,-86.0087,39.8375",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_62,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_62.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/62,,,64bde546dab34e84bfa5757ae17f08d3_62,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_62,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.5093 MB
,Lakes,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_143,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_143.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/143,,,64bde546dab34e84bfa5757ae17f08d3_143,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_143,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,2.2206 MB
,Buildings,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3290,39.6324,-85.9369,39.9277",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_33,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_33.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/33,,,322ee79b35f748869974ec661bd04bbc_33,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_33,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,5.1103 MB
,Streams,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9370,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_57,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_57.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/57,,,64bde546dab34e84bfa5757ae17f08d3_57,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_57,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,4.7825 MB
,Parking Lot,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3290,39.6337,-85.9382,39.9277",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_7,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_120.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/7,,,64bde546dab34e84bfa5757ae17f08d3_7,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_7,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.3487 MB
,Roadways,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_10,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_10.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/10,,,322ee79b35f748869974ec661bd04bbc_10,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_10,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,13.3256 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_164,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_164.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/164,,,322ee79b35f748869974ec661bd04bbc_164,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_164,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.0768 MB
,Roadways,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_27,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_27.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/27,,,322ee79b35f748869974ec661bd04bbc_27,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_27,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,13.3258 MB
,Roadways,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_24,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_24.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/24,,,64bde546dab34e84bfa5757ae17f08d3_24,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_24,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,13.3202 MB
,Lakes,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_26,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_26.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/26,,,64bde546dab34e84bfa5757ae17f08d3_26,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_26,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.095 MB
,Roadways,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_46,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_46.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/46,,,322ee79b35f748869974ec661bd04bbc_46,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_46,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,13.3258 MB
,Streams,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,"Rocky Ripple, Indiana|Clermont, Indiana|North Crows Nest, Indiana|Crows Nest, Indiana|Hendricks County, Indiana|Meridian Hills, Indiana|Beech Grove, Indiana|Wynnedale, Indiana|Speedway, Indiana|Warren Park, Indiana|Williams Creek, Indiana|Southport, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Marion County, Indiana|Indiana","-86.3291,39.6322,-85.9370,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_146,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_146.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/146,,,64bde546dab34e84bfa5757ae17f08d3_146,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_146,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,4.7825 MB
