Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Slug,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child,FileSize
,Parcel,This dataset represents a Tract or land division (Plot of land) within the City of Baltimore.,English,Baltimore City,"City of Baltimore, Maryland",Geospatial data,,Housing&Development|Cadastral|Property|RealEstate|LandPlot|Geographic,2021-03-05T17:54:16.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7120,39.1978,-76.5290,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/85767997c73d4b9292415f2661466273_0,https://data.baltimorecity.gov/datasets/85767997c73d4b9292415f2661466273_0.zip,,https://egis.baltimorecity.gov/egis/rest/services/Parcel_Information/Parcel/FeatureServer/0,,85767997c73d4b9292415f2661466273_0,https://hub.arcgis.com/datasets/85767997c73d4b9292415f2661466273_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,32.0615 MB
,Percentage of Properties Under Mortgage Foreclosure,"The percentage of properties where the lending company or loan servicer has filed a foreclosure proceeding with the Baltimore City Circuit Court out of all residential properties within an area. This is not a measure of actual foreclosures since not every property that receives a filing results in a property dispossession. Source: Baltimore City Circuit CourtYears Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,housing|2010|2011|2012|2013|2014|2015|2016|2017|2018|housing&development,2020-03-24T16:41:41.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/b65a0dc47c34484594b4943f917f8527_0,https://data.baltimorecity.gov/datasets/b65a0dc47c34484594b4943f917f8527_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Fore/FeatureServer/0,,b65a0dc47c34484594b4943f917f8527_0,https://hub.arcgis.com/datasets/b65a0dc47c34484594b4943f917f8527_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4822 MB
,Median Daily Water Consumption,The median daily average water consumption of all city meters registering greater than 0.0 cubic meters per day.Source: Baltimore City Department of Public Works Year Available: 2011,English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2011|environment,2020-03-27T18:40:46.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/4ce14e4466244fb3bb6126084bad177d_0,https://data.baltimorecity.gov/datasets/4ce14e4466244fb3bb6126084bad177d_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Waterc/FeatureServer/0,,4ce14e4466244fb3bb6126084bad177d_0,https://hub.arcgis.com/datasets/4ce14e4466244fb3bb6126084bad177d_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4743 MB
,"Rate of Clogged Storm Drain Reports per 1,000 Residents","The rate of service requests for addressing clogged storm drains made through Baltimore's 311 system per 1,000 residents. More than one service request may be made for the same issue but is logged as a unique request. Source: CitiStat Years Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2011|2012|2013|2014|2015|2016|2017|2018|environment,2020-03-19T15:49:27.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/cc307b1f087244e2bf064d211427d80e_0,https://data.baltimorecity.gov/datasets/cc307b1f087244e2bf064d211427d80e_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Clogged/FeatureServer/0,,cc307b1f087244e2bf064d211427d80e_0,https://hub.arcgis.com/datasets/cc307b1f087244e2bf064d211427d80e_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4835 MB
,"Number of Homeowner's Tax Credits per 1,000 Residential Units","The number of residential properties that received the homeowners tax credit per 1,000 residential properties within an area. The homeowner?s tax credit sets a limit on the amount of property taxes any homeowner must pay based upon his or her income. Source: Baltimore City Department of Finance Years Available: 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,housing|2011|2012|2013|2014|2015|2016|2017|2018|housing&development,2020-03-30T14:39:32.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/4c49492e5809482ab140218307f8504d_0,https://data.baltimorecity.gov/datasets/4c49492e5809482ab140218307f8504d_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Owntax/FeatureServer/0,,4c49492e5809482ab140218307f8504d_0,https://hub.arcgis.com/datasets/4c49492e5809482ab140218307f8504d_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4778 MB
,"Number of Arrests per 1,000 Residents","The number of persons aged 18 and over arrested per 1,000 adults that live in an area. This indicator is calculated by where the individual was arrested and not by where the crime is committed. Source: Baltimore City Police DepartmentYears Available: 2014, 2015, 2016",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,2014|2015|2016|crime|publicsafety,2020-02-17T20:43:20.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/e02666db8f1c45bdb4d04b1472857c9f_0,https://data.baltimorecity.gov/datasets/e02666db8f1c45bdb4d04b1472857c9f_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Arrests/FeatureServer/0,,e02666db8f1c45bdb4d04b1472857c9f_0,https://hub.arcgis.com/datasets/e02666db8f1c45bdb4d04b1472857c9f_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4764 MB
,Percent of Population that Drove Alone to Work,"The percentage of commuters driving alone out of all commuters aged 16 and above. Please note: due to the nature of this indicator, do not compare changes over time. This indicator can only be used as a point in time ""snapshot"". For more information, please visit the U.S. Census page on Comparing ACS Data. Source: American Community Survey Years Available: 2007-2011, 2008-2012, 2009-2013, 2010-2014, 2011-2015, 2012-2016, 2013-2017, 2014-2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2011|2012|2013|2014|2015|2016|2017|2018|transportation,2020-03-16T15:49:00.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/a0ba804affb54579a0cc9e1b4383a1e3_0,https://data.baltimorecity.gov/datasets/a0ba804affb54579a0cc9e1b4383a1e3_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Dralone/FeatureServer/0,,a0ba804affb54579a0cc9e1b4383a1e3_0,https://hub.arcgis.com/datasets/a0ba804affb54579a0cc9e1b4383a1e3_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4832 MB
,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over - City,"The percentage of commuters that spend more than 45 minutes travelling to work out of all commuters aged 16 and above. Please note: due to the nature of this indicator, do not compare changes over time. This indicator can only be used as a point in time ""snapshot"". For more information, please visit the U.S. Census page on Comparing ACS Data. Source: American Community Survey Years Available: 2006-2010, 2007-2011, 2008-2012, 2009-2013, 2010-2014, 2011-2015, 2012-2016, 2013-2017, 2014-2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2011|2012|2013|2014|2015|2016|2017|2018|transportation,2020-03-16T18:42:27.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7120,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/018dd0fe399d472cb1e1d9896adbab03_1,https://data.baltimorecity.gov/datasets/018dd0fe399d472cb1e1d9896adbab03_1.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav45_/FeatureServer/1,,018dd0fe399d472cb1e1d9896adbab03_1,https://hub.arcgis.com/datasets/018dd0fe399d472cb1e1d9896adbab03_1,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.0419 MB
,"Number of Overdose Calls for Service per 1,000 Residents","The rate of 911 calls to police for overdoses per 1,000 residents in an area. Since the data comes from 911 calls, it is possible that multiple calls could be made for a single incident. Source: Baltimore City Police DepartmentYears Available: 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,health|2018,2020-03-13T17:09:15.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/20c893c557ef43b5806948ba6bbb7625_0,https://data.baltimorecity.gov/datasets/20c893c557ef43b5806948ba6bbb7625_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Overd/FeatureServer/0,,20c893c557ef43b5806948ba6bbb7625_0,https://hub.arcgis.com/datasets/20c893c557ef43b5806948ba6bbb7625_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4783 MB
,Number of Miles of Bike Lanes, Measures the linear miles of designated bike lanes within the roadway system.Source: Baltimore Department of TransportationYears Available: 2012,English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2012|transportation,2020-02-25T18:43:34.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/d88926354e4d4bab93c174a7cf2cdf2d_0,https://data.baltimorecity.gov/datasets/d88926354e4d4bab93c174a7cf2cdf2d_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Bkln/FeatureServer/0,,d88926354e4d4bab93c174a7cf2cdf2d_0,https://hub.arcgis.com/datasets/d88926354e4d4bab93c174a7cf2cdf2d_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4738 MB
,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,"The percentage of commuters that spend less than 15 minutes commuting to work out of all commuters aged 16 and above. Please note: due to the nature of this indicator, do not compare changes over time. This indicator can only be used as a point in time ""snapshot"". For more information, please visit the U.S. Census page on Comparing ACS Data. Source: American Community Survey Years Available: 2007-2011, 2008-2012, 2009-2013, 2010-2014, 2011-2015, 2012-2016, 2013-2017, 2014-2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2011|2012|2013|2014|2015|2016|2017|2018|transportation,2020-03-16T18:26:48.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/92dfde6f1c184c97a09d5eb61e8590eb_0,https://data.baltimorecity.gov/datasets/92dfde6f1c184c97a09d5eb61e8590eb_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav14_/FeatureServer/0,,92dfde6f1c184c97a09d5eb61e8590eb_0,https://hub.arcgis.com/datasets/92dfde6f1c184c97a09d5eb61e8590eb_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4785 MB
,"Part 1 Crime Rate per 1,000 Residents","The Part 1 crime rate captures incidents of homicide, rape, aggravated assault, robbery, burglary, larceny, and auto theft that are reported to the Police Department. These incidents are per 1,000 residents in the neighborhood to allow for comparison across areas. Source: Baltimore City Police Department Years Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,crime|2010|2011|2012|2013|2014|2015|2016|2017|2018|publicsafety,2020-02-18T16:44:54.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/5be1d64f8a2d4932a481bad53c4a013c_0,https://data.baltimorecity.gov/datasets/5be1d64f8a2d4932a481bad53c4a013c_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Crime/FeatureServer/0,,5be1d64f8a2d4932a481bad53c4a013c_0,https://hub.arcgis.com/datasets/5be1d64f8a2d4932a481bad53c4a013c_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4786 MB
,"Domestic Violence Calls For Service per 1,000 Residents","The rate of calls to emergency 911 for domestic violence per 1,000 residents in an area. Calls for service are used rather than actual crime incidents since domestic violence can be classified as one of several types of criminal offenses. It is important to also note that not every case of domestic violence is reported and some claims of abuse may be unfounded. Source: Baltimore Police DepartmentYears Available: 2010, 2011, 2012",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,crime|2010|2011|2012|publicsafety,2020-02-18T17:08:32.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/0a0113870537441a8f8261494e843320_0,https://data.baltimorecity.gov/datasets/0a0113870537441a8f8261494e843320_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Domvio/FeatureServer/0,,0a0113870537441a8f8261494e843320_0,https://hub.arcgis.com/datasets/0a0113870537441a8f8261494e843320_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4763 MB
,"Number of Daily Bus Stop Loadings per 1,000 Residents","The median number of daily passengers getting on and off MTA buses by community. Source: MTA Maryland Years Available: 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2017|2018|transportation,2020-03-17T15:53:06.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/58bced9f6ded41f89088e409126d22b1_0,https://data.baltimorecity.gov/datasets/58bced9f6ded41f89088e409126d22b1_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Busload/FeatureServer/0,,58bced9f6ded41f89088e409126d22b1_0,https://hub.arcgis.com/datasets/58bced9f6ded41f89088e409126d22b1_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4752 MB
,Percent of Area Covered by Trees,"The percent of total land area comprised of tree canopy. The primary sources for this land cover layer were 2004 pan-sharpened 1m Ikonos satellite imagery, a normalized Digital Surface Model (nDSM) derived from 2006 LiDAR data, and LiDAR intensity data resulting from the 2006 acquisition. Other sources of data include the City's planimetric GIS database (building footprints and road casing polygons). The land cover classification was performed using automated object-based image analysis (OBIA) techniques in Definiens Developer/eCognition Server. No accuracy assessment was conducted, but the dataset was thoroughly reviewed at a scale of 1:2000. Over 370 corrections were made to the classification. Source: University of Vermont Spatial Analysis Lab Years Available: 2011, 2017",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2011|2017|environment,2020-02-26T21:26:49.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/e8b7beca0fd649b1a77c58fafc4658a9_0,https://data.baltimorecity.gov/datasets/e8b7beca0fd649b1a77c58fafc4658a9_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trees/FeatureServer/0,,e8b7beca0fd649b1a77c58fafc4658a9_0,https://hub.arcgis.com/datasets/e8b7beca0fd649b1a77c58fafc4658a9_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4759 MB
,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,"The percentage of commuters that spend between 30 and 44 minutes travelling to work out of all commuters aged 16 and above. Please note: due to the nature of this indicator, do not compare changes over time. This indicator can only be used as a point in time ""snapshot"". For more information, please visit the U.S. Census page on Comparing ACS Data. Source: American Community Survey Years Available: 2006-2010, 2007-2011, 2008-2012, 2009-2013, 2010-2014, 2011-2015, 2012-2016, 2013-2017, 2014-2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2011|2012|2013|2014|2015|2016|2017|2018|transportation,2020-03-16T18:38:05.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/b87019e9224d40a1afef36ddedf59d0f_0,https://data.baltimorecity.gov/datasets/b87019e9224d40a1afef36ddedf59d0f_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav44_/FeatureServer/0,,b87019e9224d40a1afef36ddedf59d0f_0,https://hub.arcgis.com/datasets/b87019e9224d40a1afef36ddedf59d0f_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4785 MB
,Percent of Homes Weatherized,"The percent of residential properties that were eligible for and received weatherization assistance such as air sealing or furnace replacements. The Weatherization Assistance Program helps eligible low-income households lower their energy costs by increasing the energy efficiency of their homes, while ensuring their health and safety. Source: Maryland Department of Housing and Community DevelopmentYears Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2011|2012|2013|2014|2015|2016|environment,2020-02-25T18:57:17.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/ce9ed2bbacba4d0e88a9f6e4e3c33839_0,https://data.baltimorecity.gov/datasets/ce9ed2bbacba4d0e88a9f6e4e3c33839_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Weather/FeatureServer/0,,ce9ed2bbacba4d0e88a9f6e4e3c33839_0,https://hub.arcgis.com/datasets/ce9ed2bbacba4d0e88a9f6e4e3c33839_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4772 MB
,Percent of Population (Over the age of 18) Who are Registered to Vote,"The percentage of persons over the age of 18 registered to vote out of all persons 18 years and over. Source: Baltimore City Board of Elections Years Available: 2010, 2012, 2014, 2016, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2012|2014|2016|2018|citygovernment,2020-03-30T13:27:20.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/49f163640dfc42b481355eff10b87264_0,https://data.baltimorecity.gov/datasets/49f163640dfc42b481355eff10b87264_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Regvote/FeatureServer/0,,49f163640dfc42b481355eff10b87264_0,https://hub.arcgis.com/datasets/49f163640dfc42b481355eff10b87264_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4767 MB
,Number of Public Murals,"The number of murals per CSA. Murals are also included in the ""Public Art per 1,000 residents"" indicator. Murals are separated out as a sub-indicator so they can be analyzed at the point-level. Source: Baltimore Office of Promotion and the Arts Years Available: 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,arts|2014|2015|2016|2107|2018|art&culture,2020-03-19T16:05:18.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/f2d5a686ecd9401e8e69d09524afc399_0,https://data.baltimorecity.gov/datasets/f2d5a686ecd9401e8e69d09524afc399_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Murals/FeatureServer/0,,f2d5a686ecd9401e8e69d09524afc399_0,https://hub.arcgis.com/datasets/f2d5a686ecd9401e8e69d09524afc399_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4779 MB
,Total Number of Residential Properties,"The total number of residential properties located within an area as identified by Maryland Property View. It is important to note that that this indicator is a count of properties (single family homes, condominiums, and duplexes) and that a property can be comprised of multiple housing units.Source: MdProperty View Years Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,housing|2010|2011|2012|2013|2014|2015|2016|2017|2018|housing&development,2020-03-20T20:52:41.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/6981b3faa50344f8b7a6e1970bdf20b2_0,https://data.baltimorecity.gov/datasets/6981b3faa50344f8b7a6e1970bdf20b2_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Totalres/FeatureServer/0,,6981b3faa50344f8b7a6e1970bdf20b2_0,https://hub.arcgis.com/datasets/6981b3faa50344f8b7a6e1970bdf20b2_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4796 MB
,Percent Population (Over the age of 18) Who Voted in the General Election,"The percentage of persons who voted in the last general election out of all registered voters. Source: Baltimore City Board of Elections Years Available: 2010, 2012, 2014, 2016, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2010|2012|2014|2016|2018|citygovernment,2020-03-30T13:19:27.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/10cd0fca9f8c4c998a0dc98dcdac2122_0,https://data.baltimorecity.gov/datasets/10cd0fca9f8c4c998a0dc98dcdac2122_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Vote/FeatureServer/0,,10cd0fca9f8c4c998a0dc98dcdac2122_0,https://hub.arcgis.com/datasets/10cd0fca9f8c4c998a0dc98dcdac2122_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4756 MB
,"Rate of Housing Vouchers per 1,000 Rental Units","Measures the ability of housing voucher holders to find housing in the private rental market. The Housing Choice Voucher (HCV) program is the federal government's largest low-income housing assistance program where people can seek housing in the private market. The maximum housing assistance is generally the lesser of the payment standard minus 30% of the family's monthly adjusted income or the gross rent for the unit minus 30% of monthly adjusted income.Source: Picture of Subsidized Housing, HUD Years Available: 2014, 2015, 2016, 2017, 2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,housing|2014|2015|2016|2017|2018|housing&development,2020-03-20T20:30:38.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/c89778e225244a049889633f129b509e_0,https://data.baltimorecity.gov/datasets/c89778e225244a049889633f129b509e_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hcvhouse/FeatureServer/0,,c89778e225244a049889633f129b509e_0,https://hub.arcgis.com/datasets/c89778e225244a049889633f129b509e_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4813 MB
,Percent of Population that Carpool to Work,"The percentage of commuters that carpool out of all commuters aged 16 and above. Please note: due to the nature of this indicator, do not compare changes over time. This indicator can only be used as a point in time ""snapshot"". For more information, please visit the U.S. Census page on Comparing ACS Data. Source: American Community Survey Years Available: 2007-2011, 2008-2012, 2009-2013, 2010-2014, 2011-2015, 2012-2016, 2013-2017, 2014-2018",English,Baltimore Neighborhood Indicators Alliance,"City of Baltimore, Maryland",Geospatial data,,sustainability|2011|2012|2013|2014|2015|2016|2017|2018|transportation,2020-03-16T15:41:56.000Z,,,,"Baltimore City, Maryland|Anne Arundel County, Maryland|Baltimore County, Maryland|Baltimore City County, Maryland|Maryland","-76.7121,39.1977,-76.5289,39.3720",Dataset|Service,Vector,Shapefile,https://data.baltimorecity.gov/datasets/1f3222985e7e49ff9851bf953cfe32fa_0,https://data.baltimorecity.gov/datasets/1f3222985e7e49ff9851bf953cfe32fa_0.zip,,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Carpool/FeatureServer/0,,1f3222985e7e49ff9851bf953cfe32fa_0,https://hub.arcgis.com/datasets/1f3222985e7e49ff9851bf953cfe32fa_0,University of Maryland,04c-02,04c-02,Active,ArcGIS Hub,,Public,,False,False,0.4829 MB
