Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,Map Server,Feature Server,Image Server,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accural Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Montgomery County Boundary,,English,"Montgomery County, MD","Montgomery County, Maryland",Geospatial data,,MoCo Boundary|Montgomery County Boundary|MCGGisOpenDataCommunity,2020-06-30T02:58:11.000Z,,,,"Montgomery County, Maryland|Maryland","-77.5261,38.9331,-76.8873,39.3544",Dataset|Service,Vector,Shapefile,http://data2018-mcgov-gis.opendata.arcgis.com/datasets/d75811c92df647ee8cbb5b133faa6587_0,"http://data2018-mcgov-gis.opendata.arcgis.com/datasets/d75811c92df647ee8cbb5b133faa6587_0.zip?outSR={""latestWkid"":2248,""wkid"":102685}",,https://gis4.montgomerycountymd.gov/arcgis/rest/services/general/MoCo_boundary/FeatureServer/0,,d75811c92df647ee8cbb5b133faa6587_0,,Maryland,04b-24031,04b-24031,active,ArcGIS Hub,,Public,,FALSE,
,AC AddressPoints,,English,"County of Allegheny, PA","Allegheny County, Pennsylvania",,,Address|Address points,2020-06-22T13:00:21.000Z,,,,"Allegheny County, Pennsylvania|Pennsylvania","-80.0083,40.436,-79.9904,40.4447",,,,http://openac-alcogis.opendata.arcgis.com/datasets/7624e36ddb7441bead67cf087867bb5f,,,,,7624e36ddb7441bead67cf087867bb5f,,Penn State,08b-42003,08b-42003,active,ArcGIS Hub,,Public,,FALSE,
,Open Data Parks and Recreation Areas,Park and recreation areas within Carver County. This is a collection of city and county data. Updated as the GIS Office becomes aware of new recreation areas.,English,"Carver County, Minnesota","Carver County, Minnesota",Geospatial data,,Park| Carver County| Recreation| Environment| Community,2020-06-11T13:51:00.000Z,,,,"Carver County, Minnesota|Minnesota","-93.9711,44.6414,-93.52,44.9806",Dataset|Service,Vector,Shapefile,http://data-carver.opendata.arcgis.com/datasets/1cf6a7f0447b49ed8b6077aa7ed29133_0,"http://data-carver.opendata.arcgis.com/datasets/1cf6a7f0447b49ed8b6077aa7ed29133_0.zip?outSR={""latestWkid"":26915,""wkid"":26915}",,https://services.arcgis.com/wMZT8kNwa6tOxhKg/arcgis/rest/services/Open_Data_Parks_and_Recreation_Areas/FeatureServer/0,,1cf6a7f0447b49ed8b6077aa7ed29133_0,,Minnesota,05b-27019,05b-27019,active,ArcGIS Hub,,Public,,FALSE,
,Open Data Trails and Sidewalks,Trails and sidewalk data. Data was collected from cities and compiled together to make a county-wide dataset. Source and accuracy of data vary by city. Updated as the GIS office becomes aware of new trails.,English,"Carver County, Minnesota","Carver County, Minnesota",Geospatial data,,Trail| Carver County| Sidewalk| Standard| Recreation| Community| Infrastructure,2020-06-11T15:28:41.000Z,,,,"Carver County, Minnesota|Minnesota","-94.0059,44.5268,-93.3021,44.9804",Dataset|Service,Vector,Shapefile,http://data-carver.opendata.arcgis.com/datasets/84eaf0c9b18f41feaaa4ec94a6fb1bb8_0,"http://data-carver.opendata.arcgis.com/datasets/84eaf0c9b18f41feaaa4ec94a6fb1bb8_0.zip?outSR={""latestWkid"":26915,""wkid"":26915}",,https://services.arcgis.com/wMZT8kNwa6tOxhKg/arcgis/rest/services/Open_Data_Trails_and_Sidewalks/FeatureServer/0,,84eaf0c9b18f41feaaa4ec94a6fb1bb8_0,,Minnesota,05b-27019,05b-27019,active,ArcGIS Hub,,Public,,FALSE,
,Libraries,Point Feature Class - It was originally captured as part of the 1995 Aerial Imagery project completed by Kimball.,English,Centre County Government,"Centre County, Pennsylvania",,,Locations|Centre County|GIS,2016-12-01T14:56:13.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.223,40.7925,-77.4526,40.9136",,,,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/51c820b82a83429fa8f804f1dae5ccc3,,https://gissites4.centrecountypa.gov/arcgis/rest/services/OpenData/MapServer/65,,,51c820b82a83429fa8f804f1dae5ccc3,,Penn State,08b-42027,08b-42027,active,ArcGIS Hub,,Public,,FALSE,
,Mile Markers,"GPS points of the mile markers for I-80 and I-99, including number, within Centre County",English,Centre County Government,"Centre County, Pennsylvania",Geospatial data,,transportation|Infrastructure|Centre County|GIS,2016-11-30T18:49:05.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.166,40.7398,-77.5377,41.0293",Dataset|Service,Vector,Shapefile,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/26851437caef4a43b40fc8099b3ecf38_38,"http://gisdata-centrecountygov.opendata.arcgis.com/datasets/26851437caef4a43b40fc8099b3ecf38_38.zip?outSR={""latestWkid"":2271,""wkid"":102728}",https://gissites4.centrecountypa.gov/arcgis/rest/services/OpenData/MapServer/38,,,26851437caef4a43b40fc8099b3ecf38_38,,Penn State,08b-42027,08b-42027,active,ArcGIS Hub,,Public,,FALSE,
,Trails,"Compiled list of current, proposed, and trails under construction. This also contains, the type of trail, its uses, and its restrictions.",English,Centre County Government,"Centre County, Pennsylvania",,,Infrastructure|Centre County|GIS|Recreation,2016-11-30T19:25:45.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.4426,40.6064,-76.8875,41.3662",,,,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/52b96a57d16c4b3e9dc6085cee28f4a9,,https://gissites4.centrecountypa.gov/arcgis/rest/services/OpenData/MapServer/44,,,52b96a57d16c4b3e9dc6085cee28f4a9,,Penn State,08b-42027,08b-42027,active,ArcGIS Hub,,Public,,FALSE,
,Water Service Areas,Polygon feature class showing the extent of the properties with public water. This layer has been updated through GPS field verification in a few locations as well as through Tax Assessment records.,English,Centre County Government,"Centre County, Pennsylvania",Geospatial data,,Infrastructure|Utilities|Centre County|GIS|water|Planning,2016-11-30T20:24:40.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.3084,40.6979,-77.3432,41.1132",Dataset|Service,Vector,Shapefile,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/269fc852221c4f95936f870ca500577b_52,"http://gisdata-centrecountygov.opendata.arcgis.com/datasets/269fc852221c4f95936f870ca500577b_52.zip?outSR={""latestWkid"":2271,""wkid"":102728}",https://gissites4.centrecountypa.gov/arcgis/rest/services/OpenData/MapServer/52,,,269fc852221c4f95936f870ca500577b_52,,Penn State,08b-42027,08b-42027,active,ArcGIS Hub,,Public,,FALSE,
,Streets,"SCL - Street Center Line data with addressing information. Subtypes have been set p on the FCODE field. FCODE 1500 - Public Road: Any Municipal, State, or Federal owned roadway which is open to the public. 1510 - Named Private Road: Any roadway that services addressable structures located on private property which is not open to the general public. 1520 - Gated Road: Any gated road, private or public. 1530 - Seasonally Gated Road: Any gated road, private or public, that is only open during specific times of the year. 1540 - Drivable Trail: State Forestry, Game Land, Park, or Fish Commission trail. Primarily 4WD accessible road with little or no maintenance. 1550 - State Public Land Road: Any State Forestry, Game Land, Park, or Fish & Boat, roadway that is used to access State Public Lands. Road condition, maintenance, and accessibility are inconsistent. ",English,Centre County Government,"Centre County, Pennsylvania",Geospatial data,,Infrastructure|Centre County|GIS|transportation|roads|911,2016-11-22T14:48:37.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.3737,40.6913,-77.1419,41.241",Dataset|Service,Vector,Shapefile,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/276fffcc41b947fa87497bb8ed1d1c40_3,"http://gisdata-centrecountygov.opendata.arcgis.com/datasets/276fffcc41b947fa87497bb8ed1d1c40_3.zip?outSR={""latestWkid"":2271,""wkid"":102728}",https://gissites4.centrecountypa.gov/arcgis/rest/services/OpenData/MapServer/3,,,276fffcc41b947fa87497bb8ed1d1c40_3,,Penn State,08b-42027,08b-42027,active,ArcGIS Hub,,Public,,FALSE,
,2020 Primary Election Results,"Election results by precinct for Stark County, Ohio from the primary election held on Tuesday, March 17, 2020. These results include races for federal, state, county, and local issues. The Stark County Board of Elections (BOE) maintains the precincts layer for the county, which are identified in the attribute table. The results for each race are compiled into this single layer for convenience. The attribute table also contains information on voter turnout and registration.For the most up-to-date precincts, seeVoting Precincts.",English,Stark County Ohio,State of Ohio,Geospatial data,,Analysis Result|Join Features,2020-05-20T19:32:01.000Z,,,,Ohio,"-81.6513,40.6345,-81.0818,40.988",Dataset|Service,Vector,Shapefile,http://ogrip-geohio.opendata.arcgis.com/datasets/4f96b0f3435f4d25bc13d243fe60b2ce_0,"http://ogrip-geohio.opendata.arcgis.com/datasets/4f96b0f3435f4d25bc13d243fe60b2ce_0.zip?outSR={""latestWkid"":3734,""wkid"":102722}",,https://services2.arcgis.com/1JiK2PayqrHvvJhM/arcgis/rest/services/2020_Primary_Election_Results/FeatureServer/0,,4f96b0f3435f4d25bc13d243fe60b2ce_0,,Ohio State,11a-01,11a-01,active,ArcGIS Hub,,Public,,FALSE,
,"Spills and Releases Reported to Ohio EPA (since May, 2017)","Spills Reported to Ohio EPA since May 17, 2017. Spill site and products released are included in this data set. These data are updated daily.",English,Ohio Environmental Protection Agency,State of Ohio,Geospatial data,,spills|emergency response|DERIE,2020-02-06T20:28:51.000Z,,,,Ohio,"-84.8135,-81.351,84.73,42.14",Dataset|Service,Vector,Shapefile,http://ogrip-geohio.opendata.arcgis.com/datasets/5684b8ecaf014901be58e8fca593050c_1,"http://ogrip-geohio.opendata.arcgis.com/datasets/5684b8ecaf014901be58e8fca593050c_1.zip?outSR={""latestWkid"":4326,""wkid"":4326}",https://geo.epa.ohio.gov/arcgis/rest/services/EmergResponse/Spills2_Public/MapServer/1,,,5684b8ecaf014901be58e8fca593050c_1,,Ohio State,11a-01,11a-01,active,ArcGIS Hub,,Public,,FALSE,
,Parcel Transfer Update 06-28-2020,"This dataset contains parcel transfers in Stark County, Ohio between 06/18/2020 and 06/25/2020. Information about former owner and city, village, or township are also included.",English,Stark County Ohio,State of Ohio,,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County,2020-06-28T09:52:02.000Z,,,,Ohio,"-81.7986,40.6023,-80.9122,41.0372",,,,http://ogrip-geohio.opendata.arcgis.com/datasets/904bfd6fde1243dfa6618d09bc555b9a,,,,,904bfd6fde1243dfa6618d09bc555b9a,,Ohio State,11a-01,11a-01,active,ArcGIS Hub,,Public,,FALSE,
,Parcel Transfer Update 06-21-2020,"This dataset contains parcel transfers in Stark County, Ohio between 06/11/2020 and 06/18/2020. Information about former owner and city, village, or township are also included.",English,Stark County Ohio,State of Ohio,,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County,2020-06-21T09:47:56.000Z,,,,Ohio,"-81.7986,40.6023,-80.9122,41.0372",,,,http://ogrip-geohio.opendata.arcgis.com/datasets/4061154efcba4a1f941b44901640bfc3,,,,,4061154efcba4a1f941b44901640bfc3,,Ohio State,11a-01,11a-01,active,ArcGIS Hub,,Public,,FALSE,
,Parcel Transfer Update 06-14-2020,"This dataset contains parcel transfers in Stark County, Ohio between 06/04/2020 and 06/11/2020. Information about former owner and city, village, or township are also included.",English,Stark County Ohio,State of Ohio,,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County,2020-06-14T09:43:51.000Z,,,,Ohio,"-81.7986,40.6023,-80.9122,41.0372",,,,http://ogrip-geohio.opendata.arcgis.com/datasets/ee71138264d3495bb4554d9719a8fe58,,,,,ee71138264d3495bb4554d9719a8fe58,,Ohio State,11a-01,11a-01,active,ArcGIS Hub,,Public,,FALSE,
,2017 Lake County Elevation Data,This page from the Illinois Geospatial Data Clearinghouse includes download links for the following Lake County datasets specific to the 2017 LiDAR capture:BreaklinesLASTile IndexDerivativesMetadata,English,Lake County Illinois GIS,"Lake County, Illinois",,,Breaklines|LAS|Tile Index|LiDAR,2020-06-16T13:54:27.000Z,,,,"Lake County, Illinois|Illinois","-88.215,42.158,-87.781,42.493",,,,http://data-lakecountyil.opendata.arcgis.com/datasets/7d73b6a7e99746b08a1e4c4530c997d4,,,,,7d73b6a7e99746b08a1e4c4530c997d4,,Chicago,12b-17097,12b-17097,active,ArcGIS Hub,,Public,,FALSE,
,2017 Digital Elevation Model - SW Corner,"The 2017 Digital Terrain Model (DTM) is a 2 foot pixel resolution raster in Erdas IMG format. This was created using the ground (class = 2) lidar points and incorporating the breaklines.The DTMs were developed using LiDAR data. LiDAR is an acronym for LIght Detection And Ranging. Light detection and ranging is the science of using a laser to measure distances to specific points. A specially equipped airplane with positioning tools and LiDAR technology was used to measure the distance to the surface of the earth to determine ground elevation. The classified points were developed using data collected in April to May 2017. The LiDAR points, specialized software, and technology provide the ability to create a high precision three-dimensional digital elevation and/or terrain models (DEM/DTM). The use of LiDAR significantly reduces the cost for developing this information.The DTMs are intended to correspond to the orthometric heights of the bare surface of the county (no buildings or vegetation cover). DTM data is used by county agencies to study drainage issues such as flooding and erosion; contour generation; slope and aspect; and hill shade images. This dataset was compiled to meet the American Society for Photogrammetry and Remote Sensing (ASPRS) Accuracy Standards for Large-Scale Maps, CLASS 1 map accuracy.TheU.S. Army Corps of Engineers Engineering and Design Manual for Photogrammetric Production(https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-1-1000.pdf) recommends that data intended for this usage scale be used for any of the following purposes: route location, preliminary alignment and design, preliminary project planning, hydraulic sections, rough earthwork estimates, or high-gradient terrain / low unit cost earthwork excavation estimates. The manual does not recommend that these data be used for final design, excavation and grading plans, earthwork computations for bid estimates or contract measurement and payment.This dataset does not take the place of an on-site survey for design, construction or regulatory purposes.",English,Lake County Illinois GIS,"Lake County, Illinois",,,Topography|Contours|LiDAR Breaklines|LiDAR Point Cloud|Elevation|Lake County Illinois|DEM|Digital elevation model,2020-06-17T19:52:19.000Z,,,,"Lake County, Illinois|Illinois","-88.215,42.158,-87.781,42.493",,,,http://data-lakecountyil.opendata.arcgis.com/datasets/c07c95104a28430796c1e97079b543ea,,,,,c07c95104a28430796c1e97079b543ea,,Chicago,12b-17097,12b-17097,active,ArcGIS Hub,,Public,,FALSE,
,2017 Digital Elevation Model - SE Corner,"The 2017 Digital Terrain Model (DTM) is a 2 foot pixel resolution raster in Erdas IMG format. This was created using the ground (class = 2) lidar points and incorporating the breaklines.The DTMs were developed using LiDAR data. LiDAR is an acronym for LIght Detection And Ranging. Light detection and ranging is the science of using a laser to measure distances to specific points. A specially equipped airplane with positioning tools and LiDAR technology was used to measure the distance to the surface of the earth to determine ground elevation. The classified points were developed using data collected in April to May 2017. The LiDAR points, specialized software, and technology provide the ability to create a high precision three-dimensional digital elevation and/or terrain models (DEM/DTM). The use of LiDAR significantly reduces the cost for developing this information.The DTMs are intended to correspond to the orthometric heights of the bare surface of the county (no buildings or vegetation cover). DTM data is used by county agencies to study drainage issues such as flooding and erosion; contour generation; slope and aspect; and hill shade images. This dataset was compiled to meet the American Society for Photogrammetry and Remote Sensing (ASPRS) Accuracy Standards for Large-Scale Maps, CLASS 1 map accuracy.TheU.S. Army Corps of Engineers Engineering and Design Manual for Photogrammetric Production(https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-1-1000.pdf) recommends that data intended for this usage scale be used for any of the following purposes: route location, preliminary alignment and design, preliminary project planning, hydraulic sections, rough earthwork estimates, or high-gradient terrain / low unit cost earthwork excavation estimates. The manual does not recommend that these data be used for final design, excavation and grading plans, earthwork computations for bid estimates or contract measurement and payment.This dataset does not take the place of an on-site survey for design, construction or regulatory purposes.",English,Lake County Illinois GIS,"Lake County, Illinois",,,Topography|Contours|LiDAR Breaklines|LiDAR Point Cloud|Elevation|Lake County Illinois|DEM|Digital elevation model,2020-06-17T19:50:37.000Z,,,,"Lake County, Illinois|Illinois","-88.215,42.158,-87.781,42.493",,,,http://data-lakecountyil.opendata.arcgis.com/datasets/0180bb30185d42a3b333d506633d0151,,,,,0180bb30185d42a3b333d506633d0151,,Chicago,12b-17097,12b-17097,active,ArcGIS Hub,,Public,,FALSE,
,2017 Digital Elevation Model - NW Corner,"The 2017 Digital Terrain Model (DTM) is a 2 foot pixel resolution raster in Erdas IMG format. This was created using the ground (class = 2) lidar points and incorporating the breaklines.The DTMs were developed using LiDAR data. LiDAR is an acronym for LIght Detection And Ranging. Light detection and ranging is the science of using a laser to measure distances to specific points. A specially equipped airplane with positioning tools and LiDAR technology was used to measure the distance to the surface of the earth to determine ground elevation. The classified points were developed using data collected in April to May 2017. The LiDAR points, specialized software, and technology provide the ability to create a high precision three-dimensional digital elevation and/or terrain models (DEM/DTM). The use of LiDAR significantly reduces the cost for developing this information.The DTMs are intended to correspond to the orthometric heights of the bare surface of the county (no buildings or vegetation cover). DTM data is used by county agencies to study drainage issues such as flooding and erosion; contour generation; slope and aspect; and hill shade images. This dataset was compiled to meet the American Society for Photogrammetry and Remote Sensing (ASPRS) Accuracy Standards for Large-Scale Maps, CLASS 1 map accuracy.TheU.S. Army Corps of Engineers Engineering and Design Manual for Photogrammetric Production(https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-1-1000.pdf) recommends that data intended for this usage scale be used for any of the following purposes: route location, preliminary alignment and design, preliminary project planning, hydraulic sections, rough earthwork estimates, or high-gradient terrain / low unit cost earthwork excavation estimates. The manual does not recommend that these data be used for final design, excavation and grading plans, earthwork computations for bid estimates or contract measurement and payment.This dataset does not take the place of an on-site survey for design, construction or regulatory purposes.",English,Lake County Illinois GIS,"Lake County, Illinois",,,Topography|Contours|LiDAR Breaklines|LiDAR Point Cloud|Elevation|Lake County Illinois|DEM|Digital elevation model,2020-06-17T19:47:41.000Z,,,,"Lake County, Illinois|Illinois","-88.215,42.158,-87.781,42.493",,,,http://data-lakecountyil.opendata.arcgis.com/datasets/fb430731729a4184bb8a143e12bf4c27,,,,,fb430731729a4184bb8a143e12bf4c27,,Chicago,12b-17097,12b-17097,active,ArcGIS Hub,,Public,,FALSE,
,2017 Digital Elevation Model - NE Corner,"The 2017 Digital Terrain Model (DTM) is a 2 foot pixel resolution raster in Erdas IMG format. This was created using the ground (class = 2) lidar points and incorporating the breaklines. The DTMs were developed using LiDAR data. LiDAR is an acronym for LIght Detection And Ranging. Light detection and ranging is the science of using a laser to measure distances to specific points. A specially equipped airplane with positioning tools and LiDAR technology was used to measure the distance to the surface of the earth to determine ground elevation. The classified points were developed using data collected in April to May 2017. The LiDAR points, specialized software, and technology provide the ability to create a high precision three-dimensional digital elevation and/or terrain models (DEM/DTM). The use of LiDAR significantly reduces the cost for developing this information. The DTMs are intended to correspond to the orthometric heights of the bare surface of the county (no buildings or vegetation cover). DTM data is used by county agencies to study drainage issues such as flooding and erosion; contour generation; slope and aspect; and hill shade images. This dataset was compiled to meet the American Society for Photogrammetry and Remote Sensing (ASPRS) Accuracy Standards for Large-Scale Maps, CLASS 1 map accuracy. The U.S. Army Corps of Engineers Engineering and Design Manual for Photogrammetric Production (https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-1-1000.pdf) recommends that data intended for this usage scale be used for any of the following purposes: route location, preliminary alignment and design, preliminary project planning, hydraulic sections, rough earthwork estimates, or high-gradient terrain / low unit cost earthwork excavation estimates. The manual does not recommend that these data be used for final design, excavation and grading plans, earthwork computations for bid estimates or contract measurement and payment. This dataset does not take the place of an on-site survey for design, construction or regulatory purposes.",English,Lake County Illinois GIS,"Lake County, Illinois",,,Topography|Contours|LiDAR Breaklines|LiDAR Point Cloud|Elevation|Lake County Illinois|DEM|Digital elevation model,2020-06-17T19:44:11.000Z,,,,"Lake County, Illinois|Illinois","-88.215,42.158,-87.781,42.493",,,,http://data-lakecountyil.opendata.arcgis.com/datasets/2396cbb16b9b41369fc09a868b72f05d,,,,,2396cbb16b9b41369fc09a868b72f05d,,Chicago,12b-17097,12b-17097,active,ArcGIS Hub,,Public,,FALSE,
