Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,Folly Quarter Manor History - Part 1,"Scan of pages from the book ""Founders of Anne Arundel and Howard Counties.",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/523s-8sua,,523s-8sua,Maryland,04b-24027,04b-24027_21,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 07-30-2021,ACH Vendor Payments for 07-30-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,7/29/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/5672-i8cf,,5672-i8cf,Maryland,04b-24027,04b-24027_22,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 04-01-2022,ACH VENDOR PAYMENTS FOR 04-01-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,3/31/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/5dzs-tkee,,5dzs-tkee,Maryland,04b-24027,04b-24027_23,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Waterloo Elementary - The Anvil Resurveyed Land Patent 4,Resurveyed land patent part 4,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6553-3x6n,,6553-3x6n,Maryland,04b-24027,04b-24027_24,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 10-07-2022,ACH VENDOR PAYMENTS FOR 10-07-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/6/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/672c-miw6,,672c-miw6,Maryland,04b-24027,04b-24027_25,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Ex Gov Carrolls View - 04/09/1910,Scanned article from the Baltimore Sun.,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/4/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/67tp-ahiz,,67tp-ahiz,Maryland,04b-24027,04b-24027_26,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Stevens Forest Resurveyed Land Patent - Page 7,Scan,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/7/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/69p4-n79b,,69p4-n79b,Maryland,04b-24027,04b-24027_27,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Will of Charles Carroll of Doughoregan - 02/02/1863,Scanned article from the Alexandria Gazette.,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/4/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6b9d-xana,,6b9d-xana,Maryland,04b-24027,04b-24027_28,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 08-27-2021,ACH Vendor Payments for 08-27-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,8/26/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6cmf-4b8r,,6cmf-4b8r,Maryland,04b-24027,04b-24027_29,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Folly Quarter Middle School - Blue Ribbon Award Article - 2,"Scan of Folly Quarter Middle School article from the Baltimore Sun on June 22, 2014. Title ""Multiple honors for Folly Quarter"" by Joe Burris - Part 2",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/8/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6gg5-nnua,,6gg5-nnua,Maryland,04b-24027,04b-24027_30,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Stevens Forest Resurveyed Land Patent - Page 7,Stevens Forest Resurveyed Land Patent,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6htx-zt94,,6htx-zt94,Maryland,04b-24027,04b-24027_31,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,For Amendment Ex Gov Warfield - 09/15/1909,Scanned article from the Baltimore Sun.,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/4/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6jxm-bk4u,,6jxm-bk4u,Maryland,04b-24027,04b-24027_32,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Wilde Lake Middle - Baltimore Sun article 2016,Baltimore Sun article titled New Wilde Lake Middle nears completion by Maya Earls. 2016,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6k7c-svem,,6k7c-svem,Maryland,04b-24027,04b-24027_33,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Thunder Hill - Columbia Maryland Archives,Screenshot of Thunder Hill from the Columbia Maryland Archives,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6pzc-6hzu,,6pzc-6hzu,Maryland,04b-24027,04b-24027_34,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Bryant Woods - 35th Anniversary Article (2),"Scanned article from September 29, 2004 tilted: 'It's Still a Warm and Friendly Place'",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/7/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6q3x-rf7k,,6q3x-rf7k,Maryland,04b-24027,04b-24027_35,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Stevens Forest Resurveyed Land Patent - Page 8,Scan,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/7/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6tim-nfr3,,6tim-nfr3,Maryland,04b-24027,04b-24027_36,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 10-28-2022,ACH VENDOR PAYMENTS FOR 10-28-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/27/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6xgw-ge5a,,6xgw-ge5a,Maryland,04b-24027,04b-24027_37,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,The Village of River Hill - Naming Background,"Screenshot of the ""About"" The Village of River Hill webpage including the Naming Background.",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/6xnu-jrij,,6xnu-jrij,Maryland,04b-24027,04b-24027_38,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 11-19-2021,ACH Vendor Payments for 11-19-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,11/18/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/72td-vat8,,72td-vat8,Maryland,04b-24027,04b-24027_39,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Waterloo Elementary - The Anvil Resurveyed Land Patent 1,Resurveyed land patent. 1753,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/785x-ixs2,,785x-ixs2,Maryland,04b-24027,04b-24027_40,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Wilde Lake Middle - Baltimore Sun 1992,"Baltimore Sun article titled: Columbia's first 25 years: a chronology. June 14, 1992",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7eig-fsam,,7eig-fsam,Maryland,04b-24027,04b-24027_41,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Slave Census - 1860,"Scan of Slave Census from October 19, 1860.",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7i3e-efze,,7i3e-efze,Maryland,04b-24027,04b-24027_42,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Recreation and Parks Program Totals: Fall 2021,,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,2/8/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7m4r-j73i,,7m4r-j73i,Maryland,04b-24027,04b-24027_43,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,James Abbott McNeill Whistler,Screenshot of website showing James Abbott McNeill Whistler - artist,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7qb3-58qq,,7qb3-58qq,Maryland,04b-24027,04b-24027_44,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Long Reach - Map of Original Land Grant and Current Long Reach Village,Scan of a map showing the current Long Reach Village area with the original land grant.,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7udi-vjmg,,7udi-vjmg,Maryland,04b-24027,04b-24027_45,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 10-08-2021,ACH VENDOR PAYMENTS FOR 10-08-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/7/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7vc2-69gt,,7vc2-69gt,Maryland,04b-24027,04b-24027_46,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Marriott Slaves - 1819,Screenshot of Slave database Wm. H. Marriott,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7xsy-rmpw,,7xsy-rmpw,Maryland,04b-24027,04b-24027_47,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,"HO-87 Bethesda (Dower Cottage, Long Reach)","Architectural Survey File last updated February 07, 2013 (Historic Home of Dr Arthur Pue and others)",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7z5r-m474,,7z5r-m474,Maryland,04b-24027,04b-24027_48,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 09-02-2022,ACH VENDOR PAYMENTS FOR 09-02-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/1/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/7zfh-djri,,7zfh-djri,Maryland,04b-24027,04b-24027_49,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Folly Quarter Farm Blueprint,"Scanned blueprint of Folly Quarter Farm from January 12, 1975",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/8/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/837m-h2ua,,837m-h2ua,Maryland,04b-24027,04b-24027_50,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Mount Hebron High School Aerial Photo Map,Screenshot Aerial Photo of Mount Hebron High School,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/8569-rc5b,,8569-rc5b,Maryland,04b-24027,04b-24027_51,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 02-18-2022,ACH VENDOR PAYMENTS FOR 02-18-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,2/17/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/88hs-sf5j,,88hs-sf5j,Maryland,04b-24027,04b-24027_52,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,HO-412,Architectural Survey File - Howard County Public Facilities & Spaces,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/6/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/8cvz-bvpv,,8cvz-bvpv,Maryland,04b-24027,04b-24027_53,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Board of Education - Minutes - Mount Hebron - 1963 part 2,Scan of Board of Education meeting minutes about Mount Hebron from 1963.,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/8i3n-sm78,,8i3n-sm78,Maryland,04b-24027,04b-24027_54,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Long Reach - Runaway Slave Ad,"Scan of a newspaper ad for a runaway slave by Dr. Arthur Pue. Ellicott Mills, December 29 (year not listed)",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/8jc4-agsb,,8jc4-agsb,Maryland,04b-24027,04b-24027_55,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Folly Quarter Middle School - Blue Ribbon Award Article - 3,"Scan of Howard County Times newspaper article titled ""Folly Quarter Middle named 2012 Maryland Blue Ribbon School"" by Sara Toth",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/8nga-65hs,,8nga-65hs,Maryland,04b-24027,04b-24027_56,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,HO-49 - Mount Hebron,"Architectural Survey File for Mount Hebron. Last updated February 7, 2013",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/8qxz-8snd,,8qxz-8snd,Maryland,04b-24027,04b-24027_57,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Board of Education - Minutes - Rockburn Elementary 1992 part 2,Board of Education meeting minutes covering the school entrance via the southern entrance to Rockburn Branch Park. 1992,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/9725-a26b,,9725-a26b,Maryland,04b-24027,04b-24027_58,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Recreation & Parks Program Totals: Summer Programs 2021,,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/15/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/9dhp-mtit,,9dhp-mtit,Maryland,04b-24027,04b-24027_59,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 04-23-2021,ACH Vendor Payments for 04-23-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,4/22/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/9j2c-dzum,,9j2c-dzum,Maryland,04b-24027,04b-24027_60,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Pointers Run Community Map,Screenshot of Google map showing the boundary of Pointers Run,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/9yhb-6v7y,,9yhb-6v7y,Maryland,04b-24027,04b-24027_61,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Oakland Mills (Thunder Hill) - History,"Screenshot of the ""About Us"" page on the Oakland Mills website.",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/9zgz-7g4d,,9zgz-7g4d,Maryland,04b-24027,04b-24027_62,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
