Title,Date,Publisher,Description,Download
"(u'Water Resources',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u""A Water Resource is a DEP primary facility type related to the Water Use Planning Program. The sub-facility types related to Water Resources that are included are:____\r\nDischarge:\r\n\r\nA Discharge subfacility type represents the return of water used at a Water Resources primary facility. The subfacility type may be a sewage treatment plant, instream discharge, spray irrigation field, groundwater recharge, on-lot septic or an unidentified facility type.\r\n\r\nGround Water Withdrawal:\r\n\r\nA Ground Water subfacility type represents the withdrawal of water used at a Water Resources primary facility. The subfacility type may be a well, spring, quarry, infiltration gallery, deep mine, surface mine or an unidentified facility type.\r\n\r\nInterconnection:\r\n\r\nAn Interconnection subfacility type represents the point of interconnection between Water Resources primary facilities. The subfacility type may be for an interconnection between two public water supply agencies or between a public water supply agency and a commercial or industrial water user.\r\n\r\nStorage:\r\n\r\nA Storage subfacility type represents the storage of water used at a Water Resources primary facility. The subfacility type represents raw or treated water storage and may be a quarry, standpipe, open off-stream reservoir, closed off-stream reservoir, instream reservoir, hydroelectric dam, natural lake, pond, silt dam, hydroelectric pumped storage or an unidentified facility type.\r\n\r\nSurface Water Withdrawal:\r\n\r\nA Surface Water subfacility type represents the withdrawal of water used at a Water Resources primary facility. The subfacility type may be an instream diversion, intake from a dam, natural lake, pond, river well, or an unidentified facility type.\r\n\r\nWater Allocation:\r\n\r\nA Water Allocation subfacility type represents a permit issued for a surface water withdrawal by a Water Resources Public Water Supply (PWS) Agency primary facility. The subfacility type (permit) may be issued for all PWS Water Resources' surface water withdrawals, ground water withdrawals except ground water wells, or interconnections used by a receiving PWS from a surface water PWS.\r\n\r\n\r\nPrimary facility kinds, 'Water Purveyor' and 'Electric Use', are removed."",)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Encroachment Locations for Oil & Gas',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Encroachment Location for Oil & Gas is a DEP primary facility type related to the Oil and Gas Program. The sub-facilities that fall under Oil and Gas Encroachment also exist under Encroachment Locations. The difference is in the DEP program that regulates the facilities.  Sub Facility types include: Bridge--- A bridge across a stream required to provide access primarily to an oil and gas location \r\nCulvert--- A culvert installed to provide access primarily to an oil and gas location',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Encroachment Locations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Encroachment Location is a DEP primary facility type related to the Water Resources Management Water Obstructions Program. There are many sub-facility types relating to Encroachment Locations, ranging from Boat Launch Ramps to Dredging to Wetland Impact.  These sub-facilities may pertain to more than one primary facility kind as listed in the table below.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Erosion & Sediment Control Facilities',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Erosion and Sediment Control Facility is a DEP primary facility type related to the Water Pollution Control program. The following sub-facility types related to Erosion and Sediment Control Facilities are included:\r\n\r\nAgricultural Activities \r\nCommercial or Industrial Development \r\nGovernment Facilities \r\nOil and Gas Development \r\nPrivate Road or Residence \r\nPublic Road Construction \r\nRecreational Activities \r\nRemediation/Restoration \r\nResidential Subdivision \r\nSewerage or Water Systems \r\nSilviculture \r\nUtility Facility and/or Transmission Line \r\n\r\nAny of the above development activities that may discharge stormwater during construction fall under the erosion and sediment control permit category.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Industrial Mineral Mining Operations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Industrial Mineral Mining Operation is a DEP primary facility type related to the Industrial Mineral Mining Program. The sub-facility types are listed below: Deep Mine Underground mining of industrial minerals, i.e., noncoal mining. Includes, but is not limited to, industrial minerals extracted from beneath the surface by means of shafts, tunnels, adits, or other mine openings. \r\nDischarge Point Discharge of water from an area as a result of industrial mining activities, i.e., noncoal mining. \r\nMineral Preparation Plant Facility at which industrial minerals (i.e., noncoal minerals) are cleaned and processed. \r\nSurface Mine Surface mining of industrial minerals (i.e., noncoal minerals) by removing material which lies above the industrial minerals. Includes, but is not limited to, strip, auger, quarry, dredging, and leaching mines.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Oil & Gas Water Pollution Control Facilities',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Oil and Gas Location is a DEP primary facility type related to the Oil & Gas Program. The sub-facility types related to Oil and Gas that are included in this layer are:_____ Land Application -- An area where drilling cuttings or waste are disposed by land application \r\nWell-- A well associated with oil and/or gas production \r\nPit -- An approved pit that is used for storage of oil and gas well fluids .  Some sub facility types are not included in this layer due to security policies.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Oil & Gas Locations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'An Oil and Gas Location is a DEP primary facility type related to the Oil & Gas Program. The sub-facility types related to Oil and Gas that are included in this layer are:_____ Land Application -- An area where drilling cuttings or waste are disposed by land application \r\nWell-- A well associated with oil and/or gas production \r\nPit -- An approved pit that is used for storage of oil and gas well fluids .  Some sub facility types are not included in this layer due to security policies.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Beneficial Land Uses',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Beneficial Land Use is a DEP primary facility type related to the Water Pollution Control Program. The sub-facility type related to Beneficial Land Use is the Parcel. A parcel refers to the land application site that is proposed to received biosolids or residential septage. Land application for biosolids and septage means beneficial use, meaning it is applied to land as a soil amendment/fertilizer.\r\nBeneficial Land Use is a DEP primary facility type related to the Water Pollution Control Program. The sub-facility type related to Beneficial Land Use is the Parcel. A parcel refers to the land application site that is proposed to received biosolids or residential septage. Land application for biosolids and septage means beneficial use, meaning it is applied to land as a soil amendment/fertilizer.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'PennDOT - Bonded Roads',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'Bonded roads bonds with bond holder information.',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/state/historic
"(u'Land Management Groups',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Boundaries for 29 PGC Land Management Groups',)",ftp://ftp.pasda.psu.edu/pub/pasda/pgc/historic
"(u'Antler Restrictions',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Boundaries for managing deer antler restrictions within Pennsylvania which protects yearling bucks from harvest, allowing them to grow.',)",undefined
"(u""Public Water Supplier's (PWS) Service Areas"",)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u""Boundaries of current public water supplier's (PWS) service areas.  This data set contains the present service area boundary of the water system and does not contain locations of surface and groundwater sources, storage facilities, transmission and distribution system lines, and interconnections with other water systems. Revisions, updates and additions are done on an as needed basis.  All boundaries should be considered approximate."",)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Pennsylvania municipality boundaries',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'Boundaries of municipalities within Pennsylvania as delineated for the PennDOT Type 10 general highway maps. Additional information comes from the Pennsylvania Bureau of Municipal Services. This layer contains all classifications of municipality including first and second class townships, boroughs, cities and the town.',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/boundary_layers/historic
"(u'Elk Management Zones',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Boundarires used to manage and regulate harvests of elk populations according to specific areas in Pennsylvania. The elk zones are managed according to the various subpopulations amoung the herds in Pennsylvania',)",ftp://ftp.pasda.psu.edu/pub/pasda/pgc/historic
"(u'Elk Management Areas',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Boundary defines the elk managment area boundary and surrounds the elk managment or hunt zones in Pennsylvania.',)",ftp://ftp.pasda.psu.edu/pub/pasda/pgc/historic
"(u'Pennsylvania Parcels (Available)',)","(u'2019',)","(u'The Pennsylvania State University',)","(u'Boundary outlines of individual properties for the State of Pennsylvania. This dataset is incomplete and county parcels will be added as available. Attributes contain PIN ID, Source, and Date of Parcels. Parcel Include: Allegheny, Butler, Centre, Chester, Crawford, Erie, Dauphin, Juniata, Lycoming, MIfflin, Philadelphia, York',)",undefined
"(u'Allegheny County - Parcels',)","(u'2019',)","(u'Allegheny County',)","(u'Boundary outlines of individual properties in Allegheny County.',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/historic
"(u'Erie County PA - Parcels',)","(u'2019',)","(u'Erie County',)","(u'Boundary outlines of individual properties in Erie County. The Parcel Dataset was developed primarily for the purposes of identifying land parcels for tax billing and tax assessment purposes.',)",ftp://ftp.pasda.psu.edu/pub/pasda/eriecounty/historic
"(u'PennDOT - Bridges',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'Bridge locations within Pennsylvania',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/state/historic
"(u'Class A Wild Trout Streams',)","(u'2019',)","(u'Pennsylvania Fish and Boat Commission',)","(u'Class A streams are streams that support a population of wild (natural reproduction) trout of sufficient size and abundance to support a long-term and rewarding sport fishery. The Commission does not stock these streams.  This GIS layer represents the sections of streams that are designated as such.',)",ftp://ftp.pasda.psu.edu/pub/pasda/pafish/historic
"(u'Class A Wild Trout Streams - points',)","(u'2019',)","(u'Pennsylvania Fish and Boat Commission',)","(u'Class A streams are streams that support a population of wild (natural reproduction) trout of sufficient size and abundance to support a long-term and rewarding sport fishery. The Commission does not stock these streams. This GIS layer respresents the points of streams that are designated as such.',)",ftp://ftp.pasda.psu.edu/pub/pasda/pafish/historic
"(u'Pennsylvania state roads administrative',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'classification of road segments - administrative and reporting purposes like the federal aid system and federal functional classification',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/state/historic
"(u'Longwall Mining Panels',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Coal mining has occurred in Pennsylvania for over a century.  A method of coal mining known as Longwall Mining has become more prevalent in recent decades.\r\nLongwall mining involves full extraction of the coal seam in the longwall panel. The longwall mining machinery cuts or shears the coal off the face of a long wall panel of coal in a single pass. The machinery will then advance forward and perform another pass along the coal face. The broken off coal is hauled to the surface using conveyor belts. As the machinery advances forward into the coal panel, the mine roof is allowed to collapse behind it. This dataset identifies the footprint of these longwall panels relative to the surface.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Digitized Mined Areas',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Coal mining has occurred in Pennsylvania for over a century. This dataset tries to identify the areas of the various coal seams in Pennsylvania that have been extracted by various underground mining techniques. This information can be used for many environmental related issues, including mine land reclamation and determination of needs for Mine Subsidence Insurance. The information in this dataset was gathered from digitizing the area of extracted coal identified on historic and modern underground mine maps. The maps to these coal mines are stored at many various public and private locations (if they still exist at all) throughout the commonwealth, they have been scanned to create a digital archive, and georeferenced to their approximate location for use in a geographic information system (GIS). The dataset is continuously updated as new maps are processed and is not considered \u201ccompleted\u201d, i.e. just because an area in Pennsylvania is not identified in this dataset as mined, does not mean the area was not mined.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Coal Pillar Location Mining',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Coal Pillar Locations are pillars of coal that must remain in place to provide support for a coal mine.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Coal Pillar Location Oil & Gas',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Coal Pillar Locations are pillars of coal that must remain in place to provide support for an oil and gas well on the surface.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Label',)","(u'Label',)","(u'Label',)","(u'Abstract Text',)",undefined
"(u'Label',)","(u'Label',)","(u'Label',)","(u'Abstract Text',)",undefined
"(u'Label',)","(u'Label',)","(u'Label',)","(u'Abstract Text',)",undefined
"(u'Label',)","(u'Label',)","(u'Label',)","(u'Abstract Text',)",undefined
"(u'Label',)","(u'Label',)","(u'Label',)","(u'Abstract Text',)",undefined
"(u'Pennsylvania county boundaries',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'County boundaries within Pennsylvania as delineated for the PennDOT Type 10 general highway map.',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/boundary_layers/historic
"(u'Area Fisheries Managers  Areas',)","(u'2019',)","(u'Pennsylvania Fish and Boat Commission',)","(u'Coverage areas of Pennsylvania Fish and Boat Commission Area Fisheries Managers (AFM).',)",ftp://ftp.pasda.psu.edu/pub/pasda/pafish/historic
"(u'Allegheny County - Municipal boundaries',)","(u'2019',)","(u'Allegheny County',)","(u'Data was created to portray the boundaries of the 130 Municipalities in Allegheny County the attribute table includes additional descriptive informations including Council of Government (COG) affiliation, School District, Congressional District, FIPS Code, County Municipal Code and County Council District.',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/historic
"(u'Allegheny County - Voting Districts',)","(u'2019',)","(u'Allegheny County',)","(u'Data was created to portray the boundaries of the Voting Districts in Allegheny County.',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/historic
"(u'Chronic Wasting Disease Management Units',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Defines the boundaries of the Chronic Wasting Disease Managment Areas (DMAs) in Pennsylvania that are governed by special rules and guidelines. Within DMAs, rehabilitation of cervids (deer, elk, and moose); the use or possession of cervid urine-based attractants in an outdoor setting; the removal of high-risk cervid parts; and the feeding of wild, free-ranging cervids are prohibited. Increased testing continues in these area to determine the distribution of the disease. Newly confirmed cases will alter the boudaries of DMAs as the Game Commission continues to manage the disease and minimize its affect on free ranging cervids.',)",undefined
"(u'Pennsylvania State Gamelands',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Defines the individual boundaries of the Pennsylvania State Game Lands for the Management of public resources.',)",ftp://ftp.pasda.psu.edu/pub/pasda/pgc/historic
"(u'Access Points',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Designated marked locations at specific locations (gates and parking lots) on state game lands that are used to provide users with identifible locations for requesting emergency assistance.',)",undefined
"(u'Duck Zones',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Duck zones are geographical units within states for which duck season dates can be set within federal frameworks but independently of other zones, providing greater flexibility in establishing duck seasons that fit different patterns of species occurrence, habitat conditions, weather, and hunter preferences in different parts of Pennsylvania.',)",undefined
"(u'Environmental Advisory Councils Service Areas',)","(u'2019',)","(u'Pennsylvania Land Trust Association',)","(u'Every Pennsylvania municipality has the option to establish an Environmental Advisory Council (EAC) that may advise the municipal government on environmental matters and undertake a variety of projects regarding the protection and use of natural resources. This layer shows Pennsylvania municipalities that have formed EACs',)",ftp://ftp.pasda.psu.edu/pub/pasda/palta/historic
"(u'Allegheny County - Building Footprints',)","(u'2019',)","(u'Allegheny County',)","(u'Footprints for all buildings and out buildings in Allegheny County.  Buildings are captured by following the edge of the roof line.  All near orthogonal corners are square.  Interim roof lines, such as dormers, are not shown. Minor structures such as carports, decks, patios, stairs, etc. which are part of the structure are not shown.  Building Footprints were updated as a result of a flyover in 2004. Buildings less than 400 square feet were not captured. Special consideration was given to garages, less than 400 square feet, and were digitized if greater than 200 square feet.',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/historic
"(u'Gameland Trails',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Formally recognized trail system managed by the Pennsylvania Game Commission or another entity through an agreement with the Pennsylvania Game Commission.',)",undefined
"(u'Game Regions',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Game Commission Regions  boundaries',)",ftp://ftp.pasda.psu.edu/pub/pasda/pgc/historic
"(u'Goose Zones',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Goose zones are for Canada goose managment in Pennsylvania.  There are three different goose zones: Southern James Bay Poluation Zone, Resident Population Zone and the Atlantic Population Zone.',)",undefined
"(u'Land Recycling Cleanup Locations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Land Recycling Cleanup Location\r\n\r\nLand Recycling Cleanup Locations (LRCL) are divided into one or more sub-facilities categorized as media: Air, Contained Release or Abandoned Container, Groundwater, Sediment, Soil, Surface Water, and Waste. Media is the environmental resource that is associated with the cleanup effort. The following primary facility kinds describe the Acts from which cleanup locations are derived:\r\n\r\nAct2 Land Recycling and Environmental Remediation Standards\r\nThe first declaration of Section 102 of the policy provides a brief description of the purpose of Act2: \r\n\r\nThe elimination of public health and environmental hazards on existing commercial and industrial land across this Commonwealth is vital to their use and reuse as sources of employment, housing, recreation, and open-space areas. The reuse of industrial land is an important component of a sound land use policy that will help prevent the needless development of prime farmland, open-space areas and natural areas and reduce public costs for installing new water, sewer, and highway infrastructure.\r\n\r\nCERCLA Comprehensive Environmental Response, Compensation, and Liability Act, also known as the Superfund\r\nThis act was passed by Congress as a federal law in December of 1980, creating a tax on chemical and petroleum industries to: \r\n\r\nIdentify and respond to sites from which releases of hazardous substances into the environment have occurred or could potentially occur \r\nEnsure they are cleaned up by responsible parties or through government funding \r\nEvaluate damages to natural resources \r\n\r\nHSCA Hazardous Sites Cleanup Act\r\n\r\n[This Act] provides the Department of Environmental Protection (DEP) with the funding and the authority to conduct cleanup actions at sites where hazardous substances have been released. HSCA also provides DEP with enforcement authorities to force the persons who are responsible for releases of hazardous substances to conduct cleanup actions or to repay public funds spent on a DEP funded cleanup action. HSCA funds are also used to pay the state share of costs of cleanup actions at Pennsylvania sites in the Federal Superfund program. Under the provisions of HSCA, most HSCA sites involve bankrupt facility owners, abandoned facilities, and inappropriate disposal of hazardous substances. As a general rule, HSCA sites do not include active facilities with financially viable owners.\r\n\r\nOther\r\nThe Other primary facility kind includes a mixture of various different cleanup sites, no further action sites, and potential sites. This is optional data that the regional offices are not required to maintain.\r\n\r\nSTSP Storage Tank Spill and Prevention Act\r\nReleases and/or ruptures from improperly installed or faulty storage tanks contaminate the Commonwealth\'s land and water resources. This act was passed to prevent such contamination through ""improved safeguards on the installation and construction of storage tanks.""',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Gameland Roads',)","(u'2019',)","(u'Pennsylvania Game Commission',)","(u'Line feature to show roads on Game Lands. These include Public, Private and Administrative roads.',)",ftp://ftp.pasda.psu.edu/pub/pasda/pgc/historic
"(u'PennDOT - Facilities Locations',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'location of Pennsylvania Department of Transportation owned facilities. Included: maintenance districts, stockpiles, photo exam centers, welcome centers',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/state/historic
"(u'PennDOT - Drain Pipes',)","(u'2019',)","(u'Pennsylvania Department of Transportation',)","(u'Locations and attributes of drainage pipe structures that intersect with a state route',)",ftp://ftp.pasda.psu.edu/pub/pasda/padot/state/historic
"(u'ICE-IS Water Sampling Stations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Locations at which surface water sampling has been done in order to determine if surface waters are attaining or non-attaining designated uses. Station records are created by the DEP Biologists when they do surface water sampling.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
