SYSTEM IDENTIFIER,Coordinates,Main Title,Display Date,Date Start,Date End
UMN_ALMA:9928907950001701,"W0003000 E0002000 N0514100 N0511700; (W 0°30'00""--E 0°20'00""/N 51°41'00""--N 51°17'00"")",Pigot & Co.'s new plan of London : taken from the best authorities with the geographical bearings from the Dome of St. Pauls (and formed into divisions by means of circular lines each division being referred to in their list of streets & public buildings in the metropolis) the whole forming the most complete guide to London & its vicinity yet published,1823?,1823,1823
UMN_ALMA:9929848570001701,"W0845300 W0664400 N0473000 N0375500; (W 84°53'00""--W 66°44'00""/N 47°30'00""--N 37°55'00"").",Map of the eastern and middle states &c. and also the British Provinces,1857-60,1857,1857
UMN_ALMA:9929823220001701,"W0064200 E0020500 N0555500 N0494000; (W 6°42'00""--E 2°05'00""/N 55°55'00""--N 49°40'00"")",A map of England & Wales with part of Scotland : on which are laid down the whole of the roads described by Cary's New Itinerary 1803,1803,1803,1803
UMN_ALMA:9929824590001701,"W0271200 E0422700 N0712200 N0350000; (W 27°12'00""--E 42°27'00""/N 71°22'00""--N 35°00'00"")",Ravenstein-Liebenow's Special-Rad- und Automobilkarte von Mittel-Europa,between 1900 and 1909?,190u,190u
UMN_ALMA:9929848040001701,"E0161054 E0163439 N0481921 N0480704; (E 16°10'54""--E 16°34'39""/N 48°19'21""--N 48°07'04"")",Plan of Vienna : Griebens guide books,1923,1923,1923
UMN_ALMA:9930194240001701,"W0971400 W0892900 N0492300 N0432900; (W 97ʻ14'00""--W 89ʻ29'00""/N 49ʻ23'00""--N 43ʻ29'00"")",Railroad Commissioners' map of Minnesota,1899,1899,1899
UMN_ALMA:9929839290001701,E0720000 E0860000 N0260000 N0080000; (E 72°--E 86°/N 26°--N 8°),Map of the peninsula of India,1855,1855,1855
UMN_ALMA:9931167250001701,W0813000 W0780000 S0040000 S0071000; (W 81⁰30ʹ--W 78⁰/S 4⁰--S 7⁰10ʹ).,"Vias de comunicacion entre Paita, Eten y la parte naveable del río Alto Marañón ",1900?,1900,1900
UMN_ALMA:9935454040001701,W1800000 E1800000 N0850000 S0650000; (W 180⁰--E 180⁰/N 85⁰--S 65⁰).,A Map of the world (on Mercator projection) having special reference to forest regions and the geographical disribution of timber trees,1916,1916,1916
UMN_ALMA:9931944870001701,"W0971400 W0892900 N0492300 N0432900; (W 97ʻ14'00""--W 89ʻ29'00""/N 49ʻ23'00""--N 43ʻ29'00"")","Railroad commissioners' map of Minnesota, 1919 ",1919,1919,1919
UMN_ALMA:9931332620001701,"W0273100 E0423800 N0712300 N0343500; (W 27°31'00""--E 42°38'00""/N 71°23'00""--N 34°35'00"")",The Daily Telegraph gazetteer war map,1914?,1914,1914
UMN_ALMA:9928885220001701,"W0875600 W0873100 N0420100 N0413800; (W 87°56'00""--W 87°31'00""/N 42°01'00""--N 41°38'00"").",Chicago's gangland,1926?,1926,1926
UMN_ALMA:9931062790001701,W0300000 E0700000 N0700000 N0300000; (W 30⁰--E 70⁰/N 70⁰--N 30⁰).,Carte ethnographique de l'Europe,1918,1918,1918
UMN_ALMA:9930459290001701,"W0950900 W0741900 N0565100 N0414000; (W 95°09'00""--W 74°19'00""/N 56°51'00""--N 41°40'00"")","Map of North Western Ontario : shewing [sic] the districts of Kenora, Rainy River, Thunder Bay, and part of Algoma ",1913,1913,1913
UMN_ALMA:9931907750001701,W0970000 W0910000 N0490000 N0430000; (W 97°--W 91°/N 49°--N 43°).,Cram's superior map of Minnesota,1917,1917,1917
UMN_ALMA:9931347220001701,"W0055800 E0083400 N0520000 N0420500; (W 5°58'00""--E 8°34'00""/N 52°00'00""--N 42°05'00"")",Map of the western battle front from Ostende to Verdun,1918,1918,1918
UMN_ALMA:9935789700001701,W1120830 W1120530 N0395800 N0395400; (W 112°08ʹ30ʺ--W 112°05ʹ30ʺ/N 39°58ʹ00ʺ--N 39°54ʹ00ʺ).,Utah : Tintic mining map,1898,1898,1898
UMN_ALMA:9929839580001701,E0660000 E0730000 N0300000 N0230000; (E 66°--E 73°/N 30°--N 23°).,Map of Scinde,1850,1850,1850
UMN_ALMA:9936568310001701,W0820000 W0590000 N0120000 S0060000; (W 82°--W 59°/N 12°--S 6°).,"South America : Sheet I, Ecuador, Granada, Venezuela, and parts of Brazil and Guayana",Jany 15th 1842,1853,1853
UMN_ALMA:9934958200001701,"E0680900 E0890800 N0360100 N0195400; (E 68°09'00""--E 89°08'00""/N 36°01'00""--N 19°54'00"").",Carte De L'Inde en deçà du Gange comprenant l'Indoustan &c : Suivant les Cartes les plus recentes : Conciliees avec les Relations et les Détails Géographiques inserés dans l'Histoire Générale des Voyages,1780,1780,1780
UMN_ALMA:9933551580001701,W0890400 W0882400 N0460500 N0452200; (W 89□04ʹ--W 88□24ʹ/N 46□05ʹ--N 45□22ʹ).,"County map series (topographic), [Wisconsin]",between 1900 and 1999,1900,9999
UMN_ALMA:9934946340001701,E0560000 E0720000 N0390000 N0230000; (E 56°--E 72°/N 39°--N 23°).,"Bokhara, Cabool, Beloochistan &c ",1838,1838,1838
UMN_ALMA:9932263600001701,E0180000 E0213000 N0433000 N0393000; (E 18°00ʹ--E 21°30ʹ/N 43°30ʹ--N 39°30ʹ).,Albania,between 1910 and 1919?,191u,191u
UMN_ALMA:9935788070001701,W1200000 W1140000 N0420000 N0350000; (W 120°--W 114°/N 42°--N 35°).,State of Nevada : [base map],1922,1922,1922
UMN_ALMA:9938657650001701,E1800000 W1800000 N0900000 N0550000; (E 180°--W 180°/N 90°--N 55°).,Bathymetric map of the Arctic Basin,1927,1927,1927
UMN_ALMA:9937419930001701,"E0023555 E0030626 N0505726 N0504229; (E 2°35'55""--E 3°06'26""/N 50°57'26""--N 50°42'29"")",Ipres : ville forte des Païs Bas ...,1690?-1709?,169u,170u
UMN_ALMA:9934155840001701,E0950000 E1350000 N0450000 N0200000; (E 95°--E 135°/N 45°--N 20°).,"China and the tributary kingdom of Corea [sic] : for the eludication of Lavoisne's genealogical, historical chronological & geographical atlas ",1821,1821,1821
UMN_ALMA:9931066730001701,E0890000 E1050000 N0270000 N0080000; (E 89°--E 105°/N 27°--N 8°).,Birman Empire,1817?,1817,1817
UMN_ALMA:9936569190001701,"E0250100 E1461900 N0770300 S0094800; (E 25°01'00""--E 146°19'00""/N 77°03'00""--S 9°48'00"").",Asia according to the best authorities,1814,1814,1814
UMN_ALMA:9934112790001701,W0250000 E0600000 N0350000 S0350000; (W 25°--E 60°/N 35°--S 35°).,"Africa : drawn from the best authorities for the illustration of Lavoisne's genealogical, historical chronological & geographical atlas, 1813 ",1813,1813,1813
UMN_ALMA:9935442570001701,"W0931944 W0931137 N0450304 N0445324; (W 93°19'44""--W 93°11'37""/N 45°03'04""--N 44°53'24"").",A guide for your convenience in planning a visit to Minneapolis,1929,1929,1929
UMN_ALMA:9931698640001701,"E0603100 E0805100 N0382900 N0250500; (E 60°31'00""--E 80°51'00""/N 38°29'00""--N 25°05'00"").","Map of Afghaunistan, Caubul, the Punjab, Rajpootana, and the River Indus ",1842,1842,1842
UMN_ALMA:9938270230001701,"E0735200 E0765500 N0322900 N0293200; (E 73°52'00""--E 76°55'00""/N 32°29'00""--N 29°32'00"")","Map of the Panjab, Kashmir, Iskardu & Ladhak : comprising the dominions of Ranjeet Singh ",1847,1849,1849
UMN_ALMA:9935236090001701,W1400000 W1290000 N0610000 N0540000; (W 124°--W 116°/N 61°--N 54°).,Tongass National Forest : Alaska,1910,1910,1910
UMN_ALMA:9931041180001701,"E0921000 E1100200 N0283200 N0003600; (E 92°10'00""--E 110°02'00""/N 28°32'00""--N 0°36'00"")","Burmah, Siam, Anam & c ",1858?,1858,1858
UMN_ALMA:9937042440001701,"W0003037 E0002002 N0514130 N0511712; (W 0°30'37""--E 0°20'02""/N 51°41'30""--N 51°17'12"").",Mogg's London and its environs : drawn from the latest surveys,1845?,1845,1845
UMN_ALMA:9938259630001701,W0200000 E0600000 N0400000 S0350000; (W 20°--E 60°/N 40°--S 35°).,Vegetation map of Africa,1923,1923,1923
UMN_ALMA:9935012670001701,"E0670000 E0920000 N0300000 N0060000; (E 67°00'00""--E 92°00'00""/N 30°00'00""--N 6°00'00"")",India in eleven parts : with an index map,1831-1835,1831,1835
UMN_ALMA:9934927990001701,"E0630000 E0950000 N0300000 N0050000; (E 63°00'00""--E 95°00'00""/N 30°00'00""--N 5°00'00"")",Hindoostan or modern India,1807,1807,1807
UMN_ALMA:9932264250001701,"E0125200 E0145800 N0465100 N0444200; (E 12°52'00""--E 14°58'00""/N 46°51'00""--N 44°42'00"").",Block diagram showing terrain of the Trieste-Isonzo region,1918,1918,1918
UMN_ALMA:9934739590001701,E1600000 W0200000 N0800000 S0900000; (E 160°--W 20°/N 80°--S 90°).,Western Hemisphere : map of discovery,1928,1928,1928
UMN_ALMA:9934827250001701,E0090400 E0091900 N0485100 N0484200; (E 09⁰04ʹ--E 09⁰19ʹ/N 48⁰51ʹ--N 48⁰42ʹ).,Stuttgart mit umgebung,1922,1922,1922
UMN_ALMA:9933314120001701,"E0142200 E0315900 N0465400 N0353200; (E 14°22'00""--E 31°59'00""/N 46°54'00""--N 35°32'00"").",Block diagram showing terrain of the Balkan Peninsula,1918,1918,1918
UMN_ALMA:9931548130001701,"E0055100 E0150200 N0550500 N0471600; (E 5°51'00""--E 15°02'00""/N 55°05'00""--N 47°16'00"")",Ducatvs Westphaliae nova repraesentatio geographica,1757,1757,1757
UMN_ALMA:9931545340001701,"W0003037 E0002002 N0514130 N0511712; (W 0°30'37""--E 0°20'02""/N 51°41'30""--N 51°17'12"").","Davies's new map of the British metropolis : the boundaries of the boroughs, county court districts, railways, and modern improvements ",1852,1852,1852
UMN_ALMA:9930999430001701,E0000000 E0320000 N0700000 N0560000; (E 0⁰--E 32⁰/N 70⁰--N 56⁰).,The Rand-McNally new library atlas map of Sweden and Norway,1912,1912,1912
UMN_ALMA:9939501080001701,"E0245100 E0750100 N0421300 N0101100; (E 24°51'00""--E 75°01'00""/N 42°13'00""--N 10°11'00"")",Carte de l'empire de Perse,1779,1779,1779
UMN_ALMA:9934939630001701,"E0792000 E0802000 N0135000 N0115000; (E 79°20'00""--E 80°20'00""/N 13°50'00""--N 11°50'00"")","A new map of the Jaghir lands on the coast of Coromandel, or The territory belonging to the East India Company round Madras : from an actual survey in the possession of the Company",1794,1794,1794
UMN_ALMA:9934959040001701,"E0660000 E0940000 N0360000 S0000010; (E 66°00'00""--E 94°00'00""/N 36°00'00""--S 0°00'10"")",Hindoostan : with the Island of Ceylon Maldivas & c &c,October 1st 1801,1801,1801
UMN_ALMA:9931291600001701,E0213000 E0253000 N0450000 N0415000; (E 21⁰30ʹ--E 25⁰30ʹ/N 45⁰00ʹ--N 41⁰50ʹ).,Part of Turkey in Europe,1876,1876,1876
UMN_ALMA:9931291600001701,E0213000 E0253000 N0450000 N0415000; (E 21⁰30ʹ--E 25⁰30ʹ/N 45⁰00ʹ--N 41⁰50ʹ).,Part of Turkey in Europe,1876,1876,1876
UMN_ALMA:9928730790001701,"W0710700 W0705600 N0422300 N0421900; (W 71°07'00""--W 70°56'00""/N 42°23'00""--N 42°19'00"").",Shawmut 1630--Boston 1930 : Three hundred years of progress. Boston ancient and modern in picture and story,1928,1928,1928
UMN_ALMA:9930451240001701,"W0003000 E0002000 N0514100 N0511700; (W 0°30'00""--E 0°20'00""/N 51°41'00""--N 51°17'00"")","A new plan of London, XXIX miles in circumference",Jany 2d 1797,1797,1797
UMN_ALMA:9928979760001701,"E0343000 E0353000 N0333000 N0313000; (E 34°30'00""--E 35°30'00""/N 33°30'00""--N 31°30'00"").",Map of Western Palestine : from surveys conducted for the committee of the Palestine Exploration Fund,1881,1881,1881
UMN_ALMA:9946455510001701,W0971500 W0892300 N0492300 N0433000; (W 97°15'--W 89°30' /N 49°23'--N 43°30'),Assessed value of lands per acre as equated by the Minnesota Tax Commission,1926,1926,1926
UMN_ALMA:9947195160001701,W1740000 W1100000 N0660000 N0503000; (W 174°00--ʹ--W 110°00/ʹN66°00--ʹ--N 50°30).,Alaska and the routes of the Canadian Pacific Railway Company's British Columbia coast steamers,1917,1917,1917
UMN_ALMA:9939946490001701,"W0934500 W0915000 N0474800 N0470800; (W 93°45'00""--W 91°50'00""/N 47°48'00""--N 47°08'00"").","Map of the Mesabi Range, Minnesota, showing the active mines and other holdings of the Great Northern Iron Ore Properties, and other miscellaneous mines and reserves ",1923,1923,1923
UMN_ALMA:9945018290001701,"W0931228 W0930015 N0445931 N0445314; (W 93°12'28""--W 93°00'15""/N 44°59'31""--N 44°53'14"").","Curtice's standard guide map of the city of St. Paul : prepared especially for R.L. Polk Cos. city directory, 1891 ",1891,1891,1891
UMN_ALMA:9940099260001701,E0143100 E0251300 N0495800 N0440000; (E 14⁰31ʹ--E 25⁰13ʹ/N 49⁰58ʹ--N 44⁰00ʹ).,"Royaume de Hongrie, Principauté de Transilvanie, Sclavonie, Croatie : et partie de la Principauté de Valaquie, de la Bosnie, de la Servie et de la Bulgarie ",between 1770 and 1779?,177u,177u
UMN_ALMA:9943446260001701,"W1245000 W1165500 N0490000 N0453200; (W 124°50'00""--W 116°55'00""/N 49°00'00""--N 45°32'00"")",Map of state of Washington,1905,1905,1905
UMN_ALMA:9944490280001701,"W0925300 W0820100 N0474800 N0411300; (W 92°53'00""--W 82°01'00""/N 47°48'00""--N 41°13'00"").","Post route map of the states of Michigan and Wisconsin : with adjacent parts of Ohio, Indiana, Illinois, Iowa, and Minnesota ",1871,1871,1871
UMN_ALMA:9943510790001701,"E0082200 E0090900 N0463700 N0454900; (E 8°22'00""--E 9°09'00""/N 46°37'00""--N 45°49'00"")",Übersichtliche Darstellung der im Kanton Tessin ausgeführten Aufforstungs- und Verbauungsarbeiten : beilage zum vortrag des kantons forstinspektors MERZ gehalten an der Jahresversammlung der schweiz. naturforschenden Gesellschaft am 3 Sept. 1903 in Locarno über die Forstlichen Verhältnisse des Kantons Tessin,1903,1903,1903
UMN_ALMA:9947829400001701,"W0971400 W0892900 N0492300 N0432900; (W 97ʻ14'00""--W 89ʻ29'00""/N 49ʻ23'00""--N 43ʻ29'00"")","Minnesota trunk highways improvement progress map, February 1, 1925 ",1925,1925,1925
UMN_ALMA:9943456940001701,W1160000 W1040000 N0490000 N0440000; (W 116°--W 104°/N 49°--N 44°).,Montana,"1910, 1909, 1910",1909,1910
UMN_ALMA:9941250610001701,E0282000 E0303000 N0474000 N0462000; (E 28°20ʻ--E 30°30ʻ/N 47°40ʻ--N 46°20ʻ).,Tirol und Vorarlberg,between 1920 and 1929?,192u,192u
UMN_ALMA:9941267670001701,"W1171400 W1110200 N0490000 N0415900; (W 117ʻ14'00""--W 111ʻ02'00""/N 49ʻ00'00""--N 41ʻ59'00"")",Location of large timber holdings in north central Idaho,1914?,1914,1914
UMN_ALMA:9946815100001701,"W1043128 W1043029 N0421310 N0421230; (W 104°31'28""--W 104°30'29""/N 42°13'10""--N 42°12'30"")",Plot of Fort Laramie,1854?,1854,1854
UMN_ALMA:9948187350001701,W0961800 W0950800 N0464700 N0460300; (W 96⁰18ʹ--W 95⁰08ʹ/N 46⁰47ʹ--N 46⁰03ʹ).,"Road map of Ottertail County, Minnesota ",between 1920 and 1929?,192u,192u
UMN_ALMA:9946821630001701,W1420000 W0500000 N0680000 N0420000; (W 142°--W 50°/N 68°--N 42°).,Geological map of the dominion of Canada,between 1910 and 1919?,191u,191u
UMN_ALMA:9948182900001701,0944800 0935400 0442900 0440700; (W 94⁰48ʹ--W 93⁰54ʹ/N 44⁰29ʹ--N 44⁰04ʹ).,"Standard map of Nicollet County, Minnesota ",1913,1913,1913
UMN_ALMA:9943105080001701,W0930000 W0863000 N0473000 N0414500; (W 93⁰00ʹ--W 86⁰30ʹ/N 47⁰30ʹ--N 41⁰45ʹ).,"Wisconsin : indexed pocket map, tourists' and shippers' guide : main highways, railroads and electric lines, counties, cities, towns, villages, post offices, lakes, rivers, etc. ",1923,1923,1923
UMN_ALMA:9942870790001701,"W1090300 W1030000 N0370000 N0311900; (W 109°03'00""--W 103°00'00""/N 37°00'00""--N 31°19'00"")",National Highways map of the State of New Jersey : showing six hundred miles of national highways,"1914, В1913",1913,1914
UMN_ALMA:9946601470001701,W1410000 W1110000 N0610000 N0480000; (W 141⁰--W 111⁰/N 61⁰--N 48⁰).,Sketch map of the province of British Columbia,1899,1899,1899
UMN_ALMA:9941245980001701,"W1242800 W1140700 N0420000 N0323100; (W 124°28'00""--W 114°07'00""/N 42°00'00""--N 32°31'00"")",Location of large timber holdings in the redwood belt in California : Report of the Commissioner of Corporations on the Lumber Industry,1914?,1914,1914
UMN_ALMA:9946823030001701,"W1043128 W1043029 N0421310 N0421230; (W 104°31'28""--W 104°30'29""/N 42°13'10""--N 42°12'30"").",Description of post,1869?,1869,1869
UMN_ALMA:9943448070001701,"E1442400 W0642100 N0713600 S0144500; (E 144°24'00""--W 64°21'00""/N 71°36'00""--S 14°45'00"")","A map of South America, Central America and the West Indies, on Mercator's projection, having special reference to the principal forest regions and the chief timber trees ",1920,1920,1920
UMN_ALMA:9945200700001701,W0971500 W0893000 N0500000 N0433000; (W 97°15'--W 89°30'/N 50°00'--N 43° 30'),"Railroad commissioners' map of Minnesota : corrected to Feb. 1, 1913 ","1913, 1909",1909,1913
UMN_ALMA:9943484420001701,W0200000 E0550000 N0400000 S0350000; (W 20°--E 55°/N 40°--S 35°),Africa,1918?,1918,1918
UMN_ALMA:9942036520001701,W0794900 W0794900 N0412400 N0412400; (W 79°49'--W 79°49'/N 41°24'--N 41°24'),A Plan of the town of Franklin with the out lots,1795,1790,1800
UMN_ALMA:9942809170001701,"W0952300 W0923400 N0471500 N0445700; (W 95°23'00""--W 92°34'00""/N 47°15'00""--N 44°57'00"").",Map of the Mississippi River : from Lake Itasca to the Falls of Saint Anthony,1881,1881,1881
UMN_ALMA:9942809170001701,"W0952300 W0923400 N0471500 N0445700; (W 95°23'00""--W 92°34'00""/N 47°15'00""--N 44°57'00"").",Map of the Mississippi River : from Lake Itasca to the Falls of Saint Anthony,1881,1881,1881
UMN_ALMA:9944902010001701,"W0020500 W0004400 N0543300 0535800; (W 2°05'00""--W °44'00""/N 54°33'00""--N 53°58'00"").",The north riding of Yorkshire,1695-1772,1695,1772
UMN_ALMA:9939539280001701,"E0603100 E0745300 N0382900 N0292200; (E 60°31'00""--E 74°53'00""/N 38°29'00""--N 29°22'00"").",Afghanistan : with additions to railways up to March 1892,1892,1892,1892
UMN_ALMA:9940806900001701,"W0954600 W0631600 N0490000 N0284000; (W 95°46'00""-W 63°16'00""/N 49°00'00""-N 28°40'00"")",United States of America : exhibiting the seat of war on the Canadian Frontier from 1812 to 1815,1816,1816,1816
UMN_ALMA:9948347380001701,"E0551800 E0843500 N0054800 S0250000; (E 55°18'00""--E 84°35'00""/N 5°48'00""--S 25°00'00"")",Pars Globi terrestris,1778,1778,1778
UMN_ALMA:9939886740001701,W0931549 W0931549 N0445848 N0445848; (W 93⁰15ʹ49ʺ--W 93⁰15ʹ49ʺ/N 44⁰58ʹ48ʺ--N 44⁰58ʹ48ʺ).,"Davison's atlas map of Minneapolis, Hennepin Co., Minn., 1888",1887,1887,1887
UMN_ALMA:9942870020001701,"W0794500 W0714700 N0450000 N0402800; (W 79°45'00""--W 71°47'00""/N 45°00'00""--N 40°28'00"")",Map of the Adirondack wilderness,1890,1890,1890
UMN_ALMA:9946948520001701,"W0263500 E0603300 N0375700 S0373200; (W 26°35'00""--E 60°33'00""/N 37°57'00""--S 37°32'00"").",Political map of Africa,1904,1904,1904
UMN_ALMA:9946353950001701,E0195700 E0281200 N0595600 N0535900; (E 19°57ʹ--E 28°12ʹ/N 59°56ʹ--N 53°59ʹ).,"Generalkarte des Baltenlandes : (Estland, Kurland, Livland) ",between 1916 and 1930,1916,1930
UMN_ALMA:9939523930001701,W0281000 W0265500 N0391000 N0383200; (W 28°10ʻ--W 26°55ʻ/N 39°10ʻ--N 38°32ʻ).,"Terceira and Graciosa, Azores ",1873,1873,1873
UMN_ALMA:9947315280001701,W0865000 W0822000 N0455000 N0414000; (W 86°50ʹ--W 82°20ʹ/N 45°50ʹ--N 41°40ʹ).,Michigan,1855,1855,1855
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
UMN_ALMA:9944463530001701,"E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")||E0103500 E0241000 N0690300 N0550700; (E 10°35'00""-E 24°10'00""/N 69°03'00""-N 55°07'00"")",Kungl. Automobil Klubbens turistkarta öfver Sverige,1925,1925,1925
