Title,Spatial Coverage,Alternative Title,Description,Language,Creator,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,License,Access Rights,File Size,Bounding Box
Education Facilities [Alabama],Alabama,HOTOSM United States (Alabama) Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,education|education facilities - schools|geodata,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_education_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_education_facilities_points_shp.zip,62ed422d-9fb5-42c3-8e25-7ec31178595b,https://data.humdata.org/dataset/hotosm_usa_alabama_education_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Health Facilities [Arizona],Arizona,HOTOSM United States (Arizona) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_health_facilities_points_shp.zip,02b6f62d-3be6-4919-b857-ed9cba90702c,https://data.humdata.org/dataset/hotosm_usa_arizona_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Education Facilities [Arizona],Arizona,HOTOSM United States (Arizona) Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,education|education facilities - schools|geodata,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_education_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_education_facilities_points_shp.zip,f5a7f861-020d-4c7d-9251-940c1611f853,https://data.humdata.org/dataset/hotosm_usa_arizona_education_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Sea Ports [Arizona],Arizona,HOTOSM United States (Arizona) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_sea_ports_points_shp.zip,b237e736-e8a0-47b9-8d48-f563da6d2b4c,https://data.humdata.org/dataset/hotosm_usa_arizona_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Financial Services [Arizona],Arizona,HOTOSM United States (Arizona) Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,financial institutions|geodata|services,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_financial_services,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_financial_services_points_shp.zip,6b03c90f-c21f-498a-8f6b-81d6c66f9997,https://data.humdata.org/dataset/hotosm_usa_arizona_financial_services,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Railways [Arizona],Arizona,HOTOSM United States (Arizona) Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:railway IN ('rail','station')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|railways|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_railways,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_railways_lines_shp.zip,af718c2a-3291-4f3b-b3ac-3fbfb6c0b03d,https://data.humdata.org/dataset/hotosm_usa_arizona_railways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Populated Places [Arizona],Arizona,HOTOSM United States (Arizona) Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:place IN ('isolated_dwelling','town','village','hamlet','city')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|populated places - settlements,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_populated_places,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_populated_places_points_shp.zip,58e9fcef-c769-453d-a8ec-ec3dfaf02efb,https://data.humdata.org/dataset/hotosm_usa_arizona_populated_places,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Airports [Arizona],Arizona,HOTOSM United States (Arizona) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_airports_points_shp.zip,544e37ae-2bea-4cac-b268-c9cbf6138232,https://data.humdata.org/dataset/hotosm_usa_arizona_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Points of Interest [Arizona],Arizona,HOTOSM United States (Arizona) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_points_of_interest_points_shp.zip,a59aabe3-80b4-4000-9930-ddbac5a18e46,https://data.humdata.org/dataset/hotosm_usa_arizona_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Waterways [Arizona],Arizona,HOTOSM United States (Arizona) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_waterways_lines_shp.zip,696cb070-289c-4d98-848e-c0a6d32a9165,https://data.humdata.org/dataset/hotosm_usa_arizona_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Roads [Arizona],Arizona,HOTOSM United States (Arizona) Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:highway IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|roads|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_roads,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_roads_lines_shp.zip,9dcef4ff-e806-4dee-b12c-0e9022cf1141,https://data.humdata.org/dataset/hotosm_usa_arizona_roads,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Buildings [Arizona],Arizona,HOTOSM United States (Arizona) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arizona_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/3063d550-b3ba-4f9e-8513-9b1319fa03f4/hotosm_usa_arizona_buildings_polygons_shp.zip,d3594d2c-adeb-419c-92b1-c6f235a29c8b,https://data.humdata.org/dataset/hotosm_usa_arizona_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-114.8183584,31.3322135,-109.045131,37.00426"
Airports [Arkansas],Arkansas,HOTOSM United States (Arkansas) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arkansas_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/66eee2f8-16f3-4661-96f8-a785e36b783c/hotosm_usa_arkansas_airports_points_shp.zip,f395331e-42ae-48c5-b495-c1be846b5dc1,https://data.humdata.org/dataset/hotosm_usa_arkansas_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-94.6178753,33.00407,-89.644395,36.4996"
Health Facilities [Arkansas],Arkansas,HOTOSM United States (Arkansas) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arkansas_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/66eee2f8-16f3-4661-96f8-a785e36b783c/hotosm_usa_arkansas_health_facilities_points_shp.zip,2cbd0eb3-bf90-4840-81f6-276c110861d7,https://data.humdata.org/dataset/hotosm_usa_arkansas_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-94.6178753,33.00407,-89.644395,36.4996"
Education Facilities [Arkansas],Arkansas,HOTOSM United States (Arkansas) Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,education|education facilities - schools|geodata,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_arkansas_education_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/66eee2f8-16f3-4661-96f8-a785e36b783c/hotosm_usa_arkansas_education_facilities_points_shp.zip,10b8d030-cd81-4d81-a515-081bd449f7a7,https://data.humdata.org/dataset/hotosm_usa_arkansas_education_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-94.6178753,33.00407,-89.644395,36.4996"
