Title,Alternative Title,Description,Language,Creator,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Update Frequency,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,License,Access Rights,Suppressed,Child Record,File Size
Satellite detected water extent as of 6 July 2020 over Province 1 and 2 of Nepal,Satellite detected water extent as of 6 July 2020 over Province 1 and 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 1 and 2 of Nepal as observed from a Sentinel-1 image acquired on 6 July 2020. Within the analyzed area of about 2,700 km2, a total of a bout 76  km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from Sentinel-1 imagery acquired on 6 July 2020 may seriously underestimate presence of standing flood water in built up areas due to backscattering properties",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 09, 2020-July 09, 2020",2020-2020,Never,Nepal,"80.0585,30.4474,88.2015,26.348",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-6-july-2020-over-province-1-and-2-of-nepal,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/NP/FL20200708NPL/FL20200708NPL_SHP.zip,1571f594-74eb-4aed-975e-c268fd06de73,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-6-july-2020-over-province-1-and-2-of-nepal,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Satellite detected water extent as of 18 July 2020 over Mymensingh, Rajshahi and Rangpur Divisions, Bangladesh","Satellite detected water extent as of 18 July 2020 over Mymensingh, Rajshahi and Rangpur Divisions, Bangladesh","UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Mymensingh, Rajshahi and Rangpur Division of Bangladesh as observed from a TerraSAR-X image acquired on 18 July 2020. Within the analyzed area of about 9,000 km2, a total of about 2,860 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please sendground feedback to UNITAR - UNOSAT. Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 20, 2020-July 20, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-mymensingh-rajshahi-and-rangpur-divisions-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,28153112-6435-4ab3-aeeb-f84f55cb6243,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-mymensingh-rajshahi-and-rangpur-divisions-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 19 July 2020 in NE Bangladesh,Satellite detected water extent as of 19 July 2020 in NE Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Bangladesh as observed from a TanDEM-X image acquired on 19 July 2020 due to the current monsoon rains. Within the analyzed area of about 14,000 km2, a total of about 6,800 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 20, 2020-July 20, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-in-ne-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,5744deb1-b3ca-42cd-b23c-f96d1eee27bc,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-in-ne-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected waters in Ivano-Frankivska and Ternopilska Oblast of Ukraine as of 24 June 2020,Satellite detected waters in Ivano-Frankivska and Ternopilska Oblast of Ukraine as of 24 June 2020,"UNOSAT code: FL20200626UKR  This map illustrates satellite-detected surface waters in Ivano-Frankivska  and Ternopilska Oblastof Ukraine as observed from a  Sentinel-1 image acquired on 24 June 2020. Within the ana lyzed area  of about 642 km2, a  total of a bout 35 km2 of lands appear to be flooded.
This is a  preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT .",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 08, 2020-July 08, 2020",2020-2020,Never,Ukraine,"22.1371,52.3794,40.2205,44.3821",Vector data,Shapefile,https://data.humdata.org/dataset/waters-in-ivano-frankivska-and-ternopilska-oblast-of-ukraine-as-of-24-june-2020,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/UA/FL20200626UKR/FL20200626UKR_SHP.zip,901435d1-a6d7-4856-a925-046de9098685,https://data.humdata.org/dataset/waters-in-ivano-frankivska-and-ternopilska-oblast-of-ukraine-as-of-24-june-2020,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Satellite detected waters in Khulna division, Bangladesh as of 31 May 2020","Satellite detected waters in Khulna division, Bangladesh as of 31 May 2020","UNOSAT code: TC20200518BGD  This map illustrates satellite-detected surface waters in Bagerhat, Jessore, Khulna, Narail, and Satkhira district of Khulna division, Bangladesh as observed from a Sentinel-1 image acquired on 31 May 2020. Within the analyzed area of about 8,320 km2, a total of about 462  km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"June 02, 2020-June 02, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-31-may-2020,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/TC20200518BGD/TC20200518BGD_SHP.zip,7944fff0-fc78-4563-a1b8-0f826e937bf3,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-31-may-2020,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Satellite detected waters in Khulna division, Bangladesh","Satellite detected waters in Khulna division, Bangladesh","UNOSAT code: TC20200518BGD  This map illustrates satellite-detected surface waters in Bagerhat, Jessore, Khulna, Narail, and Satkhira district of Khulna division, Bangladesh as observed from a Sentinel-1 image acquired on 25 May 2020. Within the analyzed area of about 8,320 km2, a total of about 1,000 km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"May 26, 2020-May 26, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-25-may-2020,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/TC20200518BGD/TC20200518BGD_SHP.zip,fe4b6ab5-1705-43f5-8cd9-8143a00b709f,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-25-may-2020,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Damage Assessment in Maewo Island, Penama Province, Vanuatu","Damage Assessment in Maewo Island, Penama Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Meawo Island, Penama Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 21 and 27 April 2020 as post event images, Within the island boundary, UNITAR-UNOSAT identified in the cloud free zones about 20 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 2% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 28, 2020-April 28, 2020",2020-2020,Never,Vanuatu,"166.5416,-13.0717,170.2383,-20.2524",Vector data,Shapefile,https://data.humdata.org/dataset/damage-assessment-in-maewo-island-penama-province-vanuatu,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/VU/TC20200403VUT/TC20200403VUT_SHP.zip,bbaad2b7-43c0-40dd-8916-567c10d00ca3,https://data.humdata.org/dataset/damage-assessment-in-maewo-island-penama-province-vanuatu,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Damage Assessment in West Santo and South Santo Municipality, Sanma Province, Vanuatu","Damage Assessment in West Santo and South Santo Municipality, Sanma Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in West Santo and South Santo Municipality, Sanma Province, Vanuatu as detected using WorldView-2 satellite images acquired on 17 and 19 April 2020 and a Pleiades satellite image acquired on 27 April 2020. Within the analyzed zone, UNITAR-UNOSAT identified in the cloud-free zones about 3,650 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 63 % of the total number of structures within the analyzed cloud-free areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 29, 2020-April 29, 2020",2020-2020,Never,Vanuatu,"166.5416,-13.0717,170.2383,-20.2524",Vector data,Shapefile,https://data.humdata.org/dataset/damage-assessment-in-west-santo-and-south-santo-municipality-sanma-province-vanuatu,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/VU/TC20200403VUT/TC20200403VUT_SHP.zip,b3c3b0f8-6cc8-413a-b5be-6ed86d968aa9,https://data.humdata.org/dataset/damage-assessment-in-west-santo-and-south-santo-municipality-sanma-province-vanuatu,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Damage Assessment in Ambae Island, Penama Province, Vanuatu","Damage Assessment in Ambae Island, Penama Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Ambae Island, Penama Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a WorldView-2 image acquired on 20 April 2020 and Pleiades image acquired on 21 April 2020 as post event images, Within the Island extent, UNITAR-UNOSAT identified in the cloud free zones about 60 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 1% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 27, 2020-April 27, 2020",2020-2020,Never,Vanuatu,"166.5416,-13.0717,170.2383,-20.2524",Vector data,Shapefile,https://data.humdata.org/dataset/damage-assessment-in-ambae-island-penama-province-vanuatu,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/VU/TC20200403VUT/TC20200403VUT_SHP.zip,0d394d29-340d-41a9-80f7-32704ba0d39e,https://data.humdata.org/dataset/damage-assessment-in-ambae-island-penama-province-vanuatu,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Damage Assessment in Paama Island, Malampa Province, Vanuatu","Damage Assessment in Paama Island, Malampa Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Paama Island, Malampa Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 21 April 2020 as post event images, Within the island boundary, UNITAR-UNOSAT identified in the cloud free zones about 100 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 30% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 24, 2020-April 24, 2020",2020-2020,Never,Vanuatu,"166.5416,-13.0717,170.2383,-20.2524",Vector data,Shapefile,https://data.humdata.org/dataset/damage-assessment-in-paama-island-malampa-province-vanuatu,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/VU/TC20200403VUT/TC20200403VUT_SHP.zip,2c55f91c-ffa4-47a4-901b-6bc71d8de8f5,https://data.humdata.org/dataset/damage-assessment-in-paama-island-malampa-province-vanuatu,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
