Title,Alternative Title,Description,Language,Cartographer,Publisher,Contributor,Resource Class,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Member Of,Is Part Of,Code,Rights,Access Rights,Format,File Size,ID,Identifier,Information,Permanent Link,Download
,"Important farmlands, Gladwin County, Michigan","Includes notes and location map. Scale approximately 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1983,,,"Fort Worth, Texas?","-84.61,43.8133,-84.1658,44.1617",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,349.68 MB,bc539c6f-99af-468a-8423-7956a1e613c2,https://d.lib.msu.edu/maps/992,https://d.lib.msu.edu/maps/992,https://n2t.net/ark:/85335/m5db7xk9w,https://d.lib.msu.edu/maps/992/datastream/OBJ/Download/
,"Important farmlands, Eaton County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-85.0744,42.4208,-84.6025,42.7711",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,952.87 MB,88872344-6215-4c46-9d3c-6e11b6da0af1,https://d.lib.msu.edu/maps/996,https://d.lib.msu.edu/maps/996,https://n2t.net/ark:/85335/m58k76s2p,https://d.lib.msu.edu/maps/996/datastream/OBJ/Download/
,"Important farmlands, Arenac County, Michigan","Includes notes and location map. Scale approximately 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1983,,,"Fort Worth, Tex","-84.1667,43.9103,-83.4267,44.1633",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,478.97 MB,12866a4b-7f30-4d4f-8811-f12507cc6c7d,https://d.lib.msu.edu/maps/982,https://d.lib.msu.edu/maps/982,https://n2t.net/ark:/85335/m54t6gz9d,https://d.lib.msu.edu/maps/982/datastream/OBJ/Download/
,"Important farmlands, Livingston County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1982,,,"Fort Worth, Texas?","-84.1581,42.4239,-83.6647,42.7831",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,891.09 MB,934485d3-a73b-415f-bf52-18fa3aebb7a2,https://d.lib.msu.edu/maps/1005,https://d.lib.msu.edu/maps/1005,https://n2t.net/ark:/85335/m5154gj89,https://d.lib.msu.edu/maps/1005/datastream/OBJ/Download/
,"Important farmlands, Ottawa County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1977,,,"Fort Worth, Texas?","-86.2717,42.7675,-85.7819,43.2058",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,899.92 MB,a3ebaf56-fd75-4e44-9e3b-dc4b52b58b16,https://d.lib.msu.edu/maps/1009,https://d.lib.msu.edu/maps/1009,https://n2t.net/ark:/85335/m5wd3rx4d,https://d.lib.msu.edu/maps/1009/datastream/OBJ/Download/
,"Important farmland, Charlevoix County, Michigan","Includes notes, location map, sectionalized township diagram, and inset of Beaver Island region. Scale approximately 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1985,,,"Fort Worth, Texas","-85.8461,45.1156,-84.7317,45.8414",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,454.86 MB,d36301ad-8f85-4693-8e7f-213cc7acd114,https://d.lib.msu.edu/maps/987,https://d.lib.msu.edu/maps/987,https://n2t.net/ark:/85335/m5rn32402,https://d.lib.msu.edu/maps/987/datastream/OBJ/Download/
,"Important farmland, Oakland County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1985,,,"Fort Worth, Texas","-83.6892,42.4311,-83.0833,42.8886",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,353.63 MB,db67f0f8-0621-477d-a052-3c123de204e1,https://d.lib.msu.edu/maps/993,https://d.lib.msu.edu/maps/993,https://n2t.net/ark:/85335/m5mw2b97s,https://d.lib.msu.edu/maps/993/datastream/OBJ/Download/
,"Important farmlands, Midland County, Michigan","Includes notes and location map. Scale approximately 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1983,,,"Fort Worth, Texas","-84.6083,43.4656,-84.1553,43.8283",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,475.22 MB,c65d397b-43bd-4bf4-9068-31b9d27035ab,https://d.lib.msu.edu/maps/989,https://d.lib.msu.edu/maps/989,https://n2t.net/ark:/85335/m5h41mh3z,https://d.lib.msu.edu/maps/989/datastream/OBJ/Download/
,"Important farmlands, Muskegon County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1979,,,"Fort Worth, Texas?","-86.4617,43.1178,-85.7903,43.4722",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,939.79 MB,6af9336a-0059-4445-975a-56f517dd5c8a,https://d.lib.msu.edu/maps/22,https://d.lib.msu.edu/maps/22,https://n2t.net/ark:/85335/m5nk36511,https://d.lib.msu.edu/maps/22/datastream/OBJ/Download/
,"Important farmlands, Leelanau County, Michigan","Includes notes, location map, and 4 island insets. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-86.1564,44.7742,-85.5267,45.4914",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,899.76 MB,938659e4-65bc-4e0f-9f8f-3c0d3839dc50,https://d.lib.msu.edu/maps/1003,https://d.lib.msu.edu/maps/1003,https://n2t.net/ark:/85335/m5cc0wp77,https://d.lib.msu.edu/maps/1003/datastream/OBJ/Download/
,"Important farmlands, Monroe County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1984,,,"Fort Worth, Texas","-83.7739,41.7233,-83.1889,42.0942",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,346.99 MB,b71a89ad-e417-49fb-a3df-f4633b0f00f3,https://d.lib.msu.edu/maps/1012,https://d.lib.msu.edu/maps/1012,https://n2t.net/ark:/85335/m57m05w3g,https://d.lib.msu.edu/maps/1012/datastream/OBJ/Download/
,"Important farmlands, Montcalm County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-85.5642,43.1181,-84.8369,43.4672",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,966.09 MB,a43e2fcb-dff0-476a-8b5b-c5e8056068cd,https://d.lib.msu.edu/maps/1007,https://d.lib.msu.edu/maps/1007,https://n2t.net/ark:/85335/m53x85g2h,https://d.lib.msu.edu/maps/1007/datastream/OBJ/Download/
,"Important farmland, St. Joseph County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1984,,,"Fort Worth, Texas","-85.7883,41.7589,-85.2911,42.0717",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,277.07 MB,427d58a0-6880-42ff-be61-d907da3dc494,https://d.lib.msu.edu/maps/1013,https://d.lib.msu.edu/maps/1013,https://n2t.net/ark:/85335/m5057fn9j,https://d.lib.msu.edu/maps/1013/datastream/OBJ/Download/
,"Important farmlands, Berrien County, Michigan","Includes notes and location map. Scale approximately 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1984,,,"Fort Worth, Texas","-86.8256,41.7594,-86.2228,42.2453",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,408.77 MB,26978176-2c9d-4090-94ae-78d86241973f,https://d.lib.msu.edu/maps/984,https://d.lib.msu.edu/maps/984,https://n2t.net/ark:/85335/m5vd6r14k,https://d.lib.msu.edu/maps/984/datastream/OBJ/Download/
,"Important farmlands, St. Clair County, Michigan","Includes notes, location map, and inset of St. Clair Flats State Wildlife Area. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1980,,,"Fort Worth, Texas?","-82.9961,42.4778,-82.4119,43.1689",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,1.11 GB,65518d50-3ced-40a0-bbf1-7b2e70f52f08,https://d.lib.msu.edu/maps/1010,https://d.lib.msu.edu/maps/1010,https://n2t.net/ark:/85335/m5qn6172s,https://d.lib.msu.edu/maps/1010/datastream/OBJ/Download/
,"Important farmlands, Ingham County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1982,,,"Fort Worth, Texas?","-84.6036,42.4214,-84.1406,42.7764",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,919.56 MB,b373a902-a2b3-46e8-bda5-42ec7b106786,https://d.lib.msu.edu/maps/994,https://d.lib.msu.edu/maps/994,https://n2t.net/ark:/85335/m5kw59d7j,https://d.lib.msu.edu/maps/994/datastream/OBJ/Download/
,"Important farmlands, Delta County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-87.3708,45.4772,-86.4614,46.1589",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,961.52 MB,5c8ca0a6-bdd8-4c06-931b-7227936cc02e,https://d.lib.msu.edu/maps/999,https://d.lib.msu.edu/maps/999,https://n2t.net/ark:/85335/m5g44km27,https://d.lib.msu.edu/maps/999/datastream/OBJ/Download/
,"Important farmlands, Shiawassee County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1984,,,"Fort Worth, Texas","-84.3686,42.7722,-83.9225,43.1328",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,359.97 MB,d74412cd-3d54-4567-876f-af04d992a89e,https://d.lib.msu.edu/maps/990,https://d.lib.msu.edu/maps/990,https://n2t.net/ark:/85335/m5bc3vs8g,https://d.lib.msu.edu/maps/990/datastream/OBJ/Download/
,"Important farmlands, Clare County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1982,,,"Fort Worth, Texas?","-85.0889,43.8122,-84.6061,44.1631",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,260.75 MB,fb4df833-9fa0-4cad-a1bb-18ada2153c1d,https://d.lib.msu.edu/maps/995,https://d.lib.msu.edu/maps/995,https://n2t.net/ark:/85335/m56q1vc6k,https://d.lib.msu.edu/maps/995/datastream/OBJ/Download/
,"Important farmland, Wayne County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1984,,,"Fort Worth, Texas","-83.5517,42.0278,-82.8514,42.4514",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,357.6 MB,39220cbc-d1c3-45da-9e05-39797c876cb4,https://d.lib.msu.edu/maps/991,https://d.lib.msu.edu/maps/991,https://n2t.net/ark:/85335/m52z14k39,https://d.lib.msu.edu/maps/991/datastream/OBJ/Download/
