STATEABBR,PRINMERCD,PRINMER,Township,TWNSHPFRAC,Township Direction,Range,RANGEFRAC,Range Direction,TWNSHPDPCD,PLSSID,TWNSHPLAB,Bounding Box
MI,19,Michigan Meridian,42,0,N,3,0,W,0,MI190420N0030W0,42N 3W,"-84.7377728, 45.98395004, -84.61235451, 46.07195752"
MI,19,Michigan Meridian,10,0,N,9,0,W,0,MI190100N0090W0,10N 9W,"-85.43200326, 43.20598925, -85.31210925, 43.29435314"
MI,19,Michigan Meridian,42,0,N,37,0,W,0,MI190420N0370W0,42N 37W,"-88.93098577, 46.04648794, -88.86604708, 46.07295145"
MI,19,Michigan Meridian,3,0,S,5,0,E,0,MI190030S0050E0,3S 5E,"-83.89651957, 42.16731194, -83.77657788, 42.25620836"
MI,19,Michigan Meridian,23,0,N,4,0,E,0,MI190230N0040E0,23N 4E,"-84.00540218, 44.33459398, -83.88336335, 44.42194805"
MI,19,Michigan Meridian,25,0,N,11,0,W,0,MI190250N0110W0,25N 11W,"-85.69647717, 44.51221059, -85.57449869, 44.59947492"
MI,19,Michigan Meridian,18,0,N,2,0,E,0,MI190180N0020E0,18N 2E,"-84.28742413, 43.91211868, -84.16589782, 43.99729319"
MI,19,Michigan Meridian,20,0,N,14,0,W,0,MI190200N0140W0,20N 14W,"-86.04349626, 44.0747895, -85.92139057, 44.16712493"
MI,19,Michigan Meridian,6,0,S,8,0,W,0,MI190060S0080W0,6S 8W,"-85.29292424, 41.89755692, -85.17570736, 41.98517764"
MI,19,Michigan Meridian,3,0,N,11,0,E,0,MI190030N0110E0,3N 11E,"-83.21376423, 42.62085463, -83.09142709, 42.71253"
MI,19,Michigan Meridian,19,0,N,1,0,E,0,MI190190N0010E0,19N 1E,"-84.36701775, 43.99628075, -84.28739428, 44.08381874"
MI,19,Michigan Meridian,51,0,N,30,0,W,0,MI190510N0300W0,51N 30W,"-88.17149483, 46.76527296, -88.04474581, 46.85175459"
MI,19,Michigan Meridian,14,0,N,7,0,W,0,MI190140N0070W0,14N 7W,"-85.20545457, 43.55241879, -85.0857479, 43.64066562"
MI,19,Michigan Meridian,2,0,S,1,0,E,0,MI190020S0010E0,2S 1E,"-84.36508069, 42.24710131, -84.25010432, 42.33638832"
MI,19,Michigan Meridian,2,0,N,10,0,E,0,MI190020N0100E0,2N 10E,"-83.3250081, 42.52921659, -83.204897, 42.62085463"
MI,19,Michigan Meridian,28,0,N,6,0,E,0,MI190280N0060E0,28N 6E,"-83.76790221, 44.77000206, -83.64561329, 44.85884993"
MI,19,Michigan Meridian,32,0,N,7,0,E,0,MI190320N0070E0,32N 7E,"-83.63687515, 45.11725676, -83.5123191, 45.20712387"
MI,19,Michigan Meridian,44,0,N,19,0,W,0,MI190440N0190W0,44N 19W,"-86.74075651, 46.15861464, -86.61513853, 46.24580342"
MI,19,Michigan Meridian,22,0,N,6,0,W,0,MI190220N0060W0,22N 6W,"-85.09564251, 44.24916234, -84.97325633, 44.33797859"
MI,19,Michigan Meridian,52,0,N,29,0,W,0,MI190520N0290W0,52N 29W,"-88.04500456, 46.85175459, -87.91754439, 46.91207064"
MI,19,Michigan Meridian,46,0,N,21,0,W,0,MI190460N0210W0,46N 21W,"-86.99100798, 46.33289267, -86.86604992, 46.42022834"
MI,19,Michigan Meridian,41,0,N,28,0,W,0,MI190410N0280W0,41N 28W,"-87.86712913, 45.89871516, -87.74188489, 45.98590619"
MI,19,Michigan Meridian,49,0,N,16,0,W,0,MI190490N0160W0,49N 16W,"-86.32407951, 46.59227766, -86.23994436, 46.63618037"
MI,19,Michigan Meridian,44,0,N,8,0,W,0,MI190440N0080W0,44N 8W,"-85.36298824, 46.15864441, -85.23752502, 46.24561418"
MI,19,Michigan Meridian,13,0,N,17,0,W,0,MI190130N0170W0,13N 17W,"-86.39774395, 43.46982832, -86.27769311, 43.55869497"
MI,19,Michigan Meridian,10,0,N,11,0,E,0,MI190100N0110E0,10N 11E,"-83.23786359, 43.23761572, -83.11766254, 43.3270557"
MI,19,Michigan Meridian,27,0,N,1,0,W,0,MI190270N0010W0,27N 1W,"-84.48644806, 44.68254114, -84.37165907, 44.77038908"
MI,19,Michigan Meridian,25,0,N,9,0,E,0,MI190250N0090E0,25N 9E,"-83.40224458, 44.51152132, -83.30092566, 44.59838396"
MI,19,Michigan Meridian,51,0,N,34,0,W,0,MI190510N0340W0,51N 34W,"-88.67896735, 46.7648055, -88.55173355, 46.85186012"
MI,19,Michigan Meridian,43,0,N,6,0,E,0,MI190430N0060E0,43N 6E,"-83.73840796, 46.07105562, -83.61259639, 46.10779963"
MI,19,Michigan Meridian,44,0,N,31,0,W,0,MI190440N0310W0,44N 31W,"-88.24256707, 46.15981187, -88.11712925, 46.24665607"
MI,19,Michigan Meridian,18,0,N,9,0,W,0,MI190180N0090W0,18N 9W,"-85.44421209, 43.90099719, -85.32467897, 43.98786013"
MI,19,Michigan Meridian,8,0,N,17,0,E,0,MI190080N0170E0,8N 17E,"-82.52492023, 43.08179834, -82.46914296, 43.16886333"
MI,19,Michigan Meridian,11,0,N,2,0,W,0,MI190110N0020W0,11N 2W,"-84.60758588, 43.29159297, -84.48834505, 43.37900457"
MI,19,Michigan Meridian,27,0,N,5,0,E,0,MI190270N0050E0,27N 5E,"-83.88857759, 44.68250853, -83.7661312, 44.77009754"
MI,19,Michigan Meridian,47,0,N,2,0,E,0,MI190470N0020E0,47N 2E,"-84.23876359, 46.4197535, -84.13956657, 46.50651446"
MI,19,Michigan Meridian,37,0,N,27,0,W,0,MI190370N0270W0,37N 27W,"-87.6967268, 45.5505331, -87.57337093, 45.63695341"
MI,19,Michigan Meridian,1,0,S,9,0,E,0,MI190010S0090E0,1S 9E,"-83.43372923, 42.35256099, -83.31271175, 42.44203423"
MI,19,Michigan Meridian,23,0,N,1,0,E,0,MI190230N0010E0,23N 1E,"-84.36989053, 44.33411169, -84.24720438, 44.42092782"
MI,19,Michigan Meridian,14,0,N,2,0,W,0,MI190140N0020W0,14N 2W,"-84.60793968, 43.55333434, -84.48833908, 43.64086259"
MI,19,Michigan Meridian,36,0,N,6,0,W,0,MI190360N0060W0,36N 6W,"-85.09769335, 45.4641918, -84.97506215, 45.5510325"
MI,19,Michigan Meridian,29,0,N,6,0,W,0,MI190290N0060W0,29N 6W,"-85.09147905, 44.8586959, -84.96854323, 44.94596061"
MI,19,Michigan Meridian,12,0,N,16,0,E,0,MI190120N0160E0,12N 16E,"-82.63493222, 43.42832049, -82.53217096, 43.51774549"
MI,19,Michigan Meridian,10,0,N,14,0,W,0,MI190100N0140W0,10N 14W,"-86.02796501, 43.20571925, -85.90796782, 43.29347735"
MI,19,Michigan Meridian,5,0,S,7,0,E,0,MI190050S0070E0,5S 7E,"-83.65682681, 41.99736353, -83.5370996, 42.08553318"
MI,19,Michigan Meridian,42,0,N,28,0,W,0,MI190420N0280W0,42N 28W,"-87.86700858, 45.98561037, -87.7418609, 46.07278468"
MI,19,Michigan Meridian,33,0,N,28,0,W,0,MI190330N0280W0,33N 28W,"-87.74075615, 45.20411242, -87.69407624, 45.29165437"
MI,19,Michigan Meridian,24,0,N,14,0,W,0,MI190240N0140W0,24N 14W,"-86.06050564, 44.42620698, -85.93873757, 44.51479992"
MI,19,Michigan Meridian,41,0,N,8,0,E,0,MI190410N0080E0,41N 8E,"-83.49047666, 45.96497923, -83.46936177, 45.98334539"
MI,19,Michigan Meridian,16,0,N,9,0,E,0,MI190160N0090E0,16N 9E,"-83.47667499, 43.75402613, -83.35655505, 43.84238516"
MI,19,Michigan Meridian,8,0,N,1,0,W,0,MI190080N0010W0,8N 1W,"-84.48432079, 43.03059816, -84.36723726, 43.11793966"
MI,19,Michigan Meridian,5,0,S,9,0,E,0,MI190050S0090E0,5S 9E,"-83.42072949, 42.00637371, -83.30178712, 42.09402398"
MI,19,Michigan Meridian,11,0,N,13,0,E,0,MI190110N0130E0,11N 13E,"-82.98830939, 43.32989518, -82.86499633, 43.42052404"
MI,19,Michigan Meridian,16,0,N,13,0,E,0,MI190160N0130E0,16N 13E,"-83.00201578, 43.7660549, -82.88022528, 43.85576845"
MI,19,Michigan Meridian,4,0,N,14,0,E,0,MI190040N0140E0,4N 14E,"-82.8629478, 42.71820213, -82.7299377, 42.80965203"
MI,19,Michigan Meridian,1,0,S,12,0,E,0,MI190010S0120E0,1S 12E,"-83.08342207, 42.3647542, -82.96421238, 42.45010331"
MI,19,Michigan Meridian,42,0,N,10,0,W,0,MI190420N0100W0,42N 10W,"-85.61337155, 46.01728837, -85.55021636, 46.07214499"
MI,19,Michigan Meridian,8,0,S,5,0,E,0,MI190080S0050E0,8S 5E,"-83.88424055, 41.72942101, -83.76324396, 41.82094682"
MI,19,Michigan Meridian,9,0,N,14,0,W,0,MI190090N0140W0,9N 14W,"-86.02809633, 43.11838266, -85.90741236, 43.20601535"
MI,19,Michigan Meridian,27,0,N,3,0,W,0,MI190270N0030W0,27N 3W,"-84.72688244, 44.68439541, -84.60429399, 44.77153496"
MI,19,Michigan Meridian,5,0,N,1,0,E,0,MI190050N0010E0,5N 1E,"-84.36440343, 42.77577887, -84.27248819, 42.86247868"
MI,19,Michigan Meridian,50,0,N,35,0,W,0,MI190500N0350W0,50N 35W,"-88.74033935, 46.67910394, -88.61493649, 46.76492758"
MI,19,Michigan Meridian,8,0,N,15,0,W,0,MI190080N0150W0,8N 15W,"-86.14621414, 43.03018768, -86.02670369, 43.11838266"
MI,19,Michigan Meridian,48,0,N,9,0,W,0,MI190480N0090W0,48N 9W,"-85.48928967, 46.50565001, -85.36361747, 46.59329928"
MI,19,Michigan Meridian,49,0,N,11,0,W,0,MI190490N0110W0,49N 11W,"-85.73976773, 46.59232026, -85.61433959, 46.67920166"
MI,19,Michigan Meridian,52,0,N,32,0,W,0,MI190520N0320W0,52N 32W,"-88.40937445, 46.85137387, -88.29856045, 46.89911875"
MI,19,Michigan Meridian,10,0,N,16,0,W,0,MI190100N0160W0,10N 16W,"-86.26314869, 43.20488303, -86.14377855, 43.2960388"
MI,19,Michigan Meridian,8,0,N,14,0,E,0,MI190080N0140E0,8N 14E,"-82.87719286, 43.07028592, -82.75530145, 43.16050008"
MI,19,Michigan Meridian,5,0,N,16,0,E,0,MI190050N0160E0,5N 16E,"-82.61960106, 42.81377617, -82.4962928, 42.90566812"
MI,19,Michigan Meridian,40,0,N,3,0,W,0,MI190400N0030W0,40N 3W,"-84.73773557, 45.83050595, -84.60947217, 45.897175"
MI,19,Michigan Meridian,3,0,N,13,0,W,0,MI190030N0130W0,3N 13W,"-85.89929096, 42.59385836, -85.78041775, 42.68159661"
