Identifier,Title,Description,Originator,Date_Issued,Topic,West,East,North,South,Format,links,keywords
undefined,,,undefined,,undefined,undefined,undefined,undefined,undefined,SDE Feature Class,[],[]
undefined,City of  Ann Arbor (Greenbelt Properties),Polygon properties preserved under the Open Space and Parkland Preservation Millage of 2003.,City of Ann Arbor Community Services,"2014-01-10


creation",planningCadastre,-83.863822,-83.572338,42.389909,42.196468,Shapefile,[],"[<keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Preservation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Greenbelt</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Conservation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Historic Districts),Polygons defining the boundaries of all registered City of Ann Arbor Historical Districts.,City of Ann Arbor Community Services,"2015-07-07


publication",boundaries,-83.764513,-83.709405,42.296314,42.244908,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Historic District</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Planning</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Current Land Use),Polygons showing the current Land Use information for the City of Ann Arbor.,City of Ann Arbor Community Services,"2015-06-29


publication",boundaries,-83.800064,-83.675706,42.324149,42.222469,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Land Use</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Planning</gco:CharacterString>\n</keyword>]"
undefined,Neighborhoods,"Neighborhoods of Ann Arbor, built from the public safety program.",City of Ann Arbor GIS,,undefined,-83.800156,-83.675554,42.324433,42.225672,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Neighborhoods; Saftey</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Non City Open Spaces),Polygons depicting the open space land within or near the City of Ann Arbor that is NOT owned by the City of Ann Arbor.,City of Ann Arbor Community Services,"2015-07-07


publication",boundaries,-83.809788,-83.653253,42.332342,42.214551,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Parks</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Open Space</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Parks),Polygons of the City of Ann Arbor owned parkland properties.,City of Ann Arbor Community Services,"2015-07-08


publication",boundaries,-83.800857,-83.654904,42.323985,42.22572,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Parks</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Recreation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Parklands</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Polling Locations),"Points depicting the location of all polling places for the City of Ann Arbor. Includes the polling place address, building name, the precint that votes there.",City of Ann Arbor Community Services,"2015-06-26


publication",boundaries,-83.790996,-83.685866,42.31193,42.233096,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Voting</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Election</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Clerk</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Polling Location</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Political</gco:CharacterString>\n</keyword>]"
undefined,Ann Arbor Public Schools Parcels,Polygon parcels of Ann Arbor Public School (K-12) properties throughout and around the City of Ann Arbor.,City of Ann Arbor Community Services,"2015-06-26


publication",boundaries,-83.79354,-83.673417,42.314016,42.230445,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Education</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor Public Schools</gco:CharacterString>\n</keyword>]"
undefined,AA_Streetlights,,undefined,,undefined,-83.795766,-83.642891,42.322941,42.225257,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,City of Ann Arbor (University and College Owned Parcels),Polygon parcels of land owned by a University or College.,City of Ann Arbor Community Services,"2015-06-26


publication",boundaries,-83.756346,-83.656411,42.30862,42.233828,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Education</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>University</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>College</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor Voting Precincts,Polygons of the City of Ann Arbor Voting Precincts.,City of Ann Arbor Community Services,"2015-06-26


publication",boundaries,-83.800144,-83.675553,42.324431,42.225672,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Clerk</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Boundaries</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Political</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Voting</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Election</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Zoning Districts),Polygon boundaries of the City of Ann Arbor Zoning Districts.,City of Ann Arbor Community Services,"2015-07-07


publication",boundaries,-83.800157,-83.675709,42.324149,42.222469,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Planning</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Zoning</gco:CharacterString>\n</keyword>]"
undefined,AATABusStops,"Locations of the Ann Arbor Transportation Authority Bus Stops within the AATA Service Area as provided to the City of Ann Arbor GIS. For the most recent bus stop information, please use the ""Contact Us"" section of TheRide's website - TheRide.org.",AATA and City Of Ann Arbor,,undefined,-84.028675,-83.487541,42.327137,42.213561,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Bus</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Stop</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Route</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Transportation</gco:CharacterString>\n</keyword>]"
undefined,GISEDIT.WGIS.CountyDistrict,"County elected representative districts. This feature class displays the Washtenaw County Board of Commissioner Districts. These boundaries are based off the results of the 2010 census, but were not put into effect until January 1, 2013. The boundaries were created in 2011 by the County Apportionment Commission. More info is available at http://www.ewashtenaw.org/government/clerk_register/county-apportionment-commission",Washtenaw County,,undefined,-84.134428,-83.534763,42.437842,42.068827,SDE Feature Class,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Elections</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Voting</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>District</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Board of Commissioners</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Republican</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Democrat</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Political</gco:CharacterString>\n</keyword>]"
undefined,Hospital,,undefined,,undefined,-84.021555,-83.65349,42.309652,42.165966,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,JurisdictionBoundary,"The geographic extent of a local government (City, Village, Township).",Washtenaw County GIS (last updated 6/5/18),,undefined,-84.134428,-83.534765,42.43785,42.068827,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Administrative Areas</gco:CharacterString>\n</keyword>]"
undefined,Waterbody,,undefined,,undefined,-84.134437,-83.537594,42.432508,42.068847,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,wc,,undefined,,undefined,undefined,undefined,undefined,undefined,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,GISENTERPRISE.WGIS.RecreationLands,"This data layer contains conservation and recreation lands in Washtenaw County, MI that are typically open to the public (parks, nature preserves, etc).",Created and managed by the Washtenaw County Parks & Recreation Commission - contact Peter Sanderson - sandersonp@ewashtenaw.org,,undefined,-84.134428,-83.547183,42.430431,42.068916,SDE Feature Class,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Park</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Preserve</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Recreation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Public Recreation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Conservation</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Protected Land</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Natural Areas</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Natural Resources</gco:CharacterString>\n</keyword>]"
undefined,Roads,"Road segments representing centerlines of all roadways or carriageways in a local government. Typically, this information is compiled from orthoimagery or other aerial photography sources. This representation of the road centerlines support address geocoding and mapping. It also serves as a source for public works and other agencies that are responsible for the active management of the road network.",Washtenaw County GIS (last updated 6/5/18),,undefined,-84.134423,-83.534765,42.437846,42.068917,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Transportation</gco:CharacterString>\n</keyword>]"
undefined,SchoolDistricts,,undefined,,undefined,undefined,undefined,undefined,undefined,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,Schools,,undefined,,undefined,-84.039025,-83.546143,42.422251,42.089394,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,Waterline,,undefined,,undefined,-84.132455,-83.53551,42.437772,42.074544,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
gov.noaa.nodc.ncddc.file:/Users/majew030/Documents/wget/07c-02/watersheds,Watersheds,Abstract: This feature class displays all of the largest drainage areas in Washtenaw County. It has been developed to meet the needs of upstream and downstream network tracing by Washtenaw County employees and citizens. This data was created from delenations of a mosiaced grid comprised of USGS Quadrangle DEMs. The data was then conflated with perspective stream reach information.,undefined,publication,undefined,-83.845358,-83.601474,42.390279,42.210842,,[u'\\\\Dtx45d1\\GIS Workstation\\Projects\\GISWeb\\Watersheds\\Watersheds.shp'],"[<gmd:keyword>\n<gco:CharacterString>Streams</gco:CharacterString>\n</gmd:keyword>, <gmd:keyword>\n<gco:CharacterString>Runoff</gco:CharacterString>\n</gmd:keyword>, <gmd:keyword>\n<gco:CharacterString>Drainage</gco:CharacterString>\n</gmd:keyword>, <gmd:keyword>\n<gco:CharacterString>Basin</gco:CharacterString>\n</gmd:keyword>, <gmd:keyword>\n<gco:CharacterString>Catchment</gco:CharacterString>\n</gmd:keyword>, <gmd:keyword>\n<gco:CharacterString>Watershed</gco:CharacterString>\n</gmd:keyword>, <gmd:keyword>\n<gco:CharacterString>Sub-Basin</gco:CharacterString>\n</gmd:keyword>]"
